eta,frozen,mean_held_source_macro_f1,minimum_held_position_mean_macro_f1,population_sd,selection_status,selection_receipt_sha256
0.01,True,0.16815215523042687,0.1311531212622858,0.04432745246580674,EVALUATED_NOT_SELECTED,9bb41bd2996090c04d61ae15bdd98754d9804c22496ad297a87e9af56d744f97
0.05,True,0.16164168713570068,0.13545419425832328,0.038600484161418966,SELECTED,9bb41bd2996090c04d61ae15bdd98754d9804c22496ad297a87e9af56d744f97
0.1,True,0.1435754948466384,0.11152644111567836,0.038331820023972396,EVALUATED_NOT_SELECTED,9bb41bd2996090c04d61ae15bdd98754d9804c22496ad297a87e9af56d744f97
0.2,True,0.16328240053024956,0.12849308887404426,0.04590123743674114,EVALUATED_NOT_SELECTED,9bb41bd2996090c04d61ae15bdd98754d9804c22496ad297a87e9af56d744f97
