position,representation,probe_seed,checkpoint_seed,train_accuracy,train_macro_f1,final_loss,optimization_steps,pass,status,subset_size,subset_hash,scaler_state_sha256
P2,FIRST_DIFFERENCE_280,42,,1.0,1.0,0.5901213884353638,3,True,PASS,7,48aefba36ab8cfe40f7ec71fe1deb024da22dec328171e8e379d73f8becf0b7f,d326d68266bbd556a53cf8e6172a34a6430446e461a70ffb6ef8c41d721fc27c
P2,FIRST_DIFFERENCE_280,43,,1.0,1.0,1.0915628671646118,2,True,PASS,7,48aefba36ab8cfe40f7ec71fe1deb024da22dec328171e8e379d73f8becf0b7f,d326d68266bbd556a53cf8e6172a34a6430446e461a70ffb6ef8c41d721fc27c
P2,FIRST_DIFFERENCE_280,44,,1.0,1.0,0.9200202822685242,2,True,PASS,7,48aefba36ab8cfe40f7ec71fe1deb024da22dec328171e8e379d73f8becf0b7f,d326d68266bbd556a53cf8e6172a34a6430446e461a70ffb6ef8c41d721fc27c
P2,FIRST_DIFFERENCE_280,45,,1.0,1.0,0.9144601821899414,2,True,PASS,7,48aefba36ab8cfe40f7ec71fe1deb024da22dec328171e8e379d73f8becf0b7f,d326d68266bbd556a53cf8e6172a34a6430446e461a70ffb6ef8c41d721fc27c
P2,FIRST_DIFFERENCE_280,46,,1.0,1.0,1.010325312614441,2,True,PASS,7,48aefba36ab8cfe40f7ec71fe1deb024da22dec328171e8e379d73f8becf0b7f,d326d68266bbd556a53cf8e6172a34a6430446e461a70ffb6ef8c41d721fc27c
P2,C1_ENCODER_EMBEDDING,42,42,1.0,1.0,0.5213485956192017,3,True,PASS,7,48aefba36ab8cfe40f7ec71fe1deb024da22dec328171e8e379d73f8becf0b7f,e941fabbd60d60e2fbdf50437ac6c8633f6d71838ca3d7244d908de279b7e6cb
P2,C1_ENCODER_EMBEDDING,43,43,1.0,1.0,0.7781296968460083,2,True,PASS,7,48aefba36ab8cfe40f7ec71fe1deb024da22dec328171e8e379d73f8becf0b7f,95429da130b9a37af5f58aade9af08f5d266c7b9fa076c862e5bf2aa7e849319
P2,C1_ENCODER_EMBEDDING,44,44,1.0,1.0,1.3818110227584839,2,True,PASS,7,48aefba36ab8cfe40f7ec71fe1deb024da22dec328171e8e379d73f8becf0b7f,5ef36ce1533a242d22004277044f67ab2bc59ece3a537e31ee74d00db2dfeadc
P2,C1_ENCODER_EMBEDDING,45,45,1.0,1.0,1.2732791900634766,2,True,PASS,7,48aefba36ab8cfe40f7ec71fe1deb024da22dec328171e8e379d73f8becf0b7f,eaf5d4c732eda22283b70014a7d093a2668bf0b2a04c3be8b5b4deda41d36ed2
P2,C1_ENCODER_EMBEDDING,46,46,1.0,1.0,0.45158132910728455,3,True,PASS,7,48aefba36ab8cfe40f7ec71fe1deb024da22dec328171e8e379d73f8becf0b7f,346e4b8ff65f4cbf52d6c7e250191d2884c2a045c9c375ceeed309c8c93b8dc2
P2,PEAK_DESCRIPTOR,,,,,,0,,NOT_RUN_PEAK_DESCRIPTOR_NOT_VALIDATED,0,,
