position,representation,probe_seed,checkpoint_seed,folds_combined,oof_condition_blocks,oof_rows,block_accuracy,block_macro_f1,row_accuracy,row_macro_f1,block_confusion_matrix,block_prediction_sha256,row_prediction_sha256,estimand,block_accuracy_seed_variance,block_macro_f1_seed_variance,variance_role
P2,RAW_SIGNAL_281,46,,3,63,3150,0.23809523809523808,0.23165582022282596,0.23714285714285716,0.2310764503642405,"[[2,1,0,1,3,1,1],[0,2,3,3,0,1,0],[0,1,2,2,1,2,1],[2,1,1,1,2,2,0],[1,1,0,1,5,1,0],[0,1,1,1,2,2,2],[0,1,1,3,2,1,1]]",f9ec98e1f3137f33e882e47aecd63fd70382003344e077781582248d2d1b9fef,b481cad15cdf05865f92861b3b6a6f17d1ea47a992597be395ab864ae99d08f5,one pooled 63-block out-of-fold set,,,
P2,FIRST_DIFFERENCE_280,42,,3,63,3150,0.30158730158730157,0.297993672993673,0.3038095238095238,0.29995739567076346,"[[2,0,1,2,1,1,2],[1,2,3,0,0,2,1],[0,1,5,1,0,1,1],[0,1,1,2,1,3,1],[0,0,0,2,3,2,2],[0,0,2,1,1,4,1],[1,0,1,1,1,4,1]]",6fc033bc9c73c8e255c6046c1d0f5d45821ee74acefb7c49904bb0f88267e795,c0620c73e2cc2f95ae2a196fa8d2de2a6a3d0f02faa89da617098ed7fe6ed125,one pooled 63-block out-of-fold set,,,
P2,FIRST_DIFFERENCE_280,43,,3,63,3150,0.2698412698412698,0.25894924724973983,0.2714285714285714,0.2602193186106615,"[[2,1,1,1,1,2,1],[1,2,3,1,0,2,0],[1,0,5,0,1,2,0],[1,1,0,2,0,3,2],[1,0,1,2,1,3,1],[0,0,1,2,0,4,2],[1,1,0,1,1,4,1]]",f68597756b0544ea5ba6683b50f9bb81f405c4ffb463aa52ac54fbd34bb8c998,38ef693812dfac8eee864b228078ad3077e1617c19ed06eb7d6847fcd12a4c59,one pooled 63-block out-of-fold set,,,
P2,FIRST_DIFFERENCE_280,44,,3,63,3150,0.19047619047619047,0.15135327635327636,0.19206349206349208,0.1524896017099136,"[[3,0,2,1,0,1,2],[0,0,4,2,0,2,1],[0,1,5,1,1,1,0],[1,0,2,1,1,3,1],[3,1,1,1,0,3,0],[1,1,2,1,0,3,1],[1,0,2,0,2,4,0]]",176b7f1dcc225ede09c3b3ae437547b4f0a5a88cebfc4f03d5d0bfe55b1273a3,a315b5d9dcbc95d20a8452f6acb4163c9aedf005d02afe848be8c49b2a8832cf,one pooled 63-block out-of-fold set,,,
P2,FIRST_DIFFERENCE_280,45,,3,63,3150,0.2698412698412698,0.24739962970834267,0.27111111111111114,0.24869757969710166,"[[3,1,1,1,2,1,0],[1,1,3,2,0,1,1],[0,0,5,1,1,1,1],[1,2,1,1,1,2,1],[1,1,1,3,1,1,1],[1,0,1,2,0,5,0],[1,1,1,0,0,5,1]]",9001af93e794234da22e3444bab872674a2d9d9960c43327ced87472af6a0743,b6756258313fb233937462625d687e2bcd8f9cbadd646bdc7bb1c093ae69e9df,one pooled 63-block out-of-fold set,,,
P2,FIRST_DIFFERENCE_280,46,,3,63,3150,0.30158730158730157,0.28501657073085646,0.3034920634920635,0.28728816523602596,"[[2,1,3,1,0,1,1],[2,1,4,0,0,2,0],[0,1,6,0,1,1,0],[1,1,1,3,0,3,0],[2,0,2,1,2,1,1],[1,0,1,2,1,3,1],[1,0,2,2,1,1,2]]",9240814d888214e775eadb2cb768609a6c38f57c46dac1728c8c37f88cb9f236,efc073ca00797b97f1e1bfa8266531b281269789cacdc51ca0ef90e7c3b60807,one pooled 63-block out-of-fold set,,,
P2,C1_ENCODER_EMBEDDING,42,42,3,63,3150,0.8253968253968254,0.8256944883216445,0.8225396825396826,0.8229795955923784,"[[7,0,0,1,0,1,0],[1,8,0,0,0,0,0],[0,0,9,0,0,0,0],[0,0,0,8,0,1,0],[0,0,0,1,6,0,2],[0,0,0,2,0,6,1],[0,0,1,0,0,0,8]]",c5002aa899dc3722c2dea04fc2f1917f83a51c58bb94aa3cd2b82b55f380274d,ba2d9dfd5355e848533b2a3e440f3d5744e2aa75df5e216c28806febd3b87686,one pooled 63-block out-of-fold set,,,
P2,C1_ENCODER_EMBEDDING,43,43,3,63,3150,0.8571428571428571,0.8525676937441642,0.8523809523809524,0.847911252602621,"[[8,0,0,1,0,0,0],[1,8,0,0,0,0,0],[0,0,9,0,0,0,0],[0,0,0,9,0,0,0],[0,0,0,1,5,1,2],[0,1,0,0,0,7,1],[0,0,0,0,1,0,8]]",f3df8c7290593d9b4050e395cfdba1d75938b21af467b0d0784f7832ee562eb7,1a14f808f1f0dc9c1cda040f6d5e1a1524c37fa0ff979d93fa291930d20e49ad,one pooled 63-block out-of-fold set,,,
P2,C1_ENCODER_EMBEDDING,44,44,3,63,3150,0.7301587301587301,0.7264683211888182,0.7273015873015873,0.7234739144216386,"[[5,1,1,2,0,0,0],[1,6,0,1,0,1,0],[0,0,9,0,0,0,0],[0,1,0,8,0,0,0],[0,1,2,1,5,0,0],[0,0,0,1,0,6,2],[0,0,2,0,0,0,7]]",f1ee42611c9f5e19c11448defc6c7deb9ec986cb32c71d59daea66f67ba9f1a7,5adbf1a8e7c3664ccd7abcfe4d9111d8de1d4b3a1c83146c3bbe0a2125f12467,one pooled 63-block out-of-fold set,,,
P2,C1_ENCODER_EMBEDDING,45,45,3,63,3150,0.7777777777777778,0.7624776226279986,0.7771428571428571,0.7626400133224559,"[[8,0,0,0,0,0,1],[1,7,0,1,0,0,0],[0,0,8,0,0,1,0],[0,0,0,8,0,1,0],[0,1,2,1,3,1,1],[0,1,0,2,0,6,0],[0,0,0,0,0,0,9]]",d985dbd67e6611b43912add3947f93217aa6ce560f53f61dd11661a0b1bebcee,2490b5f392cb371f671acfc26813ef02c721403a23b5579004da48f8d9b762cf,one pooled 63-block out-of-fold set,,,
