position,scheme,target_type,target,metric,replicates,estimate,ci_low,ci_high,note
P2,tagid_stratified_block_only,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.5164593425091755,0.42606534890805026,0.6061016499514906,
P2,tagid_stratified_block_only,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,-0.4923159724591504,-0.5869210244570727,-0.3949988410812748,
P2,tagid_stratified_block_only,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.02414337005002513,-0.07306984434184607,0.12161699313844537,
P2,block_plus_probe_seed,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.5151672889717084,0.37919831325784653,0.6318283426497822,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P2,block_plus_probe_seed,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,-0.4906088814921282,-0.616436249259539,-0.3549072992488956,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P2,block_plus_probe_seed,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.024558407479580182,-0.10428445549380391,0.16165830771203363,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P2,block_plus_checkpoint_seed,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.5156419599504802,0.3950941408794822,0.625786885842174,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P2,block_plus_checkpoint_seed,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,-0.49100962681802485,-0.6077621187551643,-0.3625941723598466,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P2,block_plus_checkpoint_seed,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.024632333132455386,-0.0715373085862681,0.12103679134669497,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P2,both_seed_dimensions,representation_contrast,C1_ENCODER_EMBEDDING_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.5158909375545035,0.3795628628370453,0.6351426591382614,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P2,both_seed_dimensions,representation_contrast,RAW_SIGNAL_281_MINUS_C1_ENCODER_EMBEDDING,block_macro_f1_difference,10000,-0.4913039744222143,-0.6165675042191132,-0.355617656548572,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
P2,both_seed_dimensions,representation_contrast,RAW_SIGNAL_281_MINUS_FIRST_DIFFERENCE_280,block_macro_f1_difference,10000,0.02458696313228935,-0.10257321487300655,0.16270397907112058,C1 probe and checkpoint seeds are preregistered as aligned and cannot be independently identified
