position,representation,probe_seed,class_index,tag_id,precision,recall,f1,support_blocks,unit
P1,FIRST_DIFFERENCE_280,44,2,3,0.45454545454545453,0.5555555555555556,0.5,9,condition_block
P1,FIRST_DIFFERENCE_280,44,3,4,0.5,0.2222222222222222,0.30769230769230765,9,condition_block
P1,FIRST_DIFFERENCE_280,44,4,5,0.2,0.1111111111111111,0.14285714285714285,9,condition_block
P1,FIRST_DIFFERENCE_280,44,5,6,0.4666666666666667,0.7777777777777778,0.5833333333333334,9,condition_block
P1,FIRST_DIFFERENCE_280,44,6,7,0.5555555555555556,0.5555555555555556,0.5555555555555556,9,condition_block
P1,FIRST_DIFFERENCE_280,45,0,1,0.5,0.5555555555555556,0.5263157894736842,9,condition_block
P1,FIRST_DIFFERENCE_280,45,1,2,0.45454545454545453,0.5555555555555556,0.5,9,condition_block
P1,FIRST_DIFFERENCE_280,45,2,3,0.38461538461538464,0.5555555555555556,0.4545454545454546,9,condition_block
P1,FIRST_DIFFERENCE_280,45,3,4,1.0,0.2222222222222222,0.3636363636363636,9,condition_block
P1,FIRST_DIFFERENCE_280,45,4,5,0.25,0.1111111111111111,0.15384615384615383,9,condition_block
P1,FIRST_DIFFERENCE_280,45,5,6,0.6153846153846154,0.8888888888888888,0.7272727272727274,9,condition_block
P1,FIRST_DIFFERENCE_280,45,6,7,0.4,0.4444444444444444,0.4210526315789474,9,condition_block
P1,FIRST_DIFFERENCE_280,46,0,1,0.36363636363636365,0.4444444444444444,0.39999999999999997,9,condition_block
P1,FIRST_DIFFERENCE_280,46,1,2,0.2,0.1111111111111111,0.14285714285714285,9,condition_block
P1,FIRST_DIFFERENCE_280,46,2,3,0.42857142857142855,0.6666666666666666,0.5217391304347826,9,condition_block
P1,FIRST_DIFFERENCE_280,46,3,4,0.4,0.2222222222222222,0.2857142857142857,9,condition_block
P1,FIRST_DIFFERENCE_280,46,4,5,0.4,0.2222222222222222,0.2857142857142857,9,condition_block
P1,FIRST_DIFFERENCE_280,46,5,6,0.5833333333333334,0.7777777777777778,0.6666666666666666,9,condition_block
P1,FIRST_DIFFERENCE_280,46,6,7,0.36363636363636365,0.4444444444444444,0.39999999999999997,9,condition_block
P1,C1_ENCODER_EMBEDDING,42,0,1,1.0,1.0,1.0,9,condition_block
P1,C1_ENCODER_EMBEDDING,42,1,2,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,condition_block
