arm,held_position,fold_id,episode_id,episode_family,episode_local,source_seed,learning_rate,encoder_weight_decay,epochs,finetuning_seed,support_rows,query_rows,support_macro_f1,query_macro_f1,query_accuracy,query_balanced_accuracy,query_worst_class_f1,query_recall_by_class,encoder_displacement_frobenius,all_objectives_finite
PARTIAL_FT,P1,S1,0,A,0,42,0.0003,0.0001,5,2860927706,35,1400,0.5062770562770563,0.17917219321246822,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.2806800497524921,True
PARTIAL_FT,P1,S1,0,A,0,42,0.0003,0.0001,10,2860927706,35,1400,0.5303030303030303,0.21218786915963989,0.25,0.25,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.5,0.5141104788410441,True
PARTIAL_FT,P1,S1,0,A,0,42,0.0003,0.0001,20,2860927706,35,1400,0.7125541125541126,0.20971487031249803,0.25,0.25,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.5,0.938566575400265,True
FULL_FT,P1,S1,0,A,0,42,1e-05,0.0,5,2350091850,35,1400,0.4524531024531025,0.18164019300919382,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.016896924793511098,True
FULL_FT,P1,S1,0,A,0,42,1e-05,0.0,10,2350091850,35,1400,0.4813852813852814,0.1809526944949836,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.03320568374270898,True
FULL_FT,P1,S1,0,A,0,42,1e-05,0.0,20,2350091850,35,1400,0.4841269841269842,0.17903895782514936,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.06647467030844875,True
FULL_FT,P1,S1,0,A,0,42,1e-05,0.0001,5,17829285,35,1400,0.4524531024531025,0.18164019300919382,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.016896924793511098,True
FULL_FT,P1,S1,0,A,0,42,1e-05,0.0001,10,17829285,35,1400,0.4813852813852814,0.1809526944949836,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.03320568374270898,True
FULL_FT,P1,S1,0,A,0,42,1e-05,0.0001,20,17829285,35,1400,0.4841269841269842,0.17903895782514936,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.06647467030844875,True
FULL_FT,P1,S1,0,A,0,42,3e-05,0.0,5,387325642,35,1400,0.5113997113997114,0.17849119270683209,0.21428571428571427,0.21428571428571427,0.0,0.0|0.25|0.0|0.75|0.25|0.0|0.25,0.045947830989723826,True
