arm,budget,source_seed,support_seed,fold,query_rows,tagid_centroid_ratio_source,tagid_centroid_ratio_adapted,condition_centroid_ratio_source,condition_centroid_ratio_adapted,embedding_mean_cosine_to_source,embedding_rms_displacement
PARTIAL_FT,35,42,104729,0,1050,0.3990714458917763,0.39990975763191283,0.41990173673034487,0.394696422954133,0.9457708741890128,0.16269803778704456
PARTIAL_FT,35,42,104729,1,1050,0.24062580635084932,0.23484443791708212,0.3563884454676551,0.3636716706169308,0.965882962417209,0.12820331616970407
PARTIAL_FT,35,42,104729,2,1050,0.39355465087183666,0.3858360340222952,0.15314837067103762,0.1564879182945776,0.9432684530057845,0.16765382176296217
PARTIAL_FT,35,43,104729,0,1050,0.35083553380685667,0.3445971882349349,0.38201907862816953,0.3806836732030888,0.9420710956833539,0.1663034946467291
PARTIAL_FT,35,43,104729,1,1050,0.4318675011667974,0.40983241261032133,0.23652941827618412,0.255196797141389,0.9568363673403049,0.14139444885619074
PARTIAL_FT,35,43,104729,2,1050,0.2850925954436252,0.2987811685188719,0.23770033773934993,0.2277099654122742,0.937631799371703,0.1719766736039099
PARTIAL_FT,35,44,104729,0,1050,0.3359376394132354,0.3345333448083051,0.4439472881156281,0.42572485137349075,0.9448210601664273,0.15146933690449166
PARTIAL_FT,35,44,104729,1,1050,0.3252165218598714,0.3044592874884895,0.363643755463654,0.3830126394812344,0.9429036339366937,0.15331536496615814
PARTIAL_FT,35,44,104729,2,1050,0.31484181963156,0.32297180481765597,0.24465927245371194,0.2322216093202878,0.9374791211082316,0.15929206953363126
PARTIAL_FT,35,45,104729,0,1050,0.291454039461642,0.2951300276928591,0.5925137757724315,0.5594207335049954,0.943613019440387,0.16120561562702823
PARTIAL_FT,35,45,104729,1,1050,0.399019870354545,0.38546920866269796,0.3571025649385932,0.3776627935739076,0.9652120367926397,0.12454483126489577
PARTIAL_FT,35,45,104729,2,1050,0.35867493003009143,0.3504749410162327,0.24192022701435978,0.2486056433248914,0.9403672187212193,0.16482267959924612
PARTIAL_FT,35,46,104729,0,1050,0.28430178392109473,0.2917723754642736,0.48597869679004074,0.46320429799788887,0.94151158008868,0.16343195310402606
PARTIAL_FT,35,46,104729,1,1050,0.3619087135286337,0.350394166477467,0.2742901087423937,0.2791642261805826,0.9676442350608236,0.11922453283736173
PARTIAL_FT,35,46,104729,2,1050,0.39790910279146224,0.3833580095532501,0.1826697627210754,0.1883129645081903,0.9495588195813481,0.1484644601297108
