method,budget,class_index,TagID,f1_mean,f1_sd
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,4,5,0.14511275420058886,0.05539666460387143
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,5,6,0.1020469087153406,0.07545211707096332
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,6,7,0.231995105960318,0.04828106727336153
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,0,1,0.05515915521466212,0.05159998560390883
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,1,2,0.1679007679461321,0.06898411294057243
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,2,3,0.1846512743665438,0.05459295948310677
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,3,4,0.044932937117413516,0.04428868707036786
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,4,5,0.149472044836196,0.04675002148642421
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,5,6,0.10158872477852944,0.06691723946257114
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,6,7,0.2273181914197921,0.04975479490739903
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,0,1,0.03989544104829654,0.048902399335123255
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,1,2,0.1861528036806706,0.051613784875660644
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,2,3,0.17830389377819228,0.05456546307775499
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,3,4,0.03410130080474027,0.04019459901786414
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,4,5,0.14731073802977965,0.04262455029939062
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,5,6,0.09552805944648471,0.06355002021595424
FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,6,7,0.2259990460300289,0.044430294745598134
