arm,budget,source_seed,support_seed,fold,prediction_sha256,prediction_frozen_before_open,label_access_phase,seal_state_after_open
FULL_FT,35,42,205439,0,cb4c34354476b97b2374f4bfdf705666314c71cf4143e3dbc8669976df971eb1,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,205439,0,77ff911d0cd95decd0fdefb8f9e660994549ba71583016e3cce9c9294e0521ad,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,205439,0,7e495cb94490557be53ecac331ce4ebd503a1acb6c9a96ffc0de2595cc3439a2,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,205439,0,f60cb549c1490d130e6aed075310a93e9aaeb938ac51bf7cc65c4489991557da,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,205439,0,a839fcabbbca3023faaa713d4121ffa7ad5664d8e340f8e9b2c3090ca74d7534,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,230003,0,dc07e1f4ff9e5f568e61c591a9bda840b13f5fdcb29efdc4b57f1fa683c7bc29,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,230003,0,181507f5e0d7775ce831a9cd22784dd636c696f8c3ad6b7492aa2098a5d5b7dd,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,230003,0,1e935a30b5db197f3023dca3efab88b4042621420f87dcdc039c8eeb192c5d5b,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,230003,0,1d5f203cea818972d44a6cc2aa650fa40e29608b864bb70ec269b5c682b0b66b,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,230003,0,0f5f277ed0a54fe6a7c804d255c319b91f9e418b8a973392e41cb74be7ed0184,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,230003,0,3b402c4497d7947dc8e3e567a3e8f4be48db445253fef3bfd92a1fea2defa1a5,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,230003,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,230003,0,58c495d9f972c6aee2b2242e56d961e65ad490df9d2418ea20abfc13f04f390e,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,7,42,254959,0,0676b58e9ea5ffc7526e48d8a5c409ba34238a0474898473367edd1aeb1a1e56,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,7,42,254959,0,e2abadc5db59da58b044f1a26d64c18815f95d117de6edac998ae91e114352b3,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,35,42,254959,0,a4a0f452993f43b2070993b92955f56cff72cc957070320b1cb24b72bf33f72d,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,35,42,254959,0,db650be3897ca0e41beaff06f3020e9c8eb7efed7d49b301c34e06ca05823b07,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,100,42,254959,0,350132a7bf8792a2d612e3ce7eed35d32b1e0690956349a5ea90ed37750fc0b4,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,100,42,254959,0,eff89fcade4200ca5c77cae505c0bf53388a0250823879933b9ae36fa4d63af2,True,FINAL_SCORING_ONLY,LABELS_OPENED
PARTIAL_FT,500,42,254959,0,7bc423b49b352ec2aeca9f59f30de48fae81e53bb0fe729ed97879781df80c81,True,FINAL_SCORING_ONLY,LABELS_OPENED
FULL_FT,500,42,254959,0,2c4f727d964eb8de14255429a8b63275f2fc56c07d5152642996991b4776c8b1,True,FINAL_SCORING_ONLY,LABELS_OPENED
