method,budget,source_seed,support_seed,accuracy,macro_f1,balanced_accuracy,worst_class_f1,prediction_sha256
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,181081,0.11841269841269841,0.1017417813404787,0.1184126984126984,0.0,9fb880428c8b2b7f49b6c69c52d951d027deb700b155acacdae33779d39737db
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,205439,0.1403174603174603,0.1353161386143508,0.1403174603174603,0.0891304347826087,8d728ea1fece381dc314d13a04771762137253ead6073288384087bcf283f990
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,230003,0.16317460317460317,0.13885561071578265,0.16317460317460317,0.0,f30dbcfb9152d7bfb7dddc3b54ff70b604fcf8620f79b7772c57b63014980154
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,254959,0.13047619047619047,0.11160690065122049,0.13047619047619047,0.0,e46558da0f6969e1fe2832bdc554ade6b848e5a224b31b34c7d7e32f2cbf3832
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,280001,0.11365079365079366,0.09429110521969997,0.11365079365079366,0.0,757d7e112815c96a32f22bacf47b8fd68f3cd8d73535c682896861e001847041
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,305093,0.1288888888888889,0.11026322914675224,0.1288888888888889,0.0,75eb15d03d37abc4388997acc62dec99056c492471f4d53e6d77c624df582585
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,330017,0.11365079365079366,0.1017276092291401,0.11365079365079366,0.0,3076e553980ab8c93c3cb5a66726e1b90fef6afe79fe576b0838662ca596b179
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,355031,0.10253968253968254,0.09774038213012327,0.10253968253968256,0.010186757215619695,985a8a40812b31619c499aa09c24417ab39ed4ce168035f9536c4d9b44e08f0d
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,380041,0.16126984126984126,0.16155087334389714,0.16126984126984126,0.10515247108307045,b31ff3f4b727bd7593e18abc17bb1e3159a1a5d288181834ea32ca6fd4a93d77
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,405019,0.17396825396825397,0.16831901727077672,0.17396825396825397,0.0,ccbc7ed7dacdcec728b778be7d6b94c6cd19af76eb2b6281932a98780e75c9f0
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,430007,0.12857142857142856,0.11672268316589443,0.1285714285714286,0.0,ca934548f8b534ee0ce8b59d2792ba71558f31ebb43389869d3b30e558a1ff5c
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,455003,0.12793650793650793,0.10785301020132713,0.12793650793650793,0.0,0a875b9f79a4ac879acb32b8545127184df7a2e6d569202c9ff90f8e580ec7fc
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,480017,0.10888888888888888,0.0832633573775551,0.1088888888888889,0.0,af23e1909d5d1dc34dd412c821fa863d13ec7c6081809fbdfcb8906d24beffd6
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,505027,0.13015873015873017,0.10089449934313101,0.13015873015873017,0.0,66a07e67f9bfdbfb677148e04f5b82f89b535c765522ac52a120372328cd98b6
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,530017,0.13968253968253969,0.11807745575867369,0.13968253968253969,0.0,d216870ab83399ba7968e1519e99fa62326fc560233532630ada2cce753a5204
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,555029,0.14984126984126983,0.147432052099193,0.14984126984126983,0.0,679e8fe0eddc7fdfd74fbd44b0d1125f360415d2a7b9363908af1260237361b1
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,43,580031,0.1292063492063492,0.1279680928824377,0.1292063492063492,0.008559201141226819,9d6c1772118d6a3530fa8434d5a4cb69cb2cdec76ae711d09bb00031bc392088
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,104729,0.11619047619047619,0.10627916063368799,0.11619047619047619,0.0,1735b58f95f92954c4ff73f3476231f9f86a928bf862ccb196bb25b67623b100
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,130363,0.13904761904761906,0.12516501894884463,0.13904761904761906,0.0,f0c1e8910c1f4c470e2d7e7dd0b0026ebca8ad5345312f8d941f6f9e0fbfe7cf
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,155921,0.15714285714285714,0.15791139465821574,0.1571428571428571,0.0,80ea144c53a12b9688042e2cae3ead6db9398297cd0cca1b8f3551b88b944d77
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,181081,0.1692063492063492,0.15387336759453968,0.1692063492063492,0.0,50c4a03c539fe44152dbe7a92dfddfecbaa4933e138daad03ed2377340c96921
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,205439,0.11841269841269841,0.11884592643045708,0.11841269841269841,0.03374233128834356,bc2921dabb8fe07e1b756436c035e420765054119a949d6956c1ab845920fc6a
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,230003,0.14539682539682539,0.14126795692210045,0.1453968253968254,0.0,be04732929cca2e3d7bc94a25ab5f45163ebdbcd59e2ba2e28626fe3039401be
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,254959,0.14126984126984127,0.13813935712828365,0.14126984126984127,0.002466091245376079,df62f785b4c877a53148230b0c76b45da5b0c7c7a3a2c059b0b0637fd7d049c8
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,280001,0.14253968253968255,0.12046392242802004,0.14253968253968255,0.0,4000e666f282bda30f785c722e1890dfa054f734ef21fee29cfca7ef40b494db
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,305093,0.12,0.10899149591948314,0.12,0.0,4e94e77dde111a2a9ea480c8bb45b982c9a9f5f5a1aad82f9d31d14dba8aa26e
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,330017,0.11460317460317461,0.11841895327223446,0.1146031746031746,0.007692307692307693,a2c72c3c26c858ea0f03a64625c1b9a432d2233d18a1c700c9008a8c1c75d60c
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,355031,0.15523809523809523,0.15793876508645208,0.15523809523809523,0.0064034151547491995,f791fa01e37b98adf5eb83c9ae4e37a8c74efa6f403a4081fb8b7d1783f38dee
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,380041,0.13746031746031745,0.12246762743372672,0.13746031746031745,0.007237635705669481,e106b21c9db05634a5f2fb2797989278084f3cb2ee8b905ac837d684895b05ac
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,405019,0.11873015873015873,0.10880284153542921,0.11873015873015873,0.0,01462889328b138e9a86c754db8ade64f88b6a08466ef0133c88202daddecda9
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,430007,0.18063492063492065,0.16667985624964352,0.18063492063492065,0.0,ebcc9b38f43be40b3d27b9900a20c7997967f69ffee7769719177e3e8b7ba527
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,455003,0.09650793650793651,0.0931261939969076,0.0965079365079365,0.0,eea3a6650164c863432feb31f53976865dc5a2d777829ecb750f6a9331386c93
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,480017,0.08190476190476191,0.08281173009502318,0.0819047619047619,0.0,9b44a96994618093ee63e7ba209f0a1b3434db16af2b1db50912db6c3b4cefac
FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,7,44,505027,0.1111111111111111,0.1106876667853396,0.11111111111111113,0.0,9dae0f0287f022ff11bf419a0864d2f6e6206369bebe77dfe9de4fda68be630c
