arm,method,budget,source_seed,support_seed,fold,finetuning_seed,learning_rate,encoder_weight_decay,epochs,support_rows,class_count_min,class_count_max,support_accuracy,support_macro_f1,support_worst_class_f1,final_cross_entropy,final_proximal_penalty,final_objective,all_objectives_finite,source_encoder_sha256,adapted_encoder_sha256,adapted_model_sha256,encoder_displacement_frobenius,changed_parameter_names,trainable_parameter_names,trainable_parameter_count,optimizer_state_is_unit_local,parent_head_optimizer_completed_finite,parent_head_adapted_sha256,embedding_mean_cosine_to_source,embedding_rms_displacement
PARTIAL_FT,PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,42,130363,0,2434080813,0.0003,0.0,10,35,5,5,0.3142857142857143,0.2846320346320346,0.0,1.7346160411834717,0.30657339096069336,2.041189432144165,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,a95793097c42f06383f18e63c1c06472d2fc094d0c61fa8e3f1df06d99795f97,c92b9a4b8a1736f1edc4ef48c540f54acea22952631c6dbd19737ae0213631ad,0.6059698939014897,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,100871,True,True,34e3a313d34a31b7675f977ec6c3d18b433f2fda635f6eb667519654f0bf0de9,0.926342097156483,0.19361197288950763
FULL_FT,FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,42,130363,0,1394719161,0.0001,0.0001,20,35,5,5,0.4,0.3733766233766234,0.0,1.579770803451538,0.3071101903915405,1.8868809938430786,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,e4996fd6e3c6e4b2069237b78989b5164461cba0f766fc474d53768a07a6ff30,1652d568d9244a0e104e32688b1b02c053a8037edee8771fe8cca677d0de1ab6,0.4217035714578217,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,142855,True,True,34e3a313d34a31b7675f977ec6c3d18b433f2fda635f6eb667519654f0bf0de9,0.9394450967276137,0.17441798083827137
PARTIAL_FT,PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,42,130363,0,1804138472,0.0003,0.0,10,100,14,15,0.29,0.270854115349711,0.0,1.7444713115692139,0.27928778529167175,2.023759126663208,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,44e06952ed96e6e5e926906a435ba153a5de60d916aa311dc63a135935d40b87,07716e97b649e6e9258f7f9c7b1517921026e0e1aee42ae90207eb3fbd71fb6f,0.5244514362773844,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,100871,True,True,c12ab2250e7a48fd15cc889ceffe43d1bf74efd82058f6f932117f08b6e09300,0.9415497084615766,0.17010463865566744
FULL_FT,FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,100,42,130363,0,1608443399,0.0001,0.0001,20,100,14,15,0.42,0.406042786993551,0.1111111111111111,1.6071165800094604,0.27905988693237305,1.8861764669418335,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,0d45d6a05e859b87d73f2793a3bcbf0a8ee87cb2d732899691b7b3738b101350,d4bac8e0e3c3679d3237591a35fb66659a7ab92dfdf2e9af3cb79318f61a08b7,0.3798574702285832,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,142855,True,True,c12ab2250e7a48fd15cc889ceffe43d1bf74efd82058f6f932117f08b6e09300,0.9498996038908802,0.15699984479705448
PARTIAL_FT,PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,42,130363,0,4157593929,0.0003,0.0,10,500,71,72,0.266,0.2613682869717385,0.0,1.7756668329238892,0.2572002112865448,2.032866954803467,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,f678887d17f6d970dc9766a7b66c85f3f01c9dde527efdc403fc341672f85314,27f7a85798c06b15d456c6aa2a75e07570fc91a90e0a42d059fb6345473e3efe,0.5219099123454704,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,100871,True,True,7de4781e26cc65bad13f1a8bfe6f6a79522d441746e154628ec0a6174a4598ca,0.9410787551473545,0.17091436662165843
FULL_FT,FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,500,42,130363,0,419221875,0.0001,0.0001,20,500,71,72,0.302,0.2815490149938299,0.0,1.641838788986206,0.2573551535606384,1.8991940021514893,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,be4c3069e57dd9aa24db29937f16f115b16fcb17cc88da5970b1e136497ec6a7,fa4ee0b756e57ccb7270fdbbd64a27b5095a83be2b4df24212434cee7bf69bd0,0.3779916919932278,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,142855,True,True,7de4781e26cc65bad13f1a8bfe6f6a79522d441746e154628ec0a6174a4598ca,0.9505265953373839,0.15603789659697384
PARTIAL_FT,PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,7,42,155921,0,2248433637,0.0003,0.0,10,7,1,1,1.0,1.0,1.0,0.5425862669944763,0.42948251962661743,0.9720687866210938,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,cf0dc348f57e3b6cad7f96d1f1b5c3d25390a253eff040da2584165cb14c4369,c21a0de0b6f1fc8671d0926a303f9eac181d422fb1dc8614192142822fd021bf,0.5372065049367197,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,100871,True,True,d5d1d9189d91ec875f016f3d74acd7dc7b31e3d6276705e81f045887975ba000,0.9598229767915479,0.13909367706573567
FULL_FT,FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,7,42,155921,0,3739068589,0.0001,0.0001,20,7,1,1,1.0,1.0,1.0,0.35177284479141235,0.42900320887565613,0.7807760238647461,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,ed3127c3f4d3d2489232a19a67175e36d4950b84c3913deb59fb70269d7be530,ce9ed931290650de79df5da6efb465e4da783d1600437aab762592bd07eed137,0.39550721489399776,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,142855,True,True,d5d1d9189d91ec875f016f3d74acd7dc7b31e3d6276705e81f045887975ba000,0.9709570570347985,0.11792498381319076
PARTIAL_FT,PARTIAL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,42,155921,0,3258494906,0.0003,0.0,10,35,5,5,0.3142857142857143,0.3217893217893218,0.16666666666666666,1.7201565504074097,0.32881730794906616,2.048973798751831,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,b42d3513edf3e1eacce37539ed56f51f7f1d6185b9a1d314fd1e4fad106228c4,9bfa3e4010de2a209c9281471e0720c3e2ab2e996bd32976436d143fd2fb6e97,0.5411099442218775,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.13.bias|network.13.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,100871,True,True,5aa999435648109faf457e2e19b7b52b3e4b243e3a9761b873f1d1fc93d9e2f4,0.9439605253611763,0.16702224298840765
FULL_FT,FULL_C1_ENCODER_FINETUNING_LINEAR_SOFTMAX,35,42,155921,0,1720362435,0.0001,0.0001,20,35,5,5,0.4857142857142857,0.48288854003139725,0.2857142857142857,1.571070909500122,0.32881230115890503,1.8998832702636719,True,3b0c7de0c26ad779aa1bf00b37a40a12477b1675e8957b0be341542c4c7bd1fa,58348fee24d854f198761fe5fad70722b417b10f7b71517b617fdedc9327d473,04e6ae5b464dd86af3823925d43ef097e7d30fceb69ef4f366cb36b50e68cb70,0.39349180541363926,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,network.0.bias|network.0.weight|network.1.bias|network.1.weight|network.13.bias|network.13.weight|network.4.bias|network.4.weight|network.5.bias|network.5.weight|network.8.bias|network.8.weight|network.9.bias|network.9.weight,142855,True,True,5aa999435648109faf457e2e19b7b52b3e4b243e3a9761b873f1d1fc93d9e2f4,0.9524076413100683,0.15325932773804896
