method,budget,strategy,source_seed,support_seed,class_index,block_precision,block_recall,block_f1,row_precision,row_recall,row_f1
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,104729,0,0.2,0.2222222222222222,0.21052631578947367,0.18604651162790697,0.21333333333333335,0.19875776397515527
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,104729,1,0.5,0.1111111111111111,0.18181818181818182,0.43119266055045874,0.10444444444444445,0.16815742397137745
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,104729,2,0.18181818181818182,0.2222222222222222,0.2,0.18315018315018314,0.2222222222222222,0.20080321285140562
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,104729,3,0.07142857142857142,0.1111111111111111,0.08695652173913043,0.078125,0.12222222222222222,0.09532062391681109
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,104729,4,0.2,0.1111111111111111,0.14285714285714285,0.1891891891891892,0.10888888888888888,0.1382228490832158
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,104729,5,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.17763157894736842,0.12,0.14323607427055704
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,104729,6,0.2,0.3333333333333333,0.25,0.21067415730337077,0.3333333333333333,0.25817555938037867
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,130363,0,0.2857142857142857,0.2222222222222222,0.25,0.2926829268292683,0.21333333333333335,0.2467866323907455
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,130363,1,0.25,0.3333333333333333,0.2857142857142857,0.24581939799331104,0.32666666666666666,0.28053435114503816
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,130363,2,0.2857142857142857,0.2222222222222222,0.25,0.2857142857142857,0.2311111111111111,0.25552825552825553
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,130363,3,0.07142857142857142,0.1111111111111111,0.08695652173913043,0.10206896551724139,0.16444444444444445,0.12595744680851065
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,130363,4,0.0,0.0,0.0,0.1643835616438356,0.02666666666666667,0.045889101338432124
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,130363,5,0.2857142857142857,0.4444444444444444,0.34782608695652173,0.30015082956259426,0.44222222222222224,0.35759209344115006
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,130363,6,0.125,0.1111111111111111,0.11764705882352941,0.12531328320802004,0.1111111111111111,0.11778563015312132
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,155921,0,0.18181818181818182,0.2222222222222222,0.2,0.1657754010695187,0.20666666666666667,0.18397626112759644
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,155921,1,0.125,0.1111111111111111,0.11764705882352941,0.1272264631043257,0.1111111111111111,0.11862396204033215
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,155921,2,0.09090909090909091,0.1111111111111111,0.1,0.10218978102189781,0.12444444444444444,0.11222444889779559
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,155921,3,0.0,0.0,0.0,0.0169971671388102,0.013333333333333334,0.014943960149439602
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,155921,4,0.125,0.1111111111111111,0.11764705882352941,0.12682926829268293,0.11555555555555555,0.12093023255813953
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,155921,5,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.17320261437908496,0.11777777777777777,0.1402116402116402
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,155921,6,0.16666666666666666,0.2222222222222222,0.19047619047619047,0.17098445595854922,0.22,0.1924198250728863
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,181081,0,0.1,0.1111111111111111,0.10526315789473684,0.10121457489878542,0.1111111111111111,0.1059322033898305
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,181081,1,0.0,0.0,0.0,0.030303030303030304,0.011111111111111112,0.016260162601626018
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,181081,2,0.0,0.0,0.0,0.03870967741935484,0.013333333333333334,0.019834710743801654
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,181081,3,0.047619047619047616,0.1111111111111111,0.06666666666666667,0.05717054263565891,0.13111111111111112,0.0796221322537112
