contrast_id,category,metric,baseline_method,baseline_budget,baseline_strategy,comparison_method,comparison_budget,comparison_strategy,paired_seed_units,valid_paired_seed_units,mean_effect,ci_95_lower,ci_95_upper,bootstrap_replicates,leave_one_source_means_all_positive,leave_one_support_means_all_positive,leave_one_source_means,leave_one_support_means,interpretation_valid
TARGET_ONLY_COSINE_PROTOTYPE|3|ER_BALANCED_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,3,ER_BALANCED,25,25,-0.013333333333333332,-0.073015873015873,0.04319047619047596,10000,False,False,0.0000000000;-0.0190476190;-0.0246031746;-0.0087301587;-0.0142857143,-0.0182539683;-0.0111111111;-0.0182539683;-0.0119047619;-0.0071428571,True
TARGET_ONLY_COSINE_PROTOTYPE|3|SURFACE_BALANCED_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,3,SURFACE_BALANCED,25,25,0.013391855284659547,-0.04675890255787681,0.07073985699133314,10000,True,True,0.0232024821;0.0097376395;0.0011210376;0.0220787045;0.0108194128,0.0151593450;0.0113405091;0.0163864082;0.0136992051;0.0103738090,True
TARGET_ONLY_COSINE_PROTOTYPE|3|SURFACE_BALANCED_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,3,SURFACE_BALANCED,25,25,-0.025396825396825397,-0.08698412698412698,0.03428571428571428,10000,False,False,-0.0150793651;-0.0365079365;-0.0396825397;-0.0119047619;-0.0238095238,-0.0222222222;-0.0293650794;-0.0238095238;-0.0230158730;-0.0285714286,True
TARGET_ONLY_COSINE_PROTOTYPE|3|JOINT_FACTOR_COVERAGE_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,3,JOINT_FACTOR_COVERAGE,25,25,0.010380483424537451,-0.04682065821687934,0.06358184024836377,10000,True,True,0.0202191456;0.0103944448;0.0007932519;0.0099088165;0.0105867584,0.0095662081;0.0116050079;0.0135285748;0.0096400651;0.0075625612,True
TARGET_ONLY_COSINE_PROTOTYPE|3|JOINT_FACTOR_COVERAGE_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,3,JOINT_FACTOR_COVERAGE,25,25,-0.02476190476190476,-0.08319047619047618,0.031111111111111107,10000,False,False,-0.0166666667;-0.0309523810;-0.0380952381;-0.0190476190;-0.0190476190,-0.0253968254;-0.0238095238;-0.0206349206;-0.0261904762;-0.0277777778,True
TARGET_ONLY_COSINE_PROTOTYPE|5|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|macro_f1,MATCHED_BUDGET_FACTOR_STRATEGY,block_macro_f1,TARGET_ONLY_COSINE_PROTOTYPE,5,RANDOM_BLOCK,TARGET_ONLY_COSINE_PROTOTYPE,5,JOINT_FACTOR_COVERAGE,25,25,0.004295306943858477,-0.01380725805265309,0.02306157713458982,10000,True,True,0.0070949019;0.0014886848;0.0011332378;0.0045812074;0.0071785030,0.0023814994;0.0099931678;0.0025105736;0.0007057247;0.0058855692,True
TARGET_ONLY_COSINE_PROTOTYPE|5|JOINT_FACTOR_COVERAGE_MINUS_RANDOM|accuracy,MATCHED_BUDGET_FACTOR_STRATEGY,block_accuracy,TARGET_ONLY_COSINE_PROTOTYPE,5,RANDOM_BLOCK,TARGET_ONLY_COSINE_PROTOTYPE,5,JOINT_FACTOR_COVERAGE,25,25,0.005079365079365079,-0.014603174603174602,0.026031746031746027,10000,True,True,0.0063492063;0.0015873016;0.0031746032;0.0063492063;0.0079365079,0.0007936508;0.0095238095;0.0031746032;0.0031746032;0.0087301587,True
TARGET_ONLY_COSINE_PROTOTYPE|5|RANDOM_BLOCK_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,5,RANDOM_BLOCK,25,25,0.0033113463661100313,-0.0552247842152585,0.05887205530704837,10000,False,True,0.0108295691;0.0039664289;-0.0098032521;0.0056483217;0.0059156643,0.0065742392;0.0003379884;0.0024328767;0.0058129294;0.0013986981,True
TARGET_ONLY_COSINE_PROTOTYPE|5|RANDOM_BLOCK_MINUS_FS0|accuracy,ADAPTED_VERSUS_MATCHED_FS0,block_accuracy,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,5,RANDOM_BLOCK,25,25,-0.0292063492063492,-0.08952380952380952,0.030476190476190476,10000,False,False,-0.0206349206;-0.0341269841;-0.0444444444;-0.0230158730;-0.0238095238,-0.0238095238;-0.0301587302;-0.0317460317;-0.0269841270;-0.0333333333,True
TARGET_ONLY_COSINE_PROTOTYPE|5|JOINT_FACTOR_COVERAGE_MINUS_FS0|macro_f1,ADAPTED_VERSUS_MATCHED_FS0,block_macro_f1,FS0_FROZEN_SOURCE_HEAD,0,FS0_FROZEN_SOURCE_HEAD,TARGET_ONLY_COSINE_PROTOTYPE,5,JOINT_FACTOR_COVERAGE,25,25,0.00760665330996851,-0.05404966686129259,0.06844243487920323,10000,False,True,0.0179244709;0.0054551137;-0.0086700144;0.0102295290;0.0130941673,0.0089557386;0.0103311561;0.0049434503;0.0065186541;0.0072842674,True
