method,budget,strategy,source_seed,support_seed,oof_blocks,oof_rows,block_accuracy,block_macro_f1,row_accuracy,row_macro_f1,mean_within_block_agreement,inference_unit,interpretation_valid,block_confusion_matrix,row_confusion_matrix,support_seed_variance,source_checkpoint_variance
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,44,104729,63,3150,0.12698412698412698,0.11847462061747775,0.13015873015873017,0.12203337154545746,0.9755555555555555,condition_block,True,"[[0,1,0,3,4,0,1],[0,0,4,4,0,0,1],[1,1,2,0,1,2,2],[1,0,1,2,1,0,4],[1,1,2,2,1,1,1],[2,1,0,4,0,1,1],[4,0,2,1,0,0,2]]","[[0,54,10,150,186,0,50],[1,4,199,189,0,7,50],[50,50,100,0,51,100,99],[50,4,49,103,65,6,173],[51,50,100,100,52,47,50],[100,50,0,200,3,50,47],[197,0,100,49,0,3,101]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,44,130363,63,3150,0.1746031746031746,0.16237259816207184,0.17142857142857143,0.15887118137947834,0.9784126984126983,condition_block,True,"[[0,0,4,0,1,3,1],[0,3,2,2,0,0,2],[0,1,1,3,1,2,1],[0,2,2,2,0,2,1],[1,2,0,2,1,2,1],[0,1,0,4,1,2,1],[0,1,1,3,1,1,2]]","[[0,16,190,0,50,144,50],[1,143,100,100,0,6,100],[3,50,51,150,47,100,49],[0,99,96,98,1,106,50],[43,96,4,107,49,101,50],[0,50,0,198,46,106,50],[0,55,51,150,51,50,93]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,44,155921,63,3150,0.12698412698412698,0.1266635325458855,0.1349206349206349,0.13471057084549548,0.9647619047619048,condition_block,True,"[[0,2,1,0,5,0,1],[0,1,5,2,0,0,1],[1,1,2,0,1,1,3],[1,1,1,1,1,1,3],[1,1,3,0,1,2,1],[3,1,0,1,2,1,1],[4,1,1,0,1,0,2]]","[[17,101,63,0,219,0,50],[1,51,249,99,0,0,50],[53,50,100,0,63,50,134],[50,61,49,47,77,44,122],[50,50,147,0,56,97,50],[150,50,0,51,99,53,47],[197,49,50,0,50,3,101]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,44,181081,63,3150,0.12698412698412698,0.11585434173669469,0.1292063492063492,0.11700280925643604,0.9752380952380951,condition_block,True,"[[0,1,0,2,3,1,2],[1,2,0,1,0,3,2],[2,1,0,0,0,4,2],[0,0,0,2,3,2,2],[1,1,1,2,1,2,1],[0,1,0,5,0,2,1],[2,0,0,3,1,2,1]]","[[0,53,1,100,137,59,100],[51,103,0,50,0,147,99],[93,51,0,13,6,205,82],[0,3,0,101,147,103,96],[43,50,50,107,49,101,50],[0,50,0,244,0,105,51],[97,1,0,150,51,102,49]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,44,205439,63,3150,0.12698412698412698,0.11047281788969769,0.12825396825396826,0.11112427854410463,0.9793650793650793,condition_block,True,"[[0,2,0,2,3,1,1],[1,1,1,2,0,3,1],[2,1,0,1,0,3,2],[0,1,0,3,3,1,1],[1,1,1,2,1,2,1],[2,0,0,4,0,2,1],[2,0,0,3,1,2,1]]","[[0,103,0,100,147,50,50],[51,53,49,100,0,147,50],[98,51,0,63,6,150,82],[0,52,0,151,147,50,50],[43,50,50,107,46,104,50],[94,0,0,200,0,105,51],[109,1,1,150,50,90,49]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,45,104729,63,3150,0.1111111111111111,0.10743066457352171,0.11492063492063492,0.11084490644728859,0.9707936507936508,condition_block,True,"[[0,1,1,0,2,0,5],[1,1,3,2,0,0,2],[4,0,2,1,0,1,1],[2,2,1,1,0,0,3],[2,0,2,3,1,0,1],[1,0,1,3,1,0,3],[4,0,2,1,0,0,2]]","[[0,50,64,3,96,0,237],[51,50,150,90,0,10,99],[184,0,107,50,0,50,59],[98,99,41,54,12,0,146],[101,0,96,150,50,0,53],[53,1,50,149,47,1,149],[200,0,100,49,0,1,100]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,45,130363,63,3150,0.1111111111111111,0.11749433106575961,0.1165079365079365,0.12173885179702885,0.9714285714285713,condition_block,True,"[[1,1,1,0,0,3,3],[0,2,1,1,0,3,2],[1,0,1,1,1,3,2],[2,1,2,0,0,2,2],[1,2,0,2,1,2,1],[2,1,0,4,0,1,1],[0,2,1,2,1,2,1]]","[[47,57,50,0,0,150,146],[0,95,50,52,0,153,100],[44,0,54,50,54,150,98],[99,50,85,7,1,103,105],[48,96,3,107,46,100,50],[100,50,0,198,0,58,44],[0,88,51,100,51,100,60]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,45,155921,63,3150,0.12698412698412698,0.12870661084946802,0.12698412698412698,0.1267797000410051,0.9723809523809523,condition_block,True,"[[0,1,3,0,3,0,2],[1,2,4,0,0,0,2],[5,0,3,0,0,1,0],[2,1,3,1,0,0,2],[2,0,3,1,1,1,1],[2,0,1,2,3,0,1],[4,0,2,1,0,1,1]]","[[0,50,154,0,146,0,100],[51,90,210,0,0,0,99],[228,9,157,0,0,50,6],[98,53,140,50,13,0,96],[104,0,143,53,50,50,50],[103,1,51,96,143,3,53],[200,0,100,50,0,50,50]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,45,181081,63,3150,0.12698412698412698,0.13194647875099003,0.12031746031746032,0.12289210445237732,0.963174603174603,condition_block,True,"[[1,1,2,1,1,2,1],[1,1,2,2,0,2,1],[1,0,3,3,0,2,0],[2,1,3,0,1,1,1],[1,1,1,1,1,1,3],[1,1,1,5,0,1,0],[2,0,1,4,0,1,1]]","[[47,50,104,47,43,109,50],[51,49,109,101,1,90,49],[49,0,132,162,1,100,6],[97,50,150,13,49,41,50],[62,50,50,63,32,51,142],[50,50,47,246,0,57,0],[97,0,50,200,1,53,49]]",0.0007972236094957889,0.0009100063281101021
FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,45,205439,63,3150,0.12698412698412698,0.13056542775212854,0.1180952380952381,0.11956431470077408,0.9650793650793649,condition_block,True,"[[1,1,2,1,1,1,2],[1,1,2,1,0,3,1],[3,0,3,0,0,3,0],[3,1,4,0,0,0,1],[1,0,1,1,1,2,3],[2,0,1,5,0,1,0],[3,0,1,3,0,1,1]]","[[47,60,100,47,43,53,100],[52,49,109,50,1,140,49],[148,0,135,10,1,150,6],[159,47,185,3,3,3,50],[69,0,50,56,32,101,142],[100,1,47,245,0,57,0],[147,0,50,150,1,53,49]]",0.0007972236094957889,0.0009100063281101021
