analysis_class,method,budget,source_seed,support_seed,outer_fold,support_coverage_score,unique_er_levels,unique_surfaces,block_accuracy,block_macro_f1
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,130363,1,0.16666666666666666,1,1,0.09523809523809523,0.10714285714285714
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,130363,1,0.16666666666666666,1,1,0.047619047619047616,0.031746031746031744
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,130363,1,0.75,3,2,0.23809523809523808,0.23333333333333336
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,130363,1,0.75,3,2,0.047619047619047616,0.04081632653061224
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,130363,1,0.75,3,3,0.19047619047619047,0.1812925170068027
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,130363,1,0.75,3,3,0.14285714285714285,0.12063492063492064
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,155921,1,0.16666666666666666,1,1,0.09523809523809523,0.05454545454545455
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,155921,1,0.16666666666666666,1,1,0.047619047619047616,0.023809523809523808
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,155921,1,0.6666666666666666,3,2,0.09523809523809523,0.07653061224489796
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,155921,1,0.6666666666666666,3,2,0.047619047619047616,0.025974025974025976
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,155921,1,0.775,3,3,0.09523809523809523,0.08163265306122448
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,155921,1,0.775,3,3,0.047619047619047616,0.04081632653061224
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,181081,1,0.16666666666666666,1,1,0.14285714285714285,0.1173469387755102
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,181081,1,0.16666666666666666,1,1,0.0,0.0
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,181081,1,0.5,2,2,0.14285714285714285,0.10476190476190476
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,181081,1,0.5,2,2,0.047619047619047616,0.031746031746031744
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,181081,1,0.75,3,3,0.09523809523809523,0.06746031746031746
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,181081,1,0.75,3,3,0.09523809523809523,0.06462585034013604
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,205439,1,0.16666666666666666,1,1,0.14285714285714285,0.09956709956709957
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,205439,1,0.16666666666666666,1,1,0.0,0.0
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,205439,1,0.6666666666666666,3,2,0.047619047619047616,0.04081632653061224
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,205439,1,0.6666666666666666,3,2,0.047619047619047616,0.04081632653061224
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,205439,1,0.8,3,3,0.19047619047619047,0.10966810966810966
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,205439,1,0.8,3,3,0.14285714285714285,0.10714285714285714
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,104729,2,0.16666666666666666,1,1,0.23809523809523808,0.20748299319727895
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,42,104729,2,0.16666666666666666,1,1,0.2857142857142857,0.2959183673469387
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,3,42,104729,2,0.6666666666666666,2,3,0.19047619047619047,0.17687074829931973
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,42,104729,2,0.6666666666666666,2,3,0.14285714285714285,0.12414965986394556
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,5,42,104729,2,0.8,3,3,0.0,0.0
ASSOCIATIONAL_EXPLORATORY,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,42,104729,2,0.8,3,3,0.14285714285714285,0.15238095238095237
ASSOCIATIONAL_EXPLORATORY,TARGET_ONLY_COSINE_PROTOTYPE,1,42,130363,2,0.16666666666666666,1,1,0.09523809523809523,0.06168831168831169
