record_type,source_seed,support_seed,random_block_macro_f1,joint_factor_coverage_macro_f1,joint_minus_random_macro_f1,joint_minus_random_block_accuracy,mean_effect,ci_95_lower,ci_95_upper,bootstrap_replicates,leave_one_source_means_all_positive,leave_one_support_means_all_positive
PAIRED_SEED_UNIT,42,104729,0.17440679621130747,0.09265562024182715,-0.08175117596948032,-0.07936507936507936,,,,,,
PAIRED_SEED_UNIT,42,130363,0.09575569358178052,0.09987152755839178,0.004115833976611263,0.031746031746031744,,,,,,
PAIRED_SEED_UNIT,42,155921,0.1363301689859773,0.04786811749871573,-0.08846205148726158,-0.07936507936507936,,,,,,
PAIRED_SEED_UNIT,42,181081,0.13279153558656662,0.12678404695211418,-0.00600748863445244,0.015873015873015872,,,,,,
PAIRED_SEED_UNIT,42,205439,0.0880952380952381,0.10856734010091541,0.020472102005677312,0.015873015873015872,,,,,,
PAIRED_SEED_UNIT,43,104729,0.16883073067283597,0.10895493395493396,-0.05987579671790201,-0.09523809523809523,,,,,,
PAIRED_SEED_UNIT,43,130363,0.07793262232429203,0.12953429065961036,0.05160166833531833,0.06349206349206349,,,,,,
PAIRED_SEED_UNIT,43,155921,0.1161084529505582,0.09533638016610153,-0.02077207278445667,-0.015873015873015872,,,,,,
PAIRED_SEED_UNIT,43,181081,0.13113378684807256,0.13217662350981582,0.0010428366617432627,0.015873015873015872,,,,,,
PAIRED_SEED_UNIT,43,205439,0.12511743827965968,0.12374949979991996,-0.0013679384797397193,0.0,,,,,,
PAIRED_SEED_UNIT,44,104729,0.14407814407814407,0.18111371030625686,0.0370355662281128,0.031746031746031744,,,,,,
PAIRED_SEED_UNIT,44,130363,0.14191992586508287,0.1321498296288212,-0.009770096236261655,0.0,,,,,,
PAIRED_SEED_UNIT,44,155921,0.09149497119421932,0.10262778157515,0.011132810380930683,0.015873015873015872,,,,,,
PAIRED_SEED_UNIT,44,181081,0.21219340755136765,0.1395891690009337,-0.07260423855043394,-0.07936507936507936,,,,,,
PAIRED_SEED_UNIT,44,205439,0.12104205318491032,0.17647746130718267,0.05543540812227235,0.047619047619047616,,,,,,
PAIRED_SEED_UNIT,45,104729,0.1207369072030726,0.15813840687790268,0.03740149967483007,0.031746031746031744,,,,,,
PAIRED_SEED_UNIT,45,130363,0.08317805383022774,0.1553709230727864,0.07219286924255867,0.06349206349206349,,,,,,
PAIRED_SEED_UNIT,45,155921,0.05873015873015874,0.16402807276756856,0.10529791403740982,0.09523809523809523,,,,,,
PAIRED_SEED_UNIT,45,181081,0.20607590355489513,0.14282349095244504,-0.0632524126024501,-0.06349206349206349,,,,,,
PAIRED_SEED_UNIT,45,205439,0.10845410628019324,0.1578555946977,0.04940148841750676,0.031746031746031744,,,,,,
PAIRED_SEED_UNIT,46,104729,0.16958049886621315,0.09593695777906304,-0.07364354108715011,-0.06349206349206349,,,,,,
PAIRED_SEED_UNIT,46,130363,0.155343716433942,0.07909706392678528,-0.0762466525071567,-0.07936507936507936,,,,,,
PAIRED_SEED_UNIT,46,155921,0.08378577943795336,0.1476919439104313,0.06390616447247795,0.047619047619047616,,,,,,
PAIRED_SEED_UNIT,46,181081,0.1826802515878146,0.09394915861081274,-0.08873109297700185,-0.09523809523809523,,,,,,
PAIRED_SEED_UNIT,46,205439,0.10158073004372814,0.11022267206477733,0.00864194202104919,0.0,,,,,,
PRIMARY_AGGREGATE,ALL,ALL,0.12909508285512847,0.12410282467683852,-0.004992258178289945,-0.005714285714285714,-0.004992258178289945,-0.03920001785830564,0.029009934953014196,10000,False,False
