run_id,method,budget,strategy,source_seed,support_seed,outer_fold,status,query_label_access_sequence,premature_query_label_access,query_metric_computation_count,prediction_sha256
run_9cc92c4e5bc1b6adf5ac,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,SURFACE_BALANCED,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,3b368858cdd4bdfcce657bed1b2949a88fa3aab11ee3b7edb3ea9c4da64cadf2
run_11d02bd608d36150595a,TARGET_ONLY_COSINE_PROTOTYPE,3,JOINT_FACTOR_COVERAGE,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,43fe8752b805d7238ae7802512603b0aa5cf15b5bf6ac000b0bdb10af188e8bd
run_8d6facc19730d8d31000,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,3,JOINT_FACTOR_COVERAGE,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,37feb7138a72b706d71fbe64971bd6ca52b2d5d521baee5a4b0b62b41e466e62
run_2dd1ae9fb77bf3551e8e,TARGET_ONLY_COSINE_PROTOTYPE,5,RANDOM_BLOCK,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,e8a3f0c997bbf2996c67a0353f8bc83fa690adbb7f368de886da781ba0eb8fa9
run_7d239b43f4674a60216b,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,RANDOM_BLOCK,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,2f2e3fcc807659fa051d4825cf8702c3f1f7a0ccbd795b9edf077412e97f9cc4
run_c5e1378984d0b3424649,TARGET_ONLY_COSINE_PROTOTYPE,5,JOINT_FACTOR_COVERAGE,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,64f0aa0252a892c2d32e49046beada1150d573c512db5ead8dc4f078ddc27070
run_bbbb19a5bbf18951a3a5,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,5,JOINT_FACTOR_COVERAGE,42,104729,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,1be18bc3276a7e7a0514a78e7f3303b5dbc457b4bfb1d29ae47cf8eb48266a34
run_21d31ce00c95f8e9c1dc,TARGET_ONLY_COSINE_PROTOTYPE,1,RANDOM_BLOCK,42,130363,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,bb820ecfb575683de459e801c0e6e8ef28f58af56e8b60be42c1a344b956e939
run_1dfeefbd18f39667b703,FROZEN_ENCODER_LINEAR_HEAD_ADAPTATION,1,RANDOM_BLOCK,42,130363,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,3b0c1d8d296823fe40d91ce61c14dadf49cc218e46b6a4a663d7ab845c447db5
run_6e97d89d6cdabae5a910,TARGET_ONLY_COSINE_PROTOTYPE,3,RANDOM_BLOCK,42,130363,0,COMPLETE_PREDICTIONS_HASHED_LABELS_OPENED_METRICS_ONCE,QUERY_LABELS_SEALED>QUERY_PREDICTIONS_FROZEN>QUERY_LABELS_OPENED_AFTER_PREDICTION_FREEZE>QUERY_METRICS_COMPUTED_ONCE,False,1,2f46d75514f0633dfc420046eaff646cd39704bef5fc194681d586a53690c39b
