budget,fit_unit_count,support_macro_f1_mean,support_macro_f1_sd,support_accuracy_mean,held_query_macro_f1,held_query_macro_f1_ci_95_lower,held_query_macro_f1_ci_95_upper,support_minus_query_macro_f1,mean_optimizer_iterations,max_optimizer_iterations,all_optimizations_completed_finite
7,300,0.9847619047619048,0.05405468535534668,0.9885714285714287,0.12668711884666103,0.08486761948963834,0.1667701908098296,0.8580747859152438,45.88333333333333,69,True
10,300,0.6733650793650793,0.1890144276380567,0.7703333333333334,0.12612724052014962,0.08619979551222566,0.16300965121168512,0.5472378388449297,47.696666666666665,70,True
20,300,0.39921703428846284,0.10061986051378642,0.42183333333333334,0.13637318850259242,0.0821530726900315,0.18911594192825487,0.2628438457858704,48.096666666666664,76,True
21,300,0.3826598639455782,0.08971926975229556,0.39555555555555555,0.13741805040974964,0.08040886901842537,0.19244716205923845,0.24524181353582858,48.97666666666667,85,True
35,300,0.24867384203098492,0.058208408808193536,0.2537142857142857,0.1446726219180289,0.0807036691747576,0.20490536905590556,0.10400122011295601,48.56666666666667,98,True
50,300,0.2426045566029029,0.05896608455022091,0.2501333333333334,0.14045279163167435,0.07566156019749967,0.20197185900667908,0.10215176497122855,48.266666666666666,74,True
100,300,0.23272893479124998,0.048487843702428986,0.2371333333333334,0.14426234944834132,0.07749245458038673,0.20817676155787063,0.08846658534290866,47.63666666666666,78,True
200,300,0.22658233009896256,0.04584449216819189,0.22968333333333335,0.14128568492317714,0.07474078137682107,0.20325320268537328,0.08529664517578542,47.14333333333333,73,True
500,300,0.22812551457533317,0.04320295274260908,0.23068666666666668,0.14274046260669399,0.07527778868276494,0.20657933694467762,0.08538505196863919,46.79,73,True
