budget,method,source_seed,support_seed,accuracy,macro_f1,balanced_accuracy,worst_class_f1,prediction_sha256
7,TARGET_ONLY_COSINE_PROTOTYPE,43,130363,0.15587301587301589,0.1189372275825833,0.15587301587301589,0.0,e9e0032f4c0fddc4c7888e33008be563b14dad067a6edf46f83fc58e9fbbe8ca
7,TARGET_ONLY_COSINE_PROTOTYPE,43,155921,0.12984126984126984,0.12931442083876998,0.12984126984126984,0.0,70369bb72f544fbe22920161fcaba45006478cfad04d418620ec7b8f989921e8
7,TARGET_ONLY_COSINE_PROTOTYPE,43,181081,0.13015873015873017,0.12431634477171714,0.13015873015873017,0.0,79bee617a2b698f94e82c49cfed7bf7b448c7b5f3f05ed7c8c4add59ce0a31ae
7,TARGET_ONLY_COSINE_PROTOTYPE,43,205439,0.1419047619047619,0.13095870326377357,0.1419047619047619,0.0,6bef291b786b61ca708e65f985442617fc2bb4cd9bb7465d86c06546fc644833
7,TARGET_ONLY_COSINE_PROTOTYPE,43,230003,0.1438095238095238,0.1340924310250914,0.1438095238095238,0.0,ea608bc6edc5ae582ba2f7395539ca3cc325ce7adaec201f80813d82be5949eb
7,TARGET_ONLY_COSINE_PROTOTYPE,43,254959,0.09619047619047619,0.09167911413898208,0.09619047619047619,0.0,f6fa8eb957d3064fc9f5279a123298f312be97532c3d6fd64bcc377a44aa4c06
7,TARGET_ONLY_COSINE_PROTOTYPE,43,280001,0.12571428571428572,0.11948104195445765,0.12571428571428572,0.0,15b9663b5818b14118100d8cee84caa96d581e1b0ef9830884fdcd87c53bf0c8
7,TARGET_ONLY_COSINE_PROTOTYPE,43,305093,0.14888888888888888,0.1315586632963382,0.14888888888888888,0.003552397868561279,aedae3ec444e61729064025b37281ab104a2af2178feafbf390830146687e335
7,TARGET_ONLY_COSINE_PROTOTYPE,43,330017,0.14857142857142858,0.1362138380942523,0.14857142857142858,0.0,963e79f2856da0a293adbad1db0ae95faf6bb554bae8aa3a60a576ec1301d957
7,TARGET_ONLY_COSINE_PROTOTYPE,43,355031,0.1796825396825397,0.18032424257110705,0.1796825396825397,0.06996381182147166,635ca19955d393f430ef0df205b8cbc0faab951b2912bf86d88273c3f55fb2e6
7,TARGET_ONLY_COSINE_PROTOTYPE,43,380041,0.12857142857142856,0.12476820702013487,0.1285714285714286,0.0,6ad406402d97d277071a07bc468c84433c86b199c3788c2562af90571e29363a
7,TARGET_ONLY_COSINE_PROTOTYPE,43,405019,0.1111111111111111,0.09137546003086452,0.11111111111111109,0.0,85c27adf62b2cd8b67ff959a32ea6809321ec4062e4e4d68ec14d1672c43ad4c
7,TARGET_ONLY_COSINE_PROTOTYPE,43,430007,0.1819047619047619,0.15766031949017342,0.18190476190476193,0.01410105757931845,3dd7642c60e371e52351c2e9871d1b5e87a0db549d092be122a70f148eb25b4b
7,TARGET_ONLY_COSINE_PROTOTYPE,43,455003,0.1746031746031746,0.16527211791583943,0.1746031746031746,0.0,e3c5dbca331f30c32039fa0d30bb26992345b754493a62fc2957e1b9b97b5e74
7,TARGET_ONLY_COSINE_PROTOTYPE,43,480017,0.1219047619047619,0.10704213990911526,0.12190476190476192,0.0,c4cb7f67b1f011f11e48bcd384e4143cedb3f52685c2b180e7857320c2a0ad26
7,TARGET_ONLY_COSINE_PROTOTYPE,43,505027,0.11142857142857143,0.11342248348111963,0.11142857142857143,0.0026109660574412533,9ed66544fbc96d48ad0b7bcf027eb6523028652d292a5f40f43fab5ac176ab83
7,TARGET_ONLY_COSINE_PROTOTYPE,43,530017,0.12476190476190477,0.12100545964927613,0.12476190476190475,0.0,cfafa690c301e733d276652d05b452309b8d608573b4501bfb53cb8a2e5ebe6c
7,TARGET_ONLY_COSINE_PROTOTYPE,43,555029,0.09714285714285714,0.09545389650893603,0.09714285714285713,0.0,53aca9a23fe5e88f22568f3917203edc032cc6da29e371179e3370e180b45a83
7,TARGET_ONLY_COSINE_PROTOTYPE,43,580031,0.1580952380952381,0.14698822763498054,0.15809523809523807,0.0,88b542195c26a2b9c852349ff3b43ae35a818cf22591e0dbd4ae4abbbf228fb5
7,TARGET_ONLY_COSINE_PROTOTYPE,44,104729,0.18603174603174602,0.1799003153003637,0.18603174603174602,0.007722007722007722,18f64988a8f75fb10bc6cb6de6b4aaedd9f9075c26aaad665b198a21d2a397a2
7,TARGET_ONLY_COSINE_PROTOTYPE,44,130363,0.2126984126984127,0.19332237294943644,0.2126984126984127,0.022653721682847898,a14e299860190b7434d2690ea3250083a4d656daed4a6abbd693264a52b6acec
7,TARGET_ONLY_COSINE_PROTOTYPE,44,155921,0.1307936507936508,0.10649173644150196,0.1307936507936508,0.0,374506582db3157bfd8ecd6ca2cbc2ff4f3afa7dc1d2e5e0e96875f0b0f5ce96
7,TARGET_ONLY_COSINE_PROTOTYPE,44,181081,0.1895238095238095,0.178876583027778,0.1895238095238095,0.0,c8307ff7234481067101108ec67503a80c2f808f069f66430f95270738efcce2
7,TARGET_ONLY_COSINE_PROTOTYPE,44,205439,0.10984126984126984,0.1090276741595987,0.10984126984126984,0.0,6c39b0119ba629812d59c90ccb40c40eb9ed207b1d0ab48db7ffd2748f82068f
7,TARGET_ONLY_COSINE_PROTOTYPE,44,230003,0.16412698412698412,0.15590363245444644,0.16412698412698412,0.0,b6ce864e076c28166548958ec7caba2db8723a9b69e6b791e069428d898b0c69
7,TARGET_ONLY_COSINE_PROTOTYPE,44,254959,0.1346031746031746,0.12868402980658478,0.13460317460317459,0.0,752f72755b0dcfbababa07aa5fc202b993827528bd31206f697873e4292a6f4a
7,TARGET_ONLY_COSINE_PROTOTYPE,44,280001,0.1419047619047619,0.12640520590877627,0.14190476190476192,0.0,57a8608f638859ce2ffdf954588a4685b3931506a878785fe4ddd2d86d2c2e26
7,TARGET_ONLY_COSINE_PROTOTYPE,44,305093,0.18158730158730158,0.18088176681502185,0.18158730158730158,0.12133468149646107,65e6c3996c625b59ef99b9df851d3be8ea532be95cacff88e877e2a82297f9fc
7,TARGET_ONLY_COSINE_PROTOTYPE,44,330017,0.09333333333333334,0.0799653325914761,0.09333333333333334,0.0,5c08c72d9eb918043776124b947f49af8f65b9f261ec15c8bbd81cd2057892be
7,TARGET_ONLY_COSINE_PROTOTYPE,44,355031,0.14317460317460318,0.1342908282938517,0.1431746031746032,0.0033333333333333335,545bdcd2ec954d2242314dd2e9f7d1965e1c6915cf8b6a3f8f871a7ac2a187ff
7,TARGET_ONLY_COSINE_PROTOTYPE,44,380041,0.133015873015873,0.13414168601110302,0.13301587301587303,0.0062959076600209865,56d36a8e42066a7ac63199c15dd378ca76ee1ccf9cc9c7924edc9dfbc0ab76dd
7,TARGET_ONLY_COSINE_PROTOTYPE,44,405019,0.16158730158730158,0.13840656154659248,0.16158730158730158,0.0,9cef6a6aa4942856e87f2527f6cf66492168147597cc86fbcc1a8251e2a90df0
7,TARGET_ONLY_COSINE_PROTOTYPE,44,430007,0.2073015873015873,0.18458789181385277,0.2073015873015873,0.0,5ed1f6abb39a595954728621d8c69ccb597bc35059209c320bb266955bcf9ce5
7,TARGET_ONLY_COSINE_PROTOTYPE,44,455003,0.12,0.1097776753623098,0.12,0.0,84f86f5e3b4e5dff526e1e683d2a4f40150a979d0d30fbf97b46e72e0aa5c939
7,TARGET_ONLY_COSINE_PROTOTYPE,44,480017,0.11333333333333333,0.094272591130384,0.11333333333333331,0.0,ff80bea3a5240dc6005da03bf54b8ea1b0591251a7add6c583fe590206d5c457
7,TARGET_ONLY_COSINE_PROTOTYPE,44,505027,0.10920634920634921,0.10876531858181404,0.10920634920634921,0.0,2492ece13f185b8d571ec206e6ee4f624d355a176405b7ca9433d604fe4302c8
7,TARGET_ONLY_COSINE_PROTOTYPE,44,530017,0.17365079365079364,0.14177203671971247,0.17365079365079364,0.0,cf9ab3c1958c74e7afc35a7805645f7cf0665d0d4ef369664ca243420a3b6edc
7,TARGET_ONLY_COSINE_PROTOTYPE,44,555029,0.06603174603174604,0.058144337978690515,0.06603174603174604,0.0,6327f2c4c5d7ed1261d10a5af7dacf57c080749fb255e1f9f5e7a5ceaf8685fe
7,TARGET_ONLY_COSINE_PROTOTYPE,44,580031,0.18793650793650793,0.1811853068393329,0.18793650793650793,0.007633587786259542,3a34bae9c9473202bf204a0d92c99dae5b4b78e11ee9e14d7b3023ea59aa2da1
7,TARGET_ONLY_COSINE_PROTOTYPE,45,104729,0.15968253968253968,0.14550062603694142,0.15968253968253968,0.0,88f641f0ce1375d85e7f5084dd75cd9c6b38e7db36ea9234dbac3f15b08bfc6f
7,TARGET_ONLY_COSINE_PROTOTYPE,45,130363,0.17174603174603176,0.15357572782812576,0.17174603174603176,0.0,acd659f5db86f804c1d9ba793e8432d9d32ed7fbc7cc64b6cde6f2d7d8741aad
7,TARGET_ONLY_COSINE_PROTOTYPE,45,155921,0.15523809523809523,0.1567700965668288,0.15523809523809523,0.08394543546694648,5f63ea16dd699d1294e957c0f004afd24a902dfd0d5aa272a43506f229cbda0a
7,TARGET_ONLY_COSINE_PROTOTYPE,45,181081,0.11428571428571428,0.11391529301602708,0.1142857142857143,0.0,5ea10860c9e5978ad7cbb7aa412860f2e38d326b9dc8ae80f2765b1950ef814b
7,TARGET_ONLY_COSINE_PROTOTYPE,45,205439,0.11428571428571428,0.12166486421994763,0.1142857142857143,0.0019065776930409914,37d8e02c5a177be510542a9dcdb9f6a74575d70f84e3b7ed931f73094b7ccec2
7,TARGET_ONLY_COSINE_PROTOTYPE,45,230003,0.11206349206349206,0.08658581020602434,0.11206349206349207,0.0,99318e66f7be69a708171cbb7e91c1860f42be4f8692ed3d7513196759ae7dcc
7,TARGET_ONLY_COSINE_PROTOTYPE,45,254959,0.14285714285714285,0.1306297589423057,0.14285714285714285,0.00243605359317905,bca93a2cf54a88ea0333bd14a0ae9a19f8f20df2713a52ab58605ca1adc84994
7,TARGET_ONLY_COSINE_PROTOTYPE,45,280001,0.09492063492063492,0.08049443155989,0.09492063492063492,0.0,dd7ed6cd59773fae5433842c917db22a1369105178a0cf51b941b9e1fe9ab678
7,TARGET_ONLY_COSINE_PROTOTYPE,45,305093,0.1457142857142857,0.12074193056497516,0.1457142857142857,0.0,437afaf47c6811fe003cd3f6d8e546aef32df16532c5277a4b01b175f23e24c2
7,TARGET_ONLY_COSINE_PROTOTYPE,45,330017,0.13365079365079366,0.12122253499651005,0.13365079365079366,0.0,76e22e26c912bf52c5f5e1611d5746be8061fc7a2c073aa795a2ee6739175fad
7,TARGET_ONLY_COSINE_PROTOTYPE,45,355031,0.1653968253968254,0.15569734874518812,0.1653968253968254,0.0,45ff025b15703456905e3095f53bbd92ff1f84403c5fe356607f4841f9f14356
7,TARGET_ONLY_COSINE_PROTOTYPE,45,380041,0.15428571428571428,0.13563352493529776,0.1542857142857143,0.0,a2a9bcd9bfee4ef2b8c15e448d64129a083a96b5653239e97723c7ebe2dbb1b0
