budget,class_index,TagID,prototype_f1_mean,linear_f1_mean,linear_minus_prototype_f1,prototype_recall_mean,linear_recall_mean,prototype_precision_mean,linear_precision_mean,unit_count
0,0,1,0.19727613094424812,0.19727613094424812,0.0,0.33155555555555555,0.33155555555555555,0.15847636897952735,0.15847636897952735,5
0,1,2,0.1427717194618156,0.1427717194618156,0.0,0.17466666666666666,0.17466666666666666,0.19964560624148472,0.19964560624148472,5
0,2,3,0.04807692307692308,0.04807692307692308,0.0,0.04444444444444444,0.04444444444444444,0.05235602094240838,0.05235602094240838,5
0,3,4,0.12862949641406257,0.12862949641406257,0.0,0.2613333333333333,0.2613333333333333,0.09070694531074165,0.09070694531074165,5
0,4,5,0.11368884578316396,0.11368884578316396,0.0,0.1728888888888889,0.1728888888888889,0.10823545329817223,0.10823545329817223,5
0,5,6,0.0024920414225909635,0.0024920414225909635,0.0,0.0017777777777777779,0.0017777777777777779,0.004223054035895959,0.004223054035895959,5
0,6,7,0.15268102833922284,0.15268102833922284,0.0,0.10977777777777778,0.10977777777777778,0.412746712803429,0.412746712803429,5
7,0,1,0.10480119100806244,0.04813830194346764,-0.0566628890645948,0.11506666666666664,0.05028888888888888,0.10624928515664847,0.04999285929528963,100
7,1,2,0.09947815157016222,0.15432679175835656,0.05484864018819434,0.09119999999999999,0.14037777777777777,0.12322445864590056,0.19606982114852667,100
7,2,3,0.17237528182791384,0.18395163407784287,0.011576352249929034,0.20222222222222222,0.22455555555555556,0.17172486218105035,0.1635109571486963,100
7,3,4,0.11704109531545298,0.08746641654965653,-0.029574678765796447,0.1265777777777778,0.11477777777777778,0.11928175043555185,0.07559053077894332,100
7,4,5,0.08433011568407409,0.13420309449404552,0.049872978809971436,0.09108888888888889,0.11346666666666666,0.08463943704414971,0.18514235114095753,100
7,5,6,0.1782770862962641,0.1000036507641752,-0.0782734355320889,0.21153333333333332,0.10857777777777777,0.17067870151387105,0.09940729687338008,100
7,6,7,0.13341897339142844,0.17871994233908256,0.04530096894765412,0.14688888888888887,0.18646666666666667,0.1360163935605308,0.1819883024659226,100
10,0,1,0.09416900670574005,0.06857561792086195,-0.0255933887848781,0.10086666666666666,0.0743111111111111,0.10177911551322753,0.07222001700060071,100
