budget,method,true_class,predicted_class,mean_count_per_unit,row_normalized,unit_count
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,2,3,59.35,0.1318888888888889,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,2,4,33.01,0.07335555555555555,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,2,5,88.96,0.1976888888888889,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,2,6,62.16,0.13813333333333333,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,0,69.36,0.15413333333333334,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,1,55.83,0.12406666666666666,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,2,104.77,0.2328222222222222,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,3,51.65,0.11477777777777777,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,4,37.13,0.08251111111111112,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,5,47.98,0.10662222222222222,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,3,6,83.28,0.18506666666666666,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,0,49.84,0.11075555555555557,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,1,51.79,0.1150888888888889,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,2,71.53,0.15895555555555554,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,3,115.08,0.2557333333333333,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,4,51.06,0.11346666666666667,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,5,57.15,0.127,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,4,6,53.55,0.119,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,0,72.15,0.16033333333333336,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,1,45.85,0.1018888888888889,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,2,29.82,0.06626666666666668,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,3,166.97,0.3710444444444445,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,4,45.2,0.10044444444444446,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,5,48.86,0.10857777777777779,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,5,6,41.15,0.09144444444444445,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,0,104.11,0.23135555555555556,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,1,25.18,0.05595555555555556,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,2,56.35,0.12522222222222223,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,3,97.59,0.21686666666666668,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,4,19.56,0.04346666666666666,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,5,63.3,0.14066666666666666,100
7,FROZEN_C1_SOURCE_ANCHORED_LINEAR_SOFTMAX,6,6,83.91,0.18646666666666667,100
35,TARGET_ONLY_COSINE_PROTOTYPE,0,0,13.17,0.029266666666666667,100
35,TARGET_ONLY_COSINE_PROTOTYPE,0,1,74.82,0.16626666666666665,100
35,TARGET_ONLY_COSINE_PROTOTYPE,0,2,101.37,0.22526666666666667,100
35,TARGET_ONLY_COSINE_PROTOTYPE,0,3,28.57,0.06348888888888889,100
35,TARGET_ONLY_COSINE_PROTOTYPE,0,4,93.6,0.208,100
35,TARGET_ONLY_COSINE_PROTOTYPE,0,5,42.05,0.09344444444444444,100
35,TARGET_ONLY_COSINE_PROTOTYPE,0,6,96.42,0.21426666666666666,100
35,TARGET_ONLY_COSINE_PROTOTYPE,1,0,41.29,0.09175555555555556,100
35,TARGET_ONLY_COSINE_PROTOTYPE,1,1,44.01,0.09780000000000001,100
35,TARGET_ONLY_COSINE_PROTOTYPE,1,2,103.86,0.23080000000000003,100
35,TARGET_ONLY_COSINE_PROTOTYPE,1,3,36.67,0.0814888888888889,100
35,TARGET_ONLY_COSINE_PROTOTYPE,1,4,36.82,0.08182222222222223,100
35,TARGET_ONLY_COSINE_PROTOTYPE,1,5,145.03,0.32228888888888896,100
35,TARGET_ONLY_COSINE_PROTOTYPE,1,6,42.32,0.09404444444444446,100
35,TARGET_ONLY_COSINE_PROTOTYPE,2,0,65.41,0.14535555555555554,100
35,TARGET_ONLY_COSINE_PROTOTYPE,2,1,65.93,0.14651111111111112,100
35,TARGET_ONLY_COSINE_PROTOTYPE,2,2,52.96,0.11768888888888888,100
35,TARGET_ONLY_COSINE_PROTOTYPE,2,3,74.26,0.16502222222222224,100
35,TARGET_ONLY_COSINE_PROTOTYPE,2,4,59.61,0.13246666666666668,100
35,TARGET_ONLY_COSINE_PROTOTYPE,2,5,92.95,0.20655555555555558,100
35,TARGET_ONLY_COSINE_PROTOTYPE,2,6,38.88,0.0864,100
35,TARGET_ONLY_COSINE_PROTOTYPE,3,0,35.11,0.07802222222222223,100
35,TARGET_ONLY_COSINE_PROTOTYPE,3,1,39.55,0.08788888888888889,100
35,TARGET_ONLY_COSINE_PROTOTYPE,3,2,88.8,0.19733333333333336,100
35,TARGET_ONLY_COSINE_PROTOTYPE,3,3,61.1,0.1357777777777778,100
35,TARGET_ONLY_COSINE_PROTOTYPE,3,4,90.96,0.20213333333333333,100
35,TARGET_ONLY_COSINE_PROTOTYPE,3,5,77.21,0.17157777777777777,100
35,TARGET_ONLY_COSINE_PROTOTYPE,3,6,57.27,0.1272666666666667,100
35,TARGET_ONLY_COSINE_PROTOTYPE,4,0,66.5,0.14777777777777779,100
35,TARGET_ONLY_COSINE_PROTOTYPE,4,1,42.89,0.09531111111111111,100
35,TARGET_ONLY_COSINE_PROTOTYPE,4,2,47.18,0.10484444444444445,100
35,TARGET_ONLY_COSINE_PROTOTYPE,4,3,108.94,0.24208888888888888,100
35,TARGET_ONLY_COSINE_PROTOTYPE,4,4,17.07,0.03793333333333333,100
35,TARGET_ONLY_COSINE_PROTOTYPE,4,5,124.82,0.2773777777777778,100
35,TARGET_ONLY_COSINE_PROTOTYPE,4,6,42.6,0.09466666666666668,100
35,TARGET_ONLY_COSINE_PROTOTYPE,5,0,61.85,0.13744444444444445,100
35,TARGET_ONLY_COSINE_PROTOTYPE,5,1,79.92,0.1776,100
35,TARGET_ONLY_COSINE_PROTOTYPE,5,2,28.99,0.06442222222222221,100
35,TARGET_ONLY_COSINE_PROTOTYPE,5,3,55.98,0.1244,100
35,TARGET_ONLY_COSINE_PROTOTYPE,5,4,30.56,0.0679111111111111,100
