source_seed,checkpoint_file_sha256,declared_state_sha256,state_before_sha256,state_after_sha256,encoder_unchanged,all_model_parameters_frozen,all_model_gradients_none
42,cc507dcf895b2197d4a98c7c2eeb4c6520911944464da637b5002e1b7f8f9437,5b5b8d778d1467c8d751676b316d9ac9e6c1605f634c4e85cde1d827ec8275d3,5b5b8d778d1467c8d751676b316d9ac9e6c1605f634c4e85cde1d827ec8275d3,5b5b8d778d1467c8d751676b316d9ac9e6c1605f634c4e85cde1d827ec8275d3,True,True,True
43,3db0c7d3c3678d0d0b4f78714a86b49759e6526bbbac89a1bb78cd9c1266a6a3,5f3f0360e559a6522a1af03e57b98c917096f3889afac5a0bfa65b70d9fa1210,5f3f0360e559a6522a1af03e57b98c917096f3889afac5a0bfa65b70d9fa1210,5f3f0360e559a6522a1af03e57b98c917096f3889afac5a0bfa65b70d9fa1210,True,True,True
44,4acc015a59aed08faab2492c0cd2639d5c7de711c19c3bf1dcbb9cdda85453ce,a39e7a2c9ddc9593d812322d95b18129810cee24ba5a66c24f014d3bb4a53e96,a39e7a2c9ddc9593d812322d95b18129810cee24ba5a66c24f014d3bb4a53e96,a39e7a2c9ddc9593d812322d95b18129810cee24ba5a66c24f014d3bb4a53e96,True,True,True
45,8a091de402a9750f5bd0443741afbf694b0155d2c008e6c0aa68123b62b71896,468c6f1a94ee4ddc16678bc2cc572eccae7f2485220ace919004504da336c776,468c6f1a94ee4ddc16678bc2cc572eccae7f2485220ace919004504da336c776,468c6f1a94ee4ddc16678bc2cc572eccae7f2485220ace919004504da336c776,True,True,True
46,1cdb5c787ba674e3b5a73fdf03ba0d378f5b46055792408ac4b4ea33a389c879,a3734a84be6d03e4376772aba8b32ae2d7a46d95f731cc326f616aa94619700a,a3734a84be6d03e4376772aba8b32ae2d7a46d95f731cc326f616aa94619700a,a3734a84be6d03e4376772aba8b32ae2d7a46d95f731cc326f616aa94619700a,True,True,True
