from_budget,to_budget,linear_macro_f1_change,linear_macro_f1_change_ci_95_lower,linear_macro_f1_change_ci_95_upper
0,7,0.014456235212085722,-0.03327288694084656,0.06805708648746064
7,10,-0.0005598783265114149,-0.024763214136318688,0.023154373465249616
10,20,0.010245947982442799,-0.015095081246946616,0.03703474012127671
20,21,0.0010448619071572185,-0.008617675042097536,0.011062532251916042
21,35,0.007254571508279267,-0.010123513555146313,0.02687532234448147
35,50,-0.004219830286354559,-0.016856139442827267,0.007242824688861154
50,100,0.0038095578166669752,-0.004354502653364547,0.01366828550624435
100,200,-0.00297666452516418,-0.010554218670199334,0.00441008087234137
200,500,0.0014547776835168447,-0.004082524011910526,0.007962327255066941
