budget,source_seed,support_seed,fold,support_rows,class_count_min,class_count_max,regularization_lambda,initial_support_cross_entropy,support_cross_entropy,proximal_penalty,initial_objective,final_objective,objective_reduction,gradient_inf_norm,optimizer_iterations,optimizer_function_evaluations,closure_evaluations,support_accuracy,support_macro_f1,support_worst_class_f1,weight_displacement_frobenius,bias_displacement_l2,anchor_head_sha256,adapted_head_sha256,optimizer_completed_finite
21,42,130363,0,21,3,3,100.0,3.1440347674743148,1.6410189870668153,0.43878162126844117,3.1440347674743148,2.0798006083352565,1.0642341591390583,2.599088259405691e-07,48,63,63,0.38095238095238093,0.3503401360544217,0.0,2.8093366700033844,0.036177910298295146,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,a02713b3ec3d8e67733111e1366d13e492447dc59c8728e78b68f8d7a6b6ffd0,True
35,42,130363,0,35,5,5,100.0,3.0203414527566785,1.9583426103910107,0.3095372429154458,3.0203414527566785,2.2678798533064564,0.7524615994502222,1.4802851920105164e-07,49,55,55,0.17142857142857143,0.16204906204906205,0.0,2.3594332408854473,0.04061750673865552,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,34e3a313d34a31b7675f977ec6c3d18b433f2fda635f6eb667519654f0bf0de9,True
50,42,130363,0,50,7,8,100.0,3.017248654727857,1.9234144299758071,0.28755655941970926,3.017248654727857,2.2109709893955163,0.8062776653323409,2.3185951866788734e-07,47,53,53,0.22,0.20454501638712164,0.0,2.274028167116144,0.04402725432004594,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,170e20a144d5a30b12b9a573354ee671366502b2b430e3815c10d0a78558c87e,True
100,42,130363,0,100,14,15,100.0,2.958577061532397,1.927418132780333,0.280739740682221,2.958577061532397,2.208157873462554,0.7504191880698428,5.028086701689034e-07,53,59,59,0.22,0.20942041829138608,0.0,2.246883604899431,0.04496666440039722,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,c12ab2250e7a48fd15cc889ceffe43d1bf74efd82058f6f932117f08b6e09300,True
200,42,130363,0,200,28,29,100.0,2.9620103662442023,1.9605288223495603,0.26965202011734823,2.9620103662442023,2.2301808424669085,0.7318295237772938,2.5368541981376017e-07,46,55,55,0.22,0.21207416823088465,0.0,2.2021158993997805,0.041538025010767796,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,a66a5f767b9eb73b238106822b10c9a7ad751ea954f30f88f92df6cc2aebd489,True
500,42,130363,0,500,71,72,100.0,2.933736158676284,1.9534123320647883,0.25897283391397175,2.933736158676284,2.21238516597876,0.7213509926975239,4.941510508282843e-07,41,49,49,0.234,0.2266310100311311,0.0,2.158049630605255,0.0417501372078682,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,7de4781e26cc65bad13f1a8bfe6f6a79522d441746e154628ec0a6174a4598ca,True
7,42,155921,0,7,1,1,100.0,2.5000907471441076,0.8390492777329724,0.43396206104742163,2.5000907471441076,1.273011338780394,1.2270794083637135,2.1791369570790808e-07,51,63,63,1.0,1.0,1.0,2.7936281964933904,0.0511759513854023,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,d5d1d9189d91ec875f016f3d74acd7dc7b31e3d6276705e81f045887975ba000,True
10,42,155921,0,10,1,2,100.0,2.921808331507912,1.0506916204890833,0.507626074028837,2.921808331507912,1.5583176945179202,1.363490636989992,3.7946725762322275e-07,47,50,50,0.9,0.8285714285714285,0.0,3.0211353449200056,0.07024456885664136,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,72a587f514fb9be1db8453c4c7b044bbc00c9a75ecf19aec19b055a8cca76f66,True
20,42,155921,0,20,2,3,100.0,2.9284900130740588,1.5486847464664115,0.3920797228441096,2.9284900130740588,1.940764469310521,0.9877255437635377,1.726456208858522e-07,50,56,56,0.4,0.39387755102040817,0.0,2.6551340880751515,0.06145883424589961,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,a12e206066f8d5a9f7ee9c2bdf7a8682351173db71d4c09cce8c3fb4a4bc5789,True
21,42,155921,0,21,3,3,100.0,2.892297332760639,1.5676500963835944,0.3950602351367421,2.892297332760639,1.9627103315203365,0.9295870012403027,7.830959612379479e-07,48,55,55,0.3333333333333333,0.30476190476190473,0.0,2.6652310258233713,0.06063999586480738,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,59f9f98c7d7fdff600008475123c3c14aaf2bb4753ae8ffcb7b91f4178bdf79f,True
35,42,155921,0,35,5,5,100.0,3.1133384906089363,1.9235565914245256,0.3308401404246564,3.1133384906089363,2.254396731849182,0.8589417587597543,1.9858378652939934e-07,48,56,56,0.17142857142857143,0.1541125541125541,0.0,2.4393398219917612,0.037886133146225194,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,5aa999435648109faf457e2e19b7b52b3e4b243e3a9761b873f1d1fc93d9e2f4,True
50,42,155921,0,50,7,8,100.0,2.8980160834788986,1.9071133121428219,0.2595682607908419,2.8980160834788986,2.1666815729336637,0.7313345105452349,2.1661527902037264e-07,45,51,51,0.24,0.22961800104657248,0.0,2.1604864747547063,0.04394546653781234,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,1b0892f406d15b0701a091f5e43fb60b6c9db8944e635db1ddaaec23651a8767,True
100,42,155921,0,100,14,15,100.0,2.9465977290773373,1.942607786233892,0.2687823665696382,2.9465977290773373,2.21139015280353,0.7352075762738073,2.0666858324691617e-07,46,65,65,0.22,0.21374361710496162,0.0,2.198509618107091,0.04416145013930333,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,cabf63ffeea4e719a42351ac76969bdb1d3fa0e0a2a3b874a4f72b136ac53b8b,True
200,42,155921,0,200,28,29,100.0,2.966049208734971,1.9586089464731296,0.27065814514510445,2.966049208734971,2.229267091618234,0.736782117116737,1.7538899823796306e-07,41,48,48,0.23,0.23054391987157774,0.0,2.206247213847226,0.04016543976830964,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,fda57edb8e2ab636b8f392591864d7f479e6519496b1c4a0b9d8f0c6d76bb4ef,True
500,42,155921,0,500,71,72,100.0,2.922857438768729,1.960008374470045,0.2513468687526587,2.922857438768729,2.2113552432227035,0.7115021955460255,2.026525356586817e-07,41,46,46,0.244,0.24545216590640853,0.0,2.1260347919639515,0.04130656387461077,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,dfff0cdfe5d58551499aa512c82d3e6c08ed893d177cc95ab3956ef3de05a12e,True
7,42,181081,0,7,1,1,100.0,3.4515470961365358,0.9918089163384944,0.6989338685503242,3.4515470961365358,1.6907427848888186,1.7608043112477172,1.9184707946567903e-07,44,48,48,1.0,1.0,1.0,3.5451302072866704,0.0766296848740958,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,3da5fcaff8b525b5e7772f1ac61689ef84dcbf8d1f8c1be9f4abfd0c2a0a3c43,True
10,42,181081,0,10,1,2,100.0,3.0856669469219007,1.2111477428830202,0.5617975914905098,3.0856669469219007,1.77294533437353,1.3127216125483707,1.786130462647778e-07,53,57,57,0.5,0.3979591836734694,0.0,3.1784066954693144,0.06685468652310135,a338f249b8447412c022bd15c7755a1fd821f875683f31dcfde2df2cd1ea8def,0b0fe6577d2634177c45fe55dee3aa94a38eb05759b5f8b740452951426df693,True
