rank,candidate_id,worst_outer_held_position_macro_f1,mean_outer_held_position_macro_f1,worst_class_recall,zero_recall_class_frequency,condition_block_macro_f1,unique_signal_weighted_macro_f1,across_seed_standard_deviation
1,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.12386044528827292,0.1410915220380563,0.025333333333333333,0.38095238095238093,0.1409200439413911,0.14202863975567007,0.022556314588683037
2,C2_SOURCE_EUCLIDEAN_NCM_READOUT,0.05288962939863147,0.11002458348958519,0.0,0.5238095238095238,0.10932301891700423,0.10972199202484507,0.008265766932358596
3,C0_NEUTRAL_ERM_1DCNN,0.047113550384625114,0.10890707392802823,0.007851851851851851,0.5333333333333333,0.10882395427399846,0.10832891833423147,0.016108459627125093
4,C3_SOURCE_CORAL_ERM_1DCNN,0.041045557564312427,0.10386219997530807,0.021925925925925925,0.5523809523809524,0.10327049129145172,0.1041611193386291,0.021419323467998318
