candidate_id,canonical_unit_count,worst_outer_held_position_macro_f1,mean_outer_held_position_macro_f1,outer_held_position_macro_f1_population_sd_all_units,mean_outer_held_position_accuracy,worst_class_recall,worst_class_index,per_class_mean_recall_json,zero_recall_class_frequency,condition_block_macro_f1,unique_signal_weighted_macro_f1,across_seed_standard_deviation,per_seed_cross_fold_macro_f1_json,mean_development_to_held_macro_f1_gap,worst_fold_macro_f1_delta_vs_c0,mean_macro_f1_delta_vs_c0,zero_recall_frequency_delta_vs_c0
C0_NEUTRAL_ERM_1DCNN,15,0.047113550384625114,0.10890707392802823,0.06210219827240885,0.17762962962962964,0.007851851851851851,5,"[0.2571851851851852, 0.07496296296296295, 0.31911111111111107, 0.33348148148148143, 0.08162962962962964, 0.007851851851851851, 0.16918518518518516]",0.5333333333333333,0.10882395427399846,0.10832891833423147,0.016108459627125093,"{""42"": 0.13817647379004322, ""43"": 0.09552275449508522, ""44"": 0.10938576872572932, ""45"": 0.1087082579127953, ""46"": 0.09274211471648806}",0.7365001577593969,0.0,0.0,0.0
C1_FIRST_DIFFERENCE_ERM_1DCNN,15,0.12386044528827292,0.1410915220380563,0.03841930226583449,0.19056084656084654,0.025333333333333333,1,"[0.22814814814814813, 0.025333333333333333, 0.29555555555555557, 0.22592592592592592, 0.13362962962962963, 0.1162962962962963, 0.30903703703703705]",0.38095238095238093,0.1409200439413911,0.14202863975567007,0.022556314588683037,"{""42"": 0.1687425480906378, ""43"": 0.1372658092917134, ""44"": 0.12027186155197568, ""45"": 0.11383266641007601, ""46"": 0.16534472484587873}",0.7412575184391575,0.0767468949036478,0.032184448110028074,-0.1523809523809524
C2_SOURCE_EUCLIDEAN_NCM_READOUT,15,0.05288962939863147,0.11002458348958519,0.04354594986418672,0.1811005291005291,0.0,5,"[0.08844444444444445, 0.09066666666666666, 0.32, 0.4271111111111111, 0.12518518518518518, 0.0, 0.2162962962962963]",0.5238095238095238,0.10932301891700423,0.10972199202484507,0.008265766932358596,"{""42"": 0.09904389636925705, ""43"": 0.12004498466060619, ""44"": 0.11349286960533873, ""45"": 0.10150915983245277, ""46"": 0.11603200698027116}",0.6335912319974623,0.005776079014006355,0.0011175095615569564,-0.00952380952380949
C3_SOURCE_CORAL_ERM_1DCNN,15,0.041045557564312427,0.10386219997530807,0.06221110239272706,0.17123809523809524,0.021925925925925925,4,"[0.257037037037037, 0.08281481481481481, 0.24503703703703703, 0.3337777777777778, 0.021925925925925925, 0.09644444444444443, 0.16162962962962962]",0.5523809523809524,0.10327049129145172,0.1041611193386291,0.021419323467998318,"{""42"": 0.09842199237958049, ""43"": 0.11327483253492222, ""44"": 0.07617680135957593, ""45"": 0.13946852598519432, ""46"": 0.09196884761726741}",0.6705933698339186,-0.006067992820312687,-0.005044873952720158,0.01904761904761909
