seed,class_index,recall
42,0,0.2822222222222222
42,1,0.6644444444444444
42,2,0.0
42,3,0.1511111111111111
42,4,0.0
42,5,0.0022222222222222222
42,6,0.10888888888888888
43,0,0.10222222222222223
43,1,0.06888888888888889
43,2,0.0
43,3,0.015555555555555555
43,4,0.54
43,5,0.0
43,6,0.10888888888888888
44,0,0.10222222222222223
44,1,0.006666666666666667
44,2,0.0
44,3,0.34444444444444444
44,4,0.2222222222222222
44,5,0.006666666666666667
44,6,0.2222222222222222
45,0,0.8533333333333334
45,1,0.12444444444444444
45,2,0.2222222222222222
45,3,0.12666666666666668
45,4,0.10222222222222223
45,5,0.0
45,6,0.0
46,0,0.31777777777777777
46,1,0.008888888888888889
46,2,0.0
46,3,0.6688888888888889
46,4,0.0
46,5,0.0
46,6,0.10888888888888888
