block_accuracy,block_macro_f1,execution_stage,mean_within_block_agreement,method,row_accuracy,row_macro_f1,seed,source_to_p4_macro_f1_drop,mean_cross_seed_block_agreement
0.1746031746031746,0.14371643394199785,FINAL_P4_EVALUATION,0.976190476190476,erm,0.16857142857142857,0.13812582321375735,42,0.013768195560662971,0.7587301587301587
0.1111111111111111,0.0949448886538279,FINAL_P4_EVALUATION,0.9758730158730158,erm,0.10952380952380952,0.09443867352056486,43,0.034905761808601624,0.7587301587301587
0.1111111111111111,0.08379924169397854,FINAL_P4_EVALUATION,0.9755555555555556,erm,0.11904761904761904,0.08885071871501449,44,0.0666687819783355,0.7587301587301587
0.14285714285714285,0.1466964113580655,FINAL_P4_EVALUATION,0.973015873015873,erm,0.14285714285714285,0.144806257726145,45,-0.02520719444297613,0.7587301587301587
0.12698412698412698,0.1243883302706832,FINAL_P4_EVALUATION,0.9638095238095238,erm,0.12857142857142856,0.12459481700534132,46,0.06516183894283654,0.7587301587301587
0.1746031746031746,0.1130007558578987,FINAL_P4_EVALUATION,0.978095238095238,irm,0.17587301587301588,0.11713797294092984,42,0.04621947577926003,0.7777777777777776
0.14285714285714285,0.08921513269339355,FINAL_P4_EVALUATION,0.9799999999999999,irm,0.14126984126984127,0.0896231222158603,43,0.10749929837053603,0.7777777777777776
0.14285714285714285,0.06424792139077853,FINAL_P4_EVALUATION,0.9857142857142857,irm,0.14603174603174604,0.06559359444821412,44,0.0780204245174097,0.7777777777777776
0.15873015873015872,0.1384075985933571,FINAL_P4_EVALUATION,0.9765079365079365,irm,0.15841269841269842,0.13640327967707772,45,-0.040477067808904185,0.7777777777777776
0.1746031746031746,0.09202410492733074,FINAL_P4_EVALUATION,0.9946031746031746,irm,0.1746031746031746,0.09192461035068263,46,0.13020236206881894,0.7777777777777776
