endpoint,erm,irm,irm_minus_erm,interval_95
mean_held_source_macro_f1,0.14976853795320272,0.16367200127797582,0.013903463324773102,"[-0.014233215052822988, 0.050651785012082395]"
worst_held_position_macro_f1,0.12187606930531363,0.16128640903661182,0.03941033973129819,"[-0.022333281478899597, 0.06072708355522666]"
