budget,budget_label,claim_type,method,source_seed,support_seed,query_rows,query_condition_blocks,accuracy,macro_f1,balanced_accuracy,worst_class_f1,block_majority_accuracy,block_majority_macro_f1,prediction_sha256
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,380041,3150,63,0.13936507936507936,0.12733766616605127,0.13936507936507936,0.0,0.12698412698412698,0.11667906028808284,a87ac55df8efb3dade660adf0f6e3a035d24289eda0776fb68cc043f1185a33b
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,405019,3150,63,0.09428571428571429,0.07321366728615117,0.09428571428571428,0.0,0.09523809523809523,0.07373050230193087,19a6982de1dcd3305ee57390b18439acd08a37211272a083e7e3dd2fa064b1c2
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,430007,3150,63,0.17492063492063492,0.1570707269594789,0.17492063492063492,0.0,0.1746031746031746,0.15765821480107192,d506e9afcb6a3832021102895c38f1fcfa83f69599b6ce0811fdd50bd5e1565e
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,455003,3150,63,0.09650793650793651,0.09249921459531403,0.0965079365079365,0.0,0.09523809523809523,0.090562540805796,4aa8bfaa85ea56eeb6e53fa30b5608d9f9c914c49f305b05a8ba4ba8a1825446
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,480017,3150,63,0.12603174603174602,0.10456315921045796,0.12603174603174602,0.0,0.12698412698412698,0.10506026972192385,677ce4cfa40273ebcda27f335e8a1ccea8939e2c8d0b6bc7421f6a22bb41ef35
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,505027,3150,63,0.1180952380952381,0.10735371275205836,0.1180952380952381,0.0026845637583892616,0.12698412698412698,0.11331015164686564,f40d0f812fe04b58c4a338ebd7b6ce41de81360e44a0a7fe2ddaf13ff47446f1
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,530017,3150,63,0.06253968253968253,0.051737315771341975,0.06253968253968253,0.0,0.06349206349206349,0.05293912436769579,031b631949e13968bbb116c4b6d37298af3b775db14b51d5d4a04abd03f51f7f
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,555029,3150,63,0.1034920634920635,0.08806064923974637,0.1034920634920635,0.0,0.09523809523809523,0.07967836257309942,5ed6d1b02cf2db79d9ccf0273f6264836492f3e2f726dd04d91f240eef4c86fa
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,42,580031,3150,63,0.14412698412698413,0.14726107429279375,0.14412698412698413,0.0,0.14285714285714285,0.14703727644904116,d3b950ff38232229d0d0e4a5540312971e426ab80c3071460f30e537b8449474
7,1-shot (7 labels),TARGET_ASSISTED_LABELLED_TARGET_CALIBRATION,TARGET_ONLY_COSINE_PROTOTYPE,43,104729,3150,63,0.15841269841269842,0.1458939065074312,0.15841269841269842,0.0,0.15873015873015872,0.14571341357055642,d8c44ca2336c6b3eaaf98456cfba5961b188c436464847eb8b47838c9891a6b7
