budget,true_class,predicted_class,mean_count_per_unit,row_normalized,unit_count
0,0,0,149.2,0.33155555555555555,5
0,0,1,31.8,0.07066666666666667,5
0,0,2,20.6,0.04577777777777778,5
0,0,3,140.0,0.3111111111111111,5
0,0,4,88.4,0.19644444444444445,5
0,0,5,10.0,0.022222222222222223,5
0,0,6,10.0,0.022222222222222223,5
0,1,0,118.6,0.2635555555555555,5
0,1,1,78.6,0.17466666666666664,5
0,1,2,10.0,0.02222222222222222,5
0,1,3,160.8,0.35733333333333334,5
0,1,4,41.6,0.09244444444444444,5
0,1,5,20.8,0.04622222222222222,5
0,1,6,19.6,0.043555555555555556,5
0,2,0,164.6,0.36577777777777776,5
0,2,1,33.0,0.07333333333333333,5
0,2,2,20.0,0.044444444444444446,5
0,2,3,121.2,0.2693333333333333,5
0,2,4,60.0,0.13333333333333333,5
0,2,5,30.0,0.06666666666666667,5
0,2,6,21.2,0.04711111111111111,5
0,3,0,131.2,0.29155555555555557,5
0,3,1,69.0,0.15333333333333335,5
0,3,2,15.6,0.03466666666666667,5
0,3,3,117.6,0.26133333333333336,5
0,3,4,89.4,0.1986666666666667,5
0,3,5,0.0,0.0,5
0,3,6,27.2,0.06044444444444445,5
0,4,0,62.6,0.1391111111111111,5
0,4,1,58.4,0.12977777777777777,5
0,4,2,20.0,0.044444444444444446,5
0,4,3,211.2,0.4693333333333333,5
0,4,4,77.8,0.17288888888888887,5
0,4,5,0.0,0.0,5
0,4,6,20.0,0.044444444444444446,5
0,5,0,100.2,0.22266666666666665,5
0,5,1,29.8,0.06622222222222221,5
0,5,2,0.0,0.0,5
0,5,3,249.8,0.5551111111111111,5
0,5,4,69.4,0.1542222222222222,5
0,5,5,0.8,0.0017777777777777776,5
0,5,6,0.0,0.0,5
0,6,0,127.2,0.2826666666666667,5
0,6,1,10.8,0.024,5
0,6,2,20.0,0.044444444444444446,5
0,6,3,171.8,0.3817777777777778,5
0,6,4,51.0,0.11333333333333333,5
0,6,5,19.8,0.044000000000000004,5
0,6,6,49.4,0.10977777777777778,5
7,0,0,51.78,0.11506666666666665,100
7,0,1,49.78,0.1106222222222222,100
7,0,2,87.73,0.19495555555555555,100
7,0,3,47.17,0.10482222222222222,100
7,0,4,67.11,0.1491333333333333,100
7,0,5,90.54,0.2012,100
7,0,6,55.89,0.12419999999999999,100
7,1,0,72.87,0.16193333333333332,100
7,1,1,41.04,0.09119999999999999,100
7,1,2,84.21,0.1871333333333333,100
7,1,3,65.49,0.1455333333333333,100
7,1,4,49.61,0.11024444444444442,100
7,1,5,69.86,0.15524444444444443,100
7,1,6,66.92,0.1487111111111111,100
7,2,0,89.78,0.19951111111111114,100
7,2,1,48.78,0.10840000000000001,100
7,2,2,91.0,0.20222222222222225,100
7,2,3,64.96,0.14435555555555557,100
7,2,4,43.75,0.09722222222222224,100
7,2,5,51.78,0.11506666666666668,100
7,2,6,59.95,0.13322222222222224,100
7,3,0,45.13,0.10028888888888891,100
7,3,1,45.98,0.10217777777777778,100
7,3,2,79.27,0.17615555555555557,100
7,3,3,56.96,0.1265777777777778,100
7,3,4,66.19,0.1470888888888889,100
7,3,5,95.76,0.21280000000000004,100
7,3,6,60.71,0.13491111111111112,100
7,4,0,81.92,0.18204444444444445,100
7,4,1,28.97,0.06437777777777777,100
7,4,2,62.87,0.13971111111111112,100
7,4,3,98.58,0.21906666666666666,100
7,4,4,40.99,0.0910888888888889,100
7,4,5,74.11,0.16468888888888888,100
7,4,6,62.56,0.1390222222222222,100
7,5,0,62.48,0.13884444444444444,100
7,5,1,30.78,0.0684,100
7,5,2,70.15,0.1558888888888889,100
7,5,3,70.67,0.15704444444444446,100
7,5,4,39.78,0.0884,100
7,5,5,95.19,0.21153333333333332,100
7,5,6,80.95,0.1798888888888889,100
7,6,0,84.65,0.18811111111111112,100
7,6,1,47.53,0.10562222222222223,100
7,6,2,76.41,0.16979999999999998,100
7,6,3,50.84,0.11297777777777779,100
7,6,4,44.5,0.09888888888888889,100
7,6,5,79.97,0.1777111111111111,100
7,6,6,66.1,0.14688888888888887,100
10,0,0,45.39,0.10086666666666667,100
10,0,1,63.4,0.1408888888888889,100
10,0,2,83.61,0.1858,100
10,0,3,50.3,0.11177777777777777,100
10,0,4,72.63,0.1614,100
10,0,5,56.14,0.12475555555555555,100
10,0,6,78.53,0.17451111111111112,100
10,1,0,53.6,0.1191111111111111,100
10,1,1,52.15,0.11588888888888887,100
10,1,2,82.79,0.18397777777777777,100
10,1,3,74.79,0.1662,100
10,1,4,51.18,0.11373333333333333,100
10,1,5,75.8,0.16844444444444442,100
10,1,6,59.69,0.13264444444444443,100
10,2,0,71.86,0.15968888888888888,100
10,2,1,61.22,0.13604444444444444,100
10,2,2,79.51,0.1766888888888889,100
10,2,3,81.69,0.18153333333333332,100
10,2,4,44.81,0.09957777777777778,100
10,2,5,53.43,0.11873333333333333,100
10,2,6,57.48,0.12773333333333334,100
10,3,0,40.48,0.08995555555555555,100
10,3,1,54.95,0.12211111111111111,100
10,3,2,79.19,0.17597777777777776,100
10,3,3,64.16,0.14257777777777778,100
10,3,4,81.64,0.18142222222222223,100
10,3,5,67.37,0.14971111111111113,100
10,3,6,62.21,0.13824444444444445,100
10,4,0,74.51,0.1655777777777778,100
10,4,1,53.16,0.11813333333333333,100
10,4,2,57.71,0.12824444444444444,100
10,4,3,100.75,0.2238888888888889,100
10,4,4,43.51,0.09668888888888888,100
10,4,5,68.44,0.15208888888888888,100
10,4,6,51.92,0.11537777777777779,100
10,5,0,68.06,0.15124444444444446,100
10,5,1,59.31,0.1318,100
10,5,2,39.16,0.08702222222222221,100
10,5,3,79.74,0.1772,100
10,5,4,36.18,0.0804,100
10,5,5,99.06,0.22013333333333335,100
10,5,6,68.49,0.1522,100
10,6,0,76.64,0.1703111111111111,100
10,6,1,53.0,0.11777777777777777,100
10,6,2,71.4,0.15866666666666668,100
10,6,3,67.9,0.1508888888888889,100
10,6,4,38.02,0.08448888888888889,100
10,6,5,77.79,0.17286666666666667,100
10,6,6,65.25,0.145,100
20,0,0,34.3,0.0762222222222222,100
20,0,1,66.15,0.147,100
20,0,2,77.01,0.17113333333333333,100
20,0,3,42.21,0.0938,100
20,0,4,85.61,0.1902444444444444,100
20,0,5,47.67,0.10593333333333332,100
20,0,6,97.05,0.21566666666666665,100
20,1,0,35.52,0.07893333333333334,100
20,1,1,52.43,0.11651111111111111,100
20,1,2,98.25,0.21833333333333332,100
20,1,3,57.17,0.12704444444444446,100
20,1,4,49.87,0.11082222222222221,100
20,1,5,105.75,0.235,100
20,1,6,51.01,0.11335555555555556,100
20,2,0,71.87,0.1597111111111111,100
20,2,1,77.68,0.1726222222222222,100
20,2,2,66.68,0.14817777777777777,100
20,2,3,73.97,0.16437777777777776,100
20,2,4,46.0,0.10222222222222221,100
20,2,5,57.47,0.12771111111111108,100
20,2,6,56.33,0.12517777777777775,100
20,3,0,32.66,0.07257777777777775,100
20,3,1,50.05,0.11122222222222221,100
20,3,2,67.47,0.1499333333333333,100
20,3,3,73.54,0.16342222222222222,100
20,3,4,89.9,0.19977777777777778,100
20,3,5,71.09,0.15797777777777777,100
20,3,6,65.29,0.14508888888888888,100
20,4,0,64.31,0.14291111111111113,100
20,4,1,53.19,0.1182,100
20,4,2,56.85,0.12633333333333333,100
20,4,3,111.92,0.2487111111111111,100
