contrast,metric,estimate,ci_95_lower,ci_95_upper,replicates,seed,scheme
budget_200,macro_f1_delta_vs_0,-0.004432924728720519,-0.0694697809638148,0.0603481873696315,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_200,accuracy_delta_vs_0,-0.034355555555555556,-0.10919690476190477,0.03955253968253966,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_500,macro_f1,0.10234718321923969,0.06028097736971395,0.1464506367900141,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_500,accuracy,0.11756190476190476,0.07255507936507936,0.1659030952380952,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_500,macro_f1_delta_vs_0,-0.009883700415335622,-0.07344157185557595,0.055155277294666585,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_500,accuracy_delta_vs_0,-0.03907301587301587,-0.11259611111111117,0.0352095238095238,10000,20260809,TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_7_minus_0,macro_f1,0.014872244235904414,-0.04425619207278983,0.07350846048491294,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_7_minus_0,accuracy,-0.015980952380952373,-0.08247031746031745,0.05046055555555555,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_10_minus_7,macro_f1,0.0034968406288592713,-0.021258260301229393,0.027140082175054578,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_10_minus_7,accuracy,0.0018952380952380887,-0.024222142857142862,0.028063650793650783,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_20_minus_10,macro_f1,0.004960067390347461,-0.020482014114212833,0.03198269110411048,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_20_minus_10,accuracy,0.002022222222222231,-0.024911428571428595,0.030289285714285685,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_21_minus_20,macro_f1,-0.0018792477550773345,-0.011886192961329376,0.008610925425454646,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_21_minus_20,accuracy,-0.0013460317460317617,-0.01212722222222222,0.009819285714285707,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_35_minus_21,macro_f1,-0.014034465663956469,-0.03866685036278413,0.011750983172478281,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_35_minus_21,accuracy,-0.012190476190476196,-0.03864484126984128,0.01449849206349207,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_50_minus_35,macro_f1,-0.004958053412509766,-0.024608771270831095,0.015345592264626829,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_50_minus_35,accuracy,-0.004514285714285693,-0.025889365079365068,0.016788809523809487,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_100_minus_50,macro_f1,-0.004739374652414904,-0.018521294032706734,0.009805655407150992,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_100_minus_50,accuracy,-0.003066666666666662,-0.017864126984127014,0.012743730158730142,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_200_minus_100,macro_f1,-0.002150935499873191,-0.019091087045196412,0.013168779956067253,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_200_minus_100,accuracy,-0.0011746031746031893,-0.01860349206349207,0.014660476190476186,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_500_minus_200,macro_f1,-0.005450775686615103,-0.015069701862993232,0.0035607971205375783,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
budget_500_minus_200,accuracy,-0.004717460317460315,-0.01537476190476191,0.004914444444444459,10000,20260809,PAIRED_TAGID_STRATIFIED_BLOCK_X_SOURCE_SEED_X_SUPPORT_SEED
