budget,class_index,TagID,unit_count,precision_mean,precision_sd,precision_min,precision_max,recall_mean,recall_sd,recall_min,recall_max,f1_mean,f1_sd,f1_min,f1_max
0,0,1,5,0.15847636897952735,0.04668822873471825,0.08318264014466546,0.20801733477789816,0.33155555555555555,0.3082463340725009,0.10222222222222223,0.8533333333333334,0.19727613094424812,0.0955539474329089,0.09172482552342971,0.3344947735191638
0,1,2,5,0.19964560624148472,0.1551089970522954,0.025423728813559324,0.3393939393939394,0.17466666666666666,0.27807362023680876,0.006666666666666667,0.6644444444444444,0.1427717194618156,0.15759825629402544,0.01056338028169014,0.3936800526662278
0,2,3,5,0.05235602094240838,0.11707162185862773,0.0,0.2617801047120419,0.04444444444444444,0.09938079899999064,0.0,0.2222222222222222,0.04807692307692308,0.10750326814902834,0.0,0.2403846153846154
0,3,4,5,0.09070694531074165,0.05477532431062619,0.006842619745845552,0.13915857605177995,0.2613333333333333,0.2567585213222824,0.015555555555555555,0.6688888888888889,0.12862949641406257,0.0870366170724313,0.009504412763068567,0.23038652889399158
0,4,5,5,0.10823545329817223,0.10396807981696264,0.0,0.23232323232323232,0.1728888888888889,0.22471051336066772,0.0,0.54,0.11368884578316396,0.11091719430602384,0.0,0.25025746652935116
0,5,6,5,0.004223054035895959,0.006417295111071106,0.0,0.014492753623188406,0.0017777777777777779,0.002897423291201177,0.0,0.006666666666666667,0.0024920414225909635,0.003981956520550203,0.0,0.0091324200913242
0,6,7,5,0.412746712803429,0.37493237725423534,0.0,1.0,0.10977777777777778,0.07857684765663688,0.0,0.2222222222222222,0.15268102833922284,0.08802617267557265,0.0,0.2229654403567447
7,0,1,100,0.10624928515664847,0.09512579061036147,0.0,0.4716981132075472,0.11506666666666664,0.09106734598047847,0.0,0.34,0.10480119100806244,0.08037870353364165,0.0,0.3250883392226148
7,1,2,100,0.12322445864590056,0.12058092923969575,0.0,0.38996138996138996,0.09119999999999999,0.09372209132746327,0.0,0.3422222222222222,0.09947815157016222,0.09564297778713858,0.0,0.34823529411764703
7,2,3,100,0.17172486218105035,0.12740728330720918,0.0,0.746268656716418,0.20222222222222222,0.13073792692577768,0.0,0.5555555555555556,0.17237528182791384,0.10355894287015349,0.0,0.40700808625336926
7,3,4,100,0.11928175043555185,0.1049526662903923,0.0,0.40762463343108507,0.1265777777777778,0.12252565945177679,0.0,0.54,0.11704109531545298,0.10325369017594288,0.0,0.3624161073825503
7,4,5,100,0.08463943704414971,0.09853056236892695,0.0,0.38823529411764707,0.09108888888888889,0.112015842946239,0.0,0.45111111111111113,0.08433011568407409,0.09807017847978233,0.0,0.3717948717948718
7,5,6,100,0.17067870151387105,0.11660653113871476,0.0,0.6137071651090342,0.21153333333333332,0.15068027808166676,0.0,0.56,0.1782770862962641,0.1124339031046406,0.0,0.5110246433203631
7,6,7,100,0.1360163935605308,0.0984472075716087,0.0,0.35333333333333333,0.14688888888888887,0.11652340089218445,0.0,0.5511111111111111,0.13341897339142844,0.09335018907621516,0.0,0.3169267707082833
10,0,1,100,0.10177911551322753,0.10030518602132232,0.0,0.5,0.10086666666666666,0.09781648810300891,0.0,0.3466666666666667,0.09416900670574005,0.08376428254493555,0.0,0.2739981360671016
10,1,2,100,0.11728038859793491,0.11245321815736334,0.0,0.49333333333333335,0.11588888888888887,0.11003672481531249,0.0,0.44222222222222224,0.11173698728084736,0.10223745874284591,0.0,0.39466666666666667
10,2,3,100,0.16969536794850304,0.11292812179437886,0.0,0.5689655172413793,0.17668888888888887,0.11442618925373058,0.0,0.56,0.15968201668497806,0.08606523193474994,0.0,0.38469087340529934
10,3,4,100,0.13788255505759467,0.12152864883095668,0.0,0.5897435897435898,0.14257777777777775,0.11254771389827802,0.0,0.43777777777777777,0.12806086142052403,0.0920643104523381,0.0,0.34227330779054915
10,4,5,100,0.1052096703693856,0.09965080888350818,0.0,0.3363431151241535,0.09668888888888887,0.09673584995448822,0.0,0.45111111111111113,0.09709913382538096,0.09049524604185175,0.0,0.3337066069428891
10,5,6,100,0.19854416977461245,0.1504971667120275,0.0,0.9423076923076923,0.22013333333333332,0.16475955491723618,0.0,0.6555555555555556,0.19261828099259076,0.12203460131169283,0.0,0.4573218480814409
10,6,7,100,0.13794939703324258,0.1369640506891744,0.0,1.0,0.145,0.13053187692715695,0.0,0.56,0.13083349258531185,0.10510827632912018,0.0,0.3757725587144623
20,0,1,100,0.09842884115903516,0.11568311627997356,0.0,0.49019607843137253,0.0762222222222222,0.08008381941401553,0.0,0.28444444444444444,0.0814984877098568,0.08616937308078113,0.0,0.3058103975535168
20,1,2,100,0.12527530455145236,0.10673777377893577,0.0,0.44477611940298506,0.1165111111111111,0.09964558969957918,0.0,0.34,0.11697043025002818,0.09653713688661157,0.0,0.3796178343949045
20,2,3,100,0.14283166607604117,0.12145614562748935,0.0,0.573076923076923,0.14817777777777777,0.12595558375252247,0.0,0.5266666666666666,0.1369389507884845,0.106039516014716,0.0,0.4197183098591549
20,3,4,100,0.14977160018524638,0.10717356462951198,0.0014204545454545455,0.5454545454545454,0.16342222222222222,0.11921530026148475,0.0022222222222222222,0.4488888888888889,0.14781356309750165,0.10162618740795416,0.0017331022530329288,0.3785488958990536
20,4,5,100,0.09812664118657163,0.12312329047878065,0.0,0.8,0.0846222222222222,0.09280255252325914,0.0,0.3333333333333333,0.08766966421685175,0.09641959351031151,0.0,0.36101083032490977
20,5,6,100,0.20251534369009658,0.09708192628912825,0.0,0.47368421052631576,0.2544444444444444,0.12939661597184723,0.0,0.5511111111111111,0.22020570843431503,0.10290411864520775,0.0,0.4537968892955169
20,6,7,100,0.16043851621007957,0.11059222813616716,0.0,0.47770700636942676,0.1686,0.13597446082539802,0.0,0.5533333333333333,0.15782344673076718,0.11117620410293502,0.0,0.43447669305189096
21,0,1,100,0.0881792839022514,0.10103350140961723,0.0,0.4807692307692308,0.07017777777777777,0.0758653318198844,0.0,0.28444444444444444,0.07346304003111406,0.07742219926563527,0.0,0.3018867924528302
21,1,2,100,0.1228917329110716,0.11146467857405395,0.0,0.5230769230769231,0.11302222222222222,0.09689120560662727,0.0,0.3377777777777778,0.11513247990693923,0.09845509405581682,0.0,0.38107416879795397
21,2,3,100,0.1513296592644553,0.12250535834515862,0.0,0.5797665369649806,0.15286666666666665,0.12080095790329194,0.0,0.5577777777777778,0.14365123733454171,0.10602762167161983,0.0,0.4214992927864215
21,3,4,100,0.13563370518420867,0.0981613373570455,0.0,0.4024390243902439,0.1580222222222222,0.12244745902619954,0.0,0.4488888888888889,0.14051595705442996,0.10252313419201833,0.0,0.37566702241195304
21,4,5,100,0.09559123540309378,0.1243485449586311,0.0,0.78125,0.07688888888888888,0.09034497628530606,0.0,0.34,0.08171811248895305,0.09416679074103351,0.0,0.340522133938706
21,5,6,100,0.2114836188595734,0.109582921336849,0.0,0.6037735849056604,0.27477777777777773,0.13522097215534742,0.0,0.6622222222222223,0.23296099255738897,0.11024796919457085,0.0,0.5266524520255863
21,6,7,100,0.15023273560413958,0.11543679374969096,0.0,0.5535055350553506,0.1568222222222222,0.12637363667667653,0.0,0.4444444444444444,0.14832369756889682,0.1112417334800841,0.0,0.4160887656033287
35,0,1,100,0.03232551543186272,0.06523334840692988,0.0,0.35714285714285715,0.029266666666666667,0.051734407639232385,0.0,0.2222222222222222,0.029096437126155034,0.05208396988546783,0.0,0.22371364653243847
35,1,2,100,0.10911744226846629,0.08899074323427829,0.0,0.29069767441860467,0.0978,0.08442937723693121,0.0,0.33555555555555555,0.1003893899613506,0.08168399137972698,0.0,0.3065989847715736
35,2,3,100,0.09936959032182187,0.07357320051637338,0.0,0.24509803921568626,0.1176888888888889,0.10960866120338918,0.0,0.4444444444444444,0.10333725046485641,0.08115589888580424,0.0,0.2994011976047904
35,3,4,100,0.15070831430445844,0.12165650806323725,0.0,0.5506607929515418,0.13577777777777778,0.10184162789212067,0.0,0.3888888888888889,0.13825510935412635,0.10417697038830688,0.0,0.40045766590389015
35,4,5,100,0.04775273988380741,0.08251448967956185,0.0,0.3180327868852459,0.03793333333333333,0.06423337469525667,0.0,0.2222222222222222,0.04132891185605501,0.06985764410752052,0.0,0.25695364238410595
35,5,6,100,0.20062547321383983,0.06143233707138099,0.042105263157894736,0.3460410557184751,0.3152666666666667,0.11093528400181414,0.05333333333333334,0.56,0.2420577926251842,0.07419228404965941,0.047058823529411764,0.4169611307420495
35,6,7,100,0.1934219544123141,0.12781652895355533,0.0,0.5975609756097561,0.1835111111111111,0.13027398487822456,0.0,0.5666666666666667,0.18305936590684105,0.12135946055745508,0.0,0.46445497630331756
50,0,1,100,0.02768616778611084,0.04816192052957482,0.0,0.2066115702479339,0.030888888888888886,0.05117743220676196,0.0,0.2222222222222222,0.02839549676946127,0.04699897005763463,0.0,0.16963528413910092
50,1,2,100,0.13162501630578466,0.1330368048082255,0.0,0.78125,0.09484444444444444,0.08210163754543419,0.0,0.2288888888888889,0.10412422632955814,0.0874301582360137,0.0,0.2824858757062147
50,2,3,100,0.10531285225109549,0.07810796698695131,0.0,0.36875,0.1213111111111111,0.08713997494732069,0.0,0.3333333333333333,0.10876191856078332,0.07310354360233283,0.0,0.3064935064935065
50,3,4,100,0.13047484998227799,0.13751285413110984,0.0,0.7111111111111111,0.10993333333333333,0.1145115817588001,0.0,0.45111111111111113,0.11360413799541746,0.11273647103304439,0.0,0.4223463687150838
50,4,5,100,0.03189474349235735,0.07367888943146263,0.0,0.36,0.023088888888888888,0.0512829736312346,0.0,0.2222222222222222,0.025993789798307024,0.05763005245807903,0.0,0.2731034482758621
50,5,6,100,0.21147326781719492,0.07158036220267672,0.0,0.35683453237410073,0.34384444444444445,0.1269952047035948,0.0,0.6622222222222223,0.2585620428079482,0.08449643809484976,0.0,0.4331877729257642
50,6,7,100,0.17659623070490227,0.1341759766861211,0.0,0.4576659038901602,0.1617333333333333,0.14119564264676063,0.0,0.4577777777777778,0.16337627114552486,0.13229122947927477,0.0,0.4509582863585118
100,0,1,100,0.019204281476782797,0.04348562615118815,0.0,0.2242152466367713,0.022533333333333336,0.047244057802337716,0.0,0.2222222222222222,0.020120010084101712,0.042745916297247964,0.0,0.19398642095053345
100,1,2,100,0.14066731277866482,0.1387481468520525,0.0,0.78125,0.09266666666666666,0.07747254520960647,0.0,0.33111111111111113,0.10559825651189289,0.08491114604643145,0.0,0.3473193473193473
100,2,3,100,0.08653074090826136,0.0648153166086246,0.0,0.2937062937062937,0.09831111111111111,0.07338407250567655,0.0,0.25555555555555554,0.08905090496051163,0.06298223010868663,0.0,0.22826086956521738
100,3,4,100,0.12681402730448676,0.13014363883348934,0.0,0.47959183673469385,0.11068888888888889,0.11619983346339105,0.0,0.4111111111111111,0.11242794007622792,0.11185645077486273,0.0,0.37793667007150156
100,4,5,100,0.01858954717368727,0.05816099905225275,0.0,0.3592592592592593,0.012466666666666666,0.03611636152800001,0.0,0.21555555555555556,0.014621892301551906,0.04328731804743108,0.0,0.26944444444444443
100,5,6,100,0.20150405439460978,0.07113008657679351,0.004601226993865031,0.4041095890410959,0.3528222222222223,0.13087896471325908,0.006666666666666667,0.56,0.2532151338721968,0.08489208604041167,0.0054446460980036296,0.4564796905222437
100,6,7,100,0.19285421428161129,0.1446166051593813,0.0,0.5050505050505051,0.17468888888888884,0.15626929251141344,0.0,0.4444444444444444,0.1746081230336132,0.14098636919677918,0.0,0.4449489216799092
200,0,1,100,0.008581873921025693,0.038410059360252165,0.0,0.26455026455026454,0.006533333333333333,0.02481570931600517,0.0,0.1111111111111111,0.006958749090783882,0.027889057683877866,0.0,0.1564945226917058
200,1,2,100,0.11975259443895842,0.09988577246350151,0.0,0.43859649122807015,0.08515555555555554,0.06681082804443483,0.0,0.2222222222222222,0.09555273510786291,0.07045976833314273,0.0,0.23446658851113716
200,2,3,100,0.08842497217866412,0.07398428603884465,0.0,0.29739776951672864,0.0959111111111111,0.08021962619885936,0.0,0.33111111111111113,0.08836894221779172,0.06891334665097323,0.0,0.24895572263993315
200,3,4,100,0.13315277557756502,0.14219412184289235,0.0,0.5330396475770925,0.10351111111111111,0.11190565744902439,0.0,0.3977777777777778,0.1097972506820027,0.11179022517015097,0.0,0.358
200,4,5,100,0.011785803709490308,0.03469804127366882,0.0,0.16181229773462782,0.00908888888888889,0.02726982484451916,0.0,0.1111111111111111,0.010140966975672632,0.03005810335606868,0.0,0.13175230566534915
200,5,6,100,0.21302511171871785,0.06400450137967632,0.07032348804500703,0.3492753623188406,0.37913333333333343,0.11942995292249434,0.1111111111111111,0.56,0.269612277202298,0.07577867172013698,0.08613264427217916,0.42280701754385963
200,6,7,100,0.182759766891245,0.1422347191636365,0.0,0.49238578680203043,0.17662222222222215,0.16093394957776655,0.0,0.4444444444444444,0.17415479106457168,0.1457685357090797,0.0,0.42105263157894735
500,0,1,100,0.00013584869553694208,0.0006819725991884177,0.0,0.006042296072507553,0.0002,0.0010035477657885697,0.0,0.008888888888888889,0.00016179435225439855,0.0008120741303130142,0.0,0.007194244604316547
500,1,2,100,0.11348820170573073,0.1072470552552249,0.0,0.45045045045045046,0.07302222222222224,0.05937700423563824,0.0,0.2222222222222222,0.0852149121573279,0.06821702016125038,0.0,0.21528525296017223
500,2,3,100,0.08021705286821418,0.07035415303308394,0.0,0.19579500657030224,0.08966666666666664,0.07949483540750238,0.0,0.33111111111111113,0.08152180185740109,0.06780796792504772,0.0,0.24607762180016515
500,3,4,100,0.14035681469463046,0.1519160631964318,0.0,0.5633187772925764,0.09939999999999999,0.09577577786626698,0.0,0.3844444444444444,0.1099854001716,0.10597407660869464,0.0,0.3799705449189985
500,4,5,100,0.006802770752745257,0.022986090042855508,0.0,0.13535911602209943,0.0054,0.01922103173233602,0.0,0.1111111111111111,0.005995071721919553,0.020853295620992363,0.0,0.1206896551724138
500,5,6,100,0.2136400260418165,0.056596871643401145,0.11779141104294479,0.33378196500672946,0.3926000000000001,0.12132126044284584,0.21333333333333335,0.56,0.27346300344278673,0.06914976499112495,0.15177865612648223,0.4157585917854149
500,6,7,100,0.16851026177983758,0.14014770091332396,0.0,0.3795066413662239,0.1626444444444444,0.16314580957365737,0.0,0.4444444444444444,0.16008829883138806,0.14653078593493932,0.0,0.4094165813715456
