fold,support_seed,total_labelled_measurements,unique_TagIDs,unique_ER_levels,unique_surfaces,unique_condition_blocks,unique_exact_signals,repeated_measurements_beyond_first_per_block,minimum_labels_per_TagID,maximum_labels_per_TagID,minimum_labels_per_covered_block,maximum_labels_per_covered_block,selected_factor_cell_order
0,205439,100,7,3,3,42,97,58,14,15,2,3,E1xS2;E2xS0;E0xS2;E1xS0;E2xS1;E0xS1
0,205439,200,7,3,3,42,183,158,28,29,4,5,E1xS2;E2xS0;E0xS2;E1xS0;E2xS1;E0xS1
0,205439,500,7,3,3,42,386,458,71,72,11,12,E1xS2;E2xS0;E0xS2;E1xS0;E2xS1;E0xS1
0,230003,7,7,1,1,7,7,0,1,1,1,1,E0xS2;E2xS1;E2xS0;E0xS1;E1xS2;E1xS0
0,230003,10,7,2,2,10,10,0,1,2,1,1,E0xS2;E2xS1;E2xS0;E0xS1;E1xS2;E1xS0
0,230003,20,7,2,3,20,20,0,2,3,1,1,E0xS2;E2xS1;E2xS0;E0xS1;E1xS2;E1xS0
0,230003,21,7,2,3,21,21,0,3,3,1,1,E0xS2;E2xS1;E2xS0;E0xS1;E1xS2;E1xS0
0,230003,35,7,3,3,35,35,0,5,5,1,1,E0xS2;E2xS1;E2xS0;E0xS1;E1xS2;E1xS0
0,230003,50,7,3,3,42,50,8,7,8,1,2,E0xS2;E2xS1;E2xS0;E0xS1;E1xS2;E1xS0
0,230003,100,7,3,3,42,99,58,14,15,2,3,E0xS2;E2xS1;E2xS0;E0xS1;E1xS2;E1xS0
0,230003,200,7,3,3,42,187,158,28,29,4,5,E0xS2;E2xS1;E2xS0;E0xS1;E1xS2;E1xS0
0,230003,500,7,3,3,42,388,458,71,72,11,12,E0xS2;E2xS1;E2xS0;E0xS1;E1xS2;E1xS0
0,254959,7,7,1,1,7,7,0,1,1,1,1,E0xS2;E0xS1;E1xS0;E2xS0;E2xS1;E1xS2
0,254959,10,7,1,2,10,10,0,1,2,1,1,E0xS2;E0xS1;E1xS0;E2xS0;E2xS1;E1xS2
0,254959,20,7,2,3,20,20,0,2,3,1,1,E0xS2;E0xS1;E1xS0;E2xS0;E2xS1;E1xS2
0,254959,21,7,2,3,21,21,0,3,3,1,1,E0xS2;E0xS1;E1xS0;E2xS0;E2xS1;E1xS2
0,254959,35,7,3,3,35,35,0,5,5,1,1,E0xS2;E0xS1;E1xS0;E2xS0;E2xS1;E1xS2
0,254959,50,7,3,3,42,50,8,7,8,1,2,E0xS2;E0xS1;E1xS0;E2xS0;E2xS1;E1xS2
0,254959,100,7,3,3,42,97,58,14,15,2,3,E0xS2;E0xS1;E1xS0;E2xS0;E2xS1;E1xS2
0,254959,200,7,3,3,42,184,158,28,29,4,5,E0xS2;E0xS1;E1xS0;E2xS0;E2xS1;E1xS2
0,254959,500,7,3,3,42,393,458,71,72,11,12,E0xS2;E0xS1;E1xS0;E2xS0;E2xS1;E1xS2
0,280001,7,7,1,1,7,7,0,1,1,1,1,E0xS1;E2xS0;E1xS2;E1xS0;E2xS1;E0xS2
0,280001,10,7,2,2,10,10,0,1,2,1,1,E0xS1;E2xS0;E1xS2;E1xS0;E2xS1;E0xS2
0,280001,20,7,3,3,20,20,0,2,3,1,1,E0xS1;E2xS0;E1xS2;E1xS0;E2xS1;E0xS2
0,280001,21,7,3,3,21,21,0,3,3,1,1,E0xS1;E2xS0;E1xS2;E1xS0;E2xS1;E0xS2
0,280001,35,7,3,3,35,35,0,5,5,1,1,E0xS1;E2xS0;E1xS2;E1xS0;E2xS1;E0xS2
0,280001,50,7,3,3,42,50,8,7,8,1,2,E0xS1;E2xS0;E1xS2;E1xS0;E2xS1;E0xS2
0,280001,100,7,3,3,42,98,58,14,15,2,3,E0xS1;E2xS0;E1xS2;E1xS0;E2xS1;E0xS2
0,280001,200,7,3,3,42,187,158,28,29,4,5,E0xS1;E2xS0;E1xS2;E1xS0;E2xS1;E0xS2
0,280001,500,7,3,3,42,397,458,71,72,11,12,E0xS1;E2xS0;E1xS2;E1xS0;E2xS1;E0xS2
0,305093,7,7,1,1,7,7,0,1,1,1,1,E1xS2;E0xS1;E2xS1;E2xS0;E0xS2;E1xS0
0,305093,10,7,2,2,10,10,0,1,2,1,1,E1xS2;E0xS1;E2xS1;E2xS0;E0xS2;E1xS0
0,305093,20,7,3,2,20,20,0,2,3,1,1,E1xS2;E0xS1;E2xS1;E2xS0;E0xS2;E1xS0
0,305093,21,7,3,2,21,21,0,3,3,1,1,E1xS2;E0xS1;E2xS1;E2xS0;E0xS2;E1xS0
0,305093,35,7,3,3,35,35,0,5,5,1,1,E1xS2;E0xS1;E2xS1;E2xS0;E0xS2;E1xS0
0,305093,50,7,3,3,42,49,8,7,8,1,2,E1xS2;E0xS1;E2xS1;E2xS0;E0xS2;E1xS0
0,305093,100,7,3,3,42,95,58,14,15,2,3,E1xS2;E0xS1;E2xS1;E2xS0;E0xS2;E1xS0
0,305093,200,7,3,3,42,178,158,28,29,4,5,E1xS2;E0xS1;E2xS1;E2xS0;E0xS2;E1xS0
0,305093,500,7,3,3,42,385,458,71,72,11,12,E1xS2;E0xS1;E2xS1;E2xS0;E0xS2;E1xS0
0,330017,7,7,1,1,7,7,0,1,1,1,1,E1xS2;E0xS2;E1xS0;E2xS0;E0xS1;E2xS1
0,330017,10,7,2,1,10,10,0,1,2,1,1,E1xS2;E0xS2;E1xS0;E2xS0;E0xS1;E2xS1
0,330017,20,7,2,2,20,20,0,2,3,1,1,E1xS2;E0xS2;E1xS0;E2xS0;E0xS1;E2xS1
0,330017,21,7,2,2,21,21,0,3,3,1,1,E1xS2;E0xS2;E1xS0;E2xS0;E0xS1;E2xS1
0,330017,35,7,3,3,35,35,0,5,5,1,1,E1xS2;E0xS2;E1xS0;E2xS0;E0xS1;E2xS1
0,330017,50,7,3,3,42,50,8,7,8,1,2,E1xS2;E0xS2;E1xS0;E2xS0;E0xS1;E2xS1
0,330017,100,7,3,3,42,97,58,14,15,2,3,E1xS2;E0xS2;E1xS0;E2xS0;E0xS1;E2xS1
0,330017,200,7,3,3,42,177,158,28,29,4,5,E1xS2;E0xS2;E1xS0;E2xS0;E0xS1;E2xS1
0,330017,500,7,3,3,42,385,458,71,72,11,12,E1xS2;E0xS2;E1xS0;E2xS0;E0xS1;E2xS1
0,355031,7,7,1,1,7,7,0,1,1,1,1,E1xS2;E1xS0;E2xS1;E0xS2;E0xS1;E2xS0
0,355031,10,7,1,2,10,10,0,1,2,1,1,E1xS2;E1xS0;E2xS1;E0xS2;E0xS1;E2xS0
0,355031,20,7,2,3,20,20,0,2,3,1,1,E1xS2;E1xS0;E2xS1;E0xS2;E0xS1;E2xS0
0,355031,21,7,2,3,21,21,0,3,3,1,1,E1xS2;E1xS0;E2xS1;E0xS2;E0xS1;E2xS0
0,355031,35,7,3,3,35,35,0,5,5,1,1,E1xS2;E1xS0;E2xS1;E0xS2;E0xS1;E2xS0
0,355031,50,7,3,3,42,50,8,7,8,1,2,E1xS2;E1xS0;E2xS1;E0xS2;E0xS1;E2xS0
0,355031,100,7,3,3,42,97,58,14,15,2,3,E1xS2;E1xS0;E2xS1;E0xS2;E0xS1;E2xS0
0,355031,200,7,3,3,42,188,158,28,29,4,5,E1xS2;E1xS0;E2xS1;E0xS2;E0xS1;E2xS0
0,355031,500,7,3,3,42,394,458,71,72,11,12,E1xS2;E1xS0;E2xS1;E0xS2;E0xS1;E2xS0
0,380041,7,7,1,1,7,7,0,1,1,1,1,E2xS0;E1xS2;E1xS0;E0xS1;E2xS1;E0xS2
