from_budget,to_budget,additional_labels,macro_f1_change,macro_f1_change_ci_95_lower,macro_f1_change_ci_95_upper,macro_f1_gain_per_10_labels,accuracy_change,accuracy_change_ci_95_lower,accuracy_change_ci_95_upper
0,7,7,0.014872244235904414,-0.04425619207278983,0.07350846048491294,0.02124606319414916,-0.015980952380952373,-0.08247031746031745,0.05046055555555555
7,10,3,0.0034968406288592713,-0.021258260301229393,0.027140082175054578,0.011656135429530904,0.0018952380952380887,-0.024222142857142862,0.028063650793650783
10,20,10,0.004960067390347461,-0.020482014114212833,0.03198269110411048,0.004960067390347461,0.002022222222222231,-0.024911428571428595,0.030289285714285685
20,21,1,-0.0018792477550773345,-0.011886192961329376,0.008610925425454646,-0.018792477550773345,-0.0013460317460317617,-0.01212722222222222,0.009819285714285707
21,35,14,-0.014034465663956469,-0.03866685036278413,0.011750983172478281,-0.010024618331397478,-0.012190476190476196,-0.03864484126984128,0.01449849206349207
35,50,15,-0.004958053412509766,-0.024608771270831095,0.015345592264626829,-0.0033053689416731777,-0.004514285714285693,-0.025889365079365068,0.016788809523809487
50,100,50,-0.004739374652414904,-0.018521294032706734,0.009805655407150992,-0.0009478749304829808,-0.003066666666666662,-0.017864126984127014,0.012743730158730142
100,200,100,-0.002150935499873191,-0.019091087045196412,0.013168779956067253,-0.0002150935499873191,-0.0011746031746031893,-0.01860349206349207,0.014660476190476186
200,500,300,-0.005450775686615103,-0.015069701862993232,0.0035607971205375783,-0.0001816925228871701,-0.004717460317460315,-0.01537476190476191,0.004914444444444459
