budget,factor,level,rows_per_unit,unit_count,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
0,ER,0,1050,5,0.07856265227375055,0.041459194476742026,0.1502857142857143,0.03379543636756857
0,ER,1,1050,5,0.06997626635631958,0.02526950036577204,0.1158095238095238,0.05112165916987808
0,ER,2,1050,5,0.16030963552507113,0.020226015780213834,0.2038095238095238,0.026358766672567716
0,surface,0,1050,5,0.07749032591580415,0.06016138899734268,0.13314285714285715,0.07218457068444722
0,surface,1,1050,5,0.09168851849974383,0.05519790652098561,0.15314285714285716,0.06354386775489591
0,surface,2,1050,5,0.1277393351613915,0.05751453118764462,0.18361904761904763,0.0733222007629105
7,ER,0,1050,100,0.12160454279687075,0.06302696417472067,0.14207619047619047,0.06955515051289404
7,ER,1,1050,100,0.12225920553379895,0.05100681675584735,0.14642857142857144,0.05251945046685366
7,ER,2,1050,100,0.1131769157364051,0.05245193873674473,0.13345714285714286,0.055348061081695564
7,surface,0,1050,100,0.11793338438113846,0.06663677943876649,0.14048571428571427,0.07073629510610328
7,surface,1,1050,100,0.1413050097105861,0.06475159275086449,0.1660761904761905,0.06495878457273892
7,surface,2,1050,100,0.09963655974002722,0.05093358925591276,0.11539999999999999,0.05245061701775697
10,ER,0,1050,100,0.12317909596087141,0.06685139480283166,0.1466,0.07195047491100014
10,ER,1,1050,100,0.13619057853497737,0.06058693194477485,0.1557904761904762,0.061064738313393416
10,ER,2,1050,100,0.10726222202460191,0.05735440769664686,0.12525714285714284,0.06308403959176283
10,surface,0,1050,100,0.13435641851106575,0.06982067607647507,0.15907619047619048,0.07221005304768101
10,surface,1,1050,100,0.13235350595329737,0.06413936033495378,0.1525142857142857,0.06303631815644266
10,surface,2,1050,100,0.0992029880325667,0.05308327131475427,0.11605714285714287,0.058143715334351566
20,ER,0,1050,100,0.1283399578440111,0.06610451532453844,0.14873333333333336,0.06885264538903157
20,ER,1,1050,100,0.12251733161799619,0.056836916595942734,0.13763809523809525,0.06206557423166995
20,ER,2,1050,100,0.13477181070570787,0.06420690531924858,0.14734285714285714,0.06416359091167423
20,surface,0,1050,100,0.16736881660522074,0.06948046082755456,0.19219047619047613,0.0757654087890285
20,surface,1,1050,100,0.12194792894134367,0.06309432109630495,0.1375047619047619,0.06881560661560303
20,surface,2,1050,100,0.0871201936077473,0.05053760801836437,0.1040190476190476,0.05628709541566654
21,ER,0,1050,100,0.12754233375961835,0.06360241307890044,0.1499904761904762,0.0673981032192445
21,ER,1,1050,100,0.12225685005151332,0.06325248238545338,0.13758095238095241,0.0653388582947517
21,ER,2,1050,100,0.130222563727229,0.060640611637659006,0.1421047619047619,0.062466360722037796
21,surface,0,1050,100,0.16752113243612574,0.06553279239723139,0.19539047619047614,0.07036309321629407
21,surface,1,1050,100,0.1137477090959089,0.06063456889742274,0.12921904761904762,0.06565491877483563
21,surface,2,1050,100,0.08875725638827327,0.05584052456767653,0.10506666666666668,0.061468605215600366
35,ER,0,1050,100,0.12546323380183805,0.06353757836674395,0.14573333333333335,0.06669345713335137
35,ER,1,1050,100,0.10469675399708565,0.047014808265477555,0.11853333333333334,0.048064757770681345
35,ER,2,1050,100,0.11421079927252081,0.043632916743250615,0.12883809523809522,0.047886517706667284
35,surface,0,1050,100,0.15860542997050195,0.05897357395654851,0.19178095238095236,0.057076224578817426
