event_id,held_position,candidate_id,held_rank,held_macro_f1_mean,held_macro_f1_population_sd,held_accuracy_mean,held_worst_class_recall,held_per_class_recall_json,confusion_matrix_l1_fraction_vs_oracle,oracle
HOLD_P1,P1,C1_FIRST_DIFFERENCE_ERM_1DCNN,1,0.16769190688180016,0.041840219567209763,0.21949206349206349,0.044444444444444439,"[0.1542222222222222, 0.04444444444444444, 0.7124444444444444, 0.06666666666666667, 0.26888888888888884, 0.04444444444444444, 0.24533333333333332]",0,True
HOLD_P1,P1,C2_SOURCE_EUCLIDEAN_NCM_READOUT,2,0.12702991851799283,0.013076917328753882,0.21650793650793648,0,"[0.0, 0.13733333333333334, 0.9124444444444444, 0.0, 0.04444444444444444, 0.0, 0.4213333333333333]",0.66526984126984123,False
HOLD_P1,P1,C0_NEUTRAL_ERM_1DCNN,3,0.10991628973958958,0.058177125914259407,0.20025396825396827,0,"[0.043111111111111114, 0.09155555555555556, 0.8902222222222221, 0.0, 0.08888888888888888, 0.0, 0.288]",0.55911111111111111,False
HOLD_P1,P1,C3_SOURCE_CORAL_ERM_1DCNN,4,0.098500564938520385,0.047206055551818685,0.17219047619047617,0,"[0.0, 0.11511111111111112, 0.7124444444444444, 0.02222222222222222, 0.0, 0.13333333333333336, 0.22222222222222224]",0.60698412698412696,False
HOLD_P2,P2,C3_SOURCE_CORAL_ERM_1DCNN,1,0.17204047742309142,0.025609407627586706,0.20260317460317459,0.022666666666666665,"[0.26666666666666666, 0.13333333333333333, 0.022666666666666665, 0.5111111111111111, 0.06577777777777778, 0.15599999999999997, 0.26266666666666666]",0,True
HOLD_P2,P2,C0_NEUTRAL_ERM_1DCNN,2,0.16969138165986997,0.024015647264142317,0.19688888888888889,0.023555555555555555,"[0.31155555555555553, 0.13333333333333333, 0.06711111111111111, 0.46711111111111114, 0.15599999999999997, 0.023555555555555555, 0.21955555555555556]",0.34247619047619049,False
HOLD_P2,P2,C2_SOURCE_EUCLIDEAN_NCM_READOUT,3,0.15015420255213124,0.0086186676133513836,0.18838095238095237,0,"[0.04444444444444444, 0.13466666666666666, 0.04755555555555555, 0.5333333333333333, 0.3311111111111111, 0.0, 0.22755555555555557]",0.50463492063492066,False
HOLD_P2,P2,C1_FIRST_DIFFERENCE_ERM_1DCNN,4,0.13172221394409592,0.026543939297032294,0.16292063492063491,0.0013333333333333335,"[0.17866666666666667, 0.0013333333333333335, 0.17422222222222222, 0.06533333333333333, 0.06666666666666667, 0.23866666666666667, 0.41555555555555557]",0.79530158730158729,False
HOLD_P3,P3,C1_FIRST_DIFFERENCE_ERM_1DCNN,1,0.12386044528827292,0.029676072162468752,0.18926984126984128,0,"[0.3515555555555555, 0.030222222222222223, 0.0, 0.5457777777777778, 0.06533333333333333, 0.06577777777777778, 0.26622222222222225]",0,True
HOLD_P3,P3,C2_SOURCE_EUCLIDEAN_NCM_READOUT,2,0.052889629398631469,0.01671799407708531,0.1384126984126984,0,"[0.22088888888888886, 0.0, 0.0, 0.748, 0.0, 0.0, 0.0]",1.0640000000000001,False
HOLD_P3,P3,C0_NEUTRAL_ERM_1DCNN,3,0.047113550384625114,0.0097226366143544872,0.13574603174603175,0,"[0.41688888888888886, 0.0, 0.0, 0.5333333333333333, 0.0, 0.0, 0.0]",0.75212698412698409,False
HOLD_P3,P3,C3_SOURCE_CORAL_ERM_1DCNN,4,0.041045557564312427,0.010171289650398095,0.13892063492063492,0,"[0.5044444444444445, 0.0, 0.0, 0.46799999999999997, 0.0, 0.0, 0.0]",0.76355555555555554,False
