event_id,allowed_positions,held_position,rank,candidate_id,selected,decision_sha256,score_margin_top1_minus_top2,score_relative_margin,worst_outer_held_position_macro_f1,mean_outer_held_position_macro_f1,worst_class_recall,zero_recall_class_frequency,condition_block_macro_f1,unique_signal_weighted_macro_f1,across_seed_standard_deviation
HOLD_P1,P2+P3,P1,1,C1_FIRST_DIFFERENCE_ERM_1DCNN,True,fee106ea075ca56a7bf032e593091162ca8950dd4fac6cee61f2b2bbe21ec34b,0.07097081588964145,0.57299015617507187,0.12386044528827292,0.12779132961618442,0.015777777777777779,0.42857142857142855,0.12759489643074218,0.12710150965478648,0.020020882668317096
HOLD_P1,P2+P3,P1,2,C2_SOURCE_EUCLIDEAN_NCM_READOUT,False,fee106ea075ca56a7bf032e593091162ca8950dd4fac6cee61f2b2bbe21ec34b,0.07097081588964145,0.57299015617507187,0.052889629398631469,0.10152191597538136,0,0.52857142857142858,0.10073094521264843,0.10178922065059468,0.0087489535676346583
HOLD_P1,P2+P3,P1,3,C0_NEUTRAL_ERM_1DCNN,False,fee106ea075ca56a7bf032e593091162ca8950dd4fac6cee61f2b2bbe21ec34b,0.07097081588964145,0.57299015617507187,0.047113550384625114,0.10840246602224754,0.011777777777777778,0.48571428571428571,0.10829277255073939,0.10891382697510987,0.015766585516437774
HOLD_P1,P2+P3,P1,4,C3_SOURCE_CORAL_ERM_1DCNN,False,fee106ea075ca56a7bf032e593091162ca8950dd4fac6cee61f2b2bbe21ec34b,0.07097081588964145,0.57299015617507187,0.041045557564312427,0.10654301749370192,0.011333333333333332,0.51428571428571423,0.10458720503499905,0.10706094140993552,0.014166119454783344
HOLD_P2,P1+P3,P2,1,C1_FIRST_DIFFERENCE_ERM_1DCNN,True,a55e9e5aa01392cc1564f9c5b15bd2321e91fa74e813328ba996b697c185368f,0.07097081588964145,0.57299015617507187,0.12386044528827292,0.14577617608503651,0.037333333333333336,0.38571428571428573,0.14510143623236929,0.1482477556354323,0.027441753564104047
HOLD_P2,P1+P3,P2,2,C2_SOURCE_EUCLIDEAN_NCM_READOUT,False,a55e9e5aa01392cc1564f9c5b15bd2321e91fa74e813328ba996b697c185368f,0.07097081588964145,0.57299015617507187,0.052889629398631469,0.089959773958312145,0,0.6428571428571429,0.089321669712851909,0.089335227112844875,0.011545818811460664
HOLD_P2,P1+P3,P2,3,C0_NEUTRAL_ERM_1DCNN,False,a55e9e5aa01392cc1564f9c5b15bd2321e91fa74e813328ba996b697c185368f,0.07097081588964145,0.57299015617507187,0.047113550384625114,0.078514920062107349,0,0.69999999999999996,0.07865140861736282,0.077265037702532458,0.025089536096389767
HOLD_P2,P1+P3,P2,4,C3_SOURCE_CORAL_ERM_1DCNN,False,a55e9e5aa01392cc1564f9c5b15bd2321e91fa74e813328ba996b697c185368f,0.07097081588964145,0.57299015617507187,0.041045557564312427,0.069773061251416399,0,0.72857142857142854,0.071002012841724152,0.069840564114247008,0.028034357523344964
HOLD_P3,P1+P2,P3,1,C1_FIRST_DIFFERENCE_ERM_1DCNN,True,b9045c9aa8de887f4331e4a98ddb049f713a62c089fa7f4437e92f942342e553,0.0046922954261030825,0.035622658362655026,0.13172221394409592,0.14970706041294804,0.022888888888888886,0.32857142857142857,0.15006379916106188,0.15073665397679148,0.028720191374168626
HOLD_P3,P1+P2,P3,2,C2_SOURCE_EUCLIDEAN_NCM_READOUT,False,b9045c9aa8de887f4331e4a98ddb049f713a62c089fa7f4437e92f942342e553,0.0046922954261030825,0.035622658362655026,0.12702991851799283,0.13859206053506204,0,0.40000000000000002,0.13791644182551235,0.13804152831109565,0.0086643546905090588
HOLD_P3,P1+P2,P3,3,C0_NEUTRAL_ERM_1DCNN,False,b9045c9aa8de887f4331e4a98ddb049f713a62c089fa7f4437e92f942342e553,0.0046922954261030825,0.035622658362655026,0.10991628973958958,0.13980383569972979,0.011777777777777778,0.41428571428571431,0.13952768165389323,0.13880789032505206,0.02682778894358329
HOLD_P3,P1+P2,P3,4,C3_SOURCE_CORAL_ERM_1DCNN,False,b9045c9aa8de887f4331e4a98ddb049f713a62c089fa7f4437e92f942342e553,0.0046922954261030825,0.035622658362655026,0.098500564938520385,0.1352705211808059,0.032888888888888891,0.41428571428571431,0.13422225599763193,0.13558185249170476,0.028153058292015972
