row_type,event_id,held_position,seed,selected_candidate,oracle_candidate,selected_held_accuracy,oracle_held_accuracy,regret
seed,HOLD_P1,P1,42,C1_FIRST_DIFFERENCE_ERM_1DCNN,C0_NEUTRAL_ERM_1DCNN,0.25365079365079363,0.27174603174603174,0.018095238095238109
seed,HOLD_P1,P1,43,C1_FIRST_DIFFERENCE_ERM_1DCNN,C2_SOURCE_EUCLIDEAN_NCM_READOUT,0.19174603174603175,0.24095238095238095,0.049206349206349198
seed,HOLD_P1,P1,44,C1_FIRST_DIFFERENCE_ERM_1DCNN,C2_SOURCE_EUCLIDEAN_NCM_READOUT,0.18920634920634921,0.22285714285714286,0.033650793650793653
seed,HOLD_P1,P1,45,C1_FIRST_DIFFERENCE_ERM_1DCNN,C0_NEUTRAL_ERM_1DCNN,0.22285714285714286,0.25396825396825395,0.031111111111111089
seed,HOLD_P1,P1,46,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.23999999999999999,0.23999999999999999,0
event,HOLD_P1,P1,,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.21949206349206349,0.21949206349206349,0
seed,HOLD_P2,P2,42,C1_FIRST_DIFFERENCE_ERM_1DCNN,C0_NEUTRAL_ERM_1DCNN,0.17460317460317459,0.19079365079365079,0.0161904761904762
seed,HOLD_P2,P2,43,C1_FIRST_DIFFERENCE_ERM_1DCNN,C3_SOURCE_CORAL_ERM_1DCNN,0.17206349206349206,0.23841269841269841,0.066349206349206352
seed,HOLD_P2,P2,44,C1_FIRST_DIFFERENCE_ERM_1DCNN,C0_NEUTRAL_ERM_1DCNN,0.12825396825396826,0.23841269841269841,0.11015873015873015
seed,HOLD_P2,P2,45,C1_FIRST_DIFFERENCE_ERM_1DCNN,C3_SOURCE_CORAL_ERM_1DCNN,0.15714285714285714,0.20444444444444446,0.047301587301587317
seed,HOLD_P2,P2,46,C1_FIRST_DIFFERENCE_ERM_1DCNN,C0_NEUTRAL_ERM_1DCNN,0.18253968253968253,0.20666666666666667,0.024126984126984136
event,HOLD_P2,P2,,C1_FIRST_DIFFERENCE_ERM_1DCNN,C3_SOURCE_CORAL_ERM_1DCNN,0.16292063492063491,0.20260317460317459,0.03968253968253968
seed,HOLD_P3,P3,42,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.18253968253968253,0.18253968253968253,0
seed,HOLD_P3,P3,43,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.18063492063492065,0.18063492063492065,0
seed,HOLD_P3,P3,44,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.23206349206349206,0.23206349206349206,0
seed,HOLD_P3,P3,45,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.15111111111111111,0.15111111111111111,0
seed,HOLD_P3,P3,46,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.20000000000000001,0.20000000000000001,0
event,HOLD_P3,P3,,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.18926984126984128,0.18926984126984128,0
