row_type,event_id,held_position,seed,selected_candidate,oracle_candidate,selected_held_macro_f1,oracle_held_macro_f1,regret,zero_regret,within_secondary_tolerance_0_01
seed,HOLD_P1,P1,42,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.22456034951665385,0.22456034951665385,0,True,True
seed,HOLD_P1,P1,43,C1_FIRST_DIFFERENCE_ERM_1DCNN,C2_SOURCE_EUCLIDEAN_NCM_READOUT,0.13261493631208179,0.15087767280281916,0.018262736490737369,False,False
seed,HOLD_P1,P1,44,C1_FIRST_DIFFERENCE_ERM_1DCNN,C2_SOURCE_EUCLIDEAN_NCM_READOUT,0.11516900801194972,0.11762133624287867,0.0024523282309289463,False,True
seed,HOLD_P1,P1,45,C1_FIRST_DIFFERENCE_ERM_1DCNN,C3_SOURCE_CORAL_ERM_1DCNN,0.16006043531860414,0.1799099754619487,0.019849540143344557,False,False
seed,HOLD_P1,P1,46,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.20605480524971123,0.20605480524971123,0,True,True
event,HOLD_P1,P1,,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.16769190688180016,0.16769190688180016,0,True,True
seed,HOLD_P2,P2,42,C1_FIRST_DIFFERENCE_ERM_1DCNN,C0_NEUTRAL_ERM_1DCNN,0.15311734254688961,0.17807807747560706,0.024960734928717448,False,False
seed,HOLD_P2,P2,43,C1_FIRST_DIFFERENCE_ERM_1DCNN,C3_SOURCE_CORAL_ERM_1DCNN,0.16703086391893221,0.21789310510580898,0.050862241186876767,False,False
seed,HOLD_P2,P2,44,C1_FIRST_DIFFERENCE_ERM_1DCNN,C0_NEUTRAL_ERM_1DCNN,0.096232898251606622,0.20502123828246063,0.10878834003085401,False,False
seed,HOLD_P2,P2,45,C1_FIRST_DIFFERENCE_ERM_1DCNN,C3_SOURCE_CORAL_ERM_1DCNN,0.10819343015721694,0.17712305820608787,0.068929628048870928,False,False
seed,HOLD_P2,P2,46,C1_FIRST_DIFFERENCE_ERM_1DCNN,C0_NEUTRAL_ERM_1DCNN,0.13403653484583417,0.17050962638950887,0.036473091543674702,False,False
event,HOLD_P2,P2,,C1_FIRST_DIFFERENCE_ERM_1DCNN,C3_SOURCE_CORAL_ERM_1DCNN,0.13172221394409592,0.17204047742309142,0.040318263478995503,False,False
seed,HOLD_P3,P3,42,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.12854995220836993,0.12854995220836993,0,True,True
seed,HOLD_P3,P3,43,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.11215162764412619,0.11215162764412619,0,True,True
seed,HOLD_P3,P3,44,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.14941367839237071,0.14941367839237071,0,True,True
seed,HOLD_P3,P3,45,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.073244133754406957,0.073244133754406957,0,True,True
seed,HOLD_P3,P3,46,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.15594283444209081,0.15594283444209081,0,True,True
event,HOLD_P3,P3,,C1_FIRST_DIFFERENCE_ERM_1DCNN,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.12386044528827292,0.12386044528827292,0,True,True
summary,ALL_EVENTS,P1+P2+P3,,,,0.14109152203805633,0.15453094319772151,0.013439421159665168,,
