true_class,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6,row_total
0,3212,870,1137,676,722,1495,738,8850
1,72,1455,3392,203,457,2470,821,8870
2,452,1139,4255,437,23,1623,976,8905
3,565,489,1310,3939,853,1411,313,8880
4,814,325,990,1367,3011,1942,446,8895
5,277,358,543,374,612,6239,477,8880
6,555,273,1220,481,4,2510,3857,8900
