true_class,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6,row_total
0,1254,624,195,3318,3064,200,195,8850
1,595,1793,392,3726,1570,401,393,8870
2,2087,473,0,2958,1981,981,425,8905
3,2309,1717,0,2178,1961,0,715,8880
4,782,1195,187,4022,2112,0,597,8895
5,786,796,0,5721,1561,16,0,8880
6,1528,219,196,4380,794,592,1191,8900
