true_class,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6,row_total
0,2196,810,243,3005,2081,320,195,8850
1,1690,1314,453,3821,1132,301,159,8870
2,2742,527,317,2613,1635,587,484,8905
3,2494,1571,241,2639,1412,0,523,8880
4,966,954,545,4076,1717,199,438,8895
5,1492,677,0,5847,861,3,0,8880
6,2136,134,357,3941,866,435,1031,8900
