true_class,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6,row_total
0,0.14169491525423727,0.07050847457627119,0.022033898305084745,0.3749152542372881,0.3462146892655367,0.022598870056497175,0.022033898305084745,1.0
1,0.06708004509582864,0.20214205186020293,0.04419391206313416,0.4200676437429538,0.17700112739571588,0.04520856820744081,0.04430665163472379,1.0
2,0.23436271757439642,0.05311622683885458,0.0,0.3321729365524986,0.22245929253228525,0.11016282987085907,0.04772599663110612,1.0
3,0.2600225225225225,0.19335585585585585,0.0,0.24527027027027026,0.22083333333333333,0.0,0.08051801801801801,1.0
4,0.08791455874086565,0.134345137717819,0.021023046655424395,0.45216413715570547,0.23743676222596966,0.0,0.06711635750421585,1.0
5,0.08851351351351351,0.08963963963963964,0.0,0.6442567567567568,0.1757882882882883,0.0018018018018018018,0.0,1.0
6,0.17168539325842697,0.02460674157303371,0.02202247191011236,0.49213483146067416,0.08921348314606742,0.06651685393258427,0.13382022471910113,1.0
