row_type,comparison,metric,unit_id,source_seed,p4_split_seed,baseline_value,treatment_value,difference,mean_difference,sample_sd_difference,median_difference,minimum_difference,maximum_difference,positive_count,zero_count,negative_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_replicates,bootstrap_seed
UNIT,A1_MINUS_A0,accuracy,source_seed_44_split_seed_53,44,53,0.1290192926045016,0.1414790996784566,0.012459807073954998,,,,,,,,,,,,
UNIT,A1_MINUS_A0,accuracy,source_seed_44_split_seed_71,44,71,0.1293833131801693,0.14590890769850867,0.016525594518339376,,,,,,,,,,,,
UNIT,A1_MINUS_A0,accuracy,source_seed_45_split_seed_11,45,11,0.14469453376205788,0.2037781350482315,0.059083601286173626,,,,,,,,,,,,
UNIT,A1_MINUS_A0,accuracy,source_seed_45_split_seed_23,45,23,0.14538152610441768,0.20481927710843373,0.05943775100401605,,,,,,,,,,,,
UNIT,A1_MINUS_A0,accuracy,source_seed_45_split_seed_37,45,37,0.14865407794294896,0.14905584572117317,0.0004017677782242046,,,,,,,,,,,,
UNIT,A1_MINUS_A0,accuracy,source_seed_45_split_seed_53,45,53,0.14469453376205788,0.20337620578778134,0.05868167202572347,,,,,,,,,,,,
UNIT,A1_MINUS_A0,accuracy,source_seed_45_split_seed_71,45,71,0.1487303506650544,0.20233776702942363,0.05360741636436922,,,,,,,,,,,,
UNIT,A1_MINUS_A0,accuracy,source_seed_46_split_seed_11,46,11,0.11454983922829581,0.12057877813504823,0.006028938906752421,,,,,,,,,,,,
UNIT,A1_MINUS_A0,accuracy,source_seed_46_split_seed_23,46,23,0.11526104417670682,0.121285140562249,0.006024096385542174,,,,,,,,,,,,
UNIT,A1_MINUS_A0,accuracy,source_seed_46_split_seed_37,46,37,0.11892326235435918,0.15950180795500202,0.040578545600642835,,,,,,,,,,,,
UNIT,A1_MINUS_A0,accuracy,source_seed_46_split_seed_53,46,53,0.1157556270096463,0.12178456591639872,0.006028938906752421,,,,,,,,,,,,
UNIT,A1_MINUS_A0,accuracy,source_seed_46_split_seed_71,46,71,0.11527609834744054,0.12132204756146715,0.006045949214026611,,,,,,,,,,,,
SUMMARY,A1_MINUS_A0,accuracy,,,,,,,0.010822241760422,0.02619464868738882,0.006024096385542174,-0.043775100401606426,0.05943775100401605,17,6,2,-0.007801430789021896,0.03055153509660374,10000,20260729
