unit_id,source_seed,p4_split_seed,arm,method,score_kind,n,accuracy,macro_precision,macro_recall,macro_f1,checkpoint_sha256,sample_ids_sha256,true_labels_sha256,predictions_sha256,scores_sha256,prediction_bundle,prediction_bundle_sha256
source_seed_42_split_seed_37,42,37,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,logit,2489,0.176777822418642,0.12534251990723794,0.17695159722379222,0.12613506373333336,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,bdf05bee3755478c7a1e57d656a0d47cc511f292f4dc2a0f5e8856c8a014529c,1f0defcc98f2abfc8fbaf51bb175237e0f0aef51e9e7b7d761fa652a179de6ed,30f2efd1022926abc9039c8812f67ec15c6b1047b25058aa99c9d53c8c80a9a6,697f150585818dcfb6479b1294d888b1d01e4efac296acb97de783c557533328,outputs/final_test/predictions/source_seed_42_split_seed_37/A0_MATCHED_SOURCE_ONLY_CONTROL.npz,20de8d0a6b35a6b1d5ad1272af11f00c2700b2f3e852589b988598569c3a6489
source_seed_42_split_seed_37,42,37,A1_MATCHED_TARGET_INFORMED_SELECTION,LEARNED_SOURCE_HEAD,logit,2489,0.176777822418642,0.12534251990723794,0.17695159722379222,0.12613506373333336,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,bdf05bee3755478c7a1e57d656a0d47cc511f292f4dc2a0f5e8856c8a014529c,1f0defcc98f2abfc8fbaf51bb175237e0f0aef51e9e7b7d761fa652a179de6ed,30f2efd1022926abc9039c8812f67ec15c6b1047b25058aa99c9d53c8c80a9a6,697f150585818dcfb6479b1294d888b1d01e4efac296acb97de783c557533328,outputs/final_test/predictions/source_seed_42_split_seed_37/A1_MATCHED_TARGET_INFORMED_SELECTION.npz,20de8d0a6b35a6b1d5ad1272af11f00c2700b2f3e852589b988598569c3a6489
source_seed_42_split_seed_37,42,37,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,cosine_similarity,2489,0.4604258738449176,0.5460762951314301,0.4603467055440628,0.4178773786365075,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,bdf05bee3755478c7a1e57d656a0d47cc511f292f4dc2a0f5e8856c8a014529c,1f0defcc98f2abfc8fbaf51bb175237e0f0aef51e9e7b7d761fa652a179de6ed,7ca26b975e391b2150ad1954f9faee82f9b220fc0ceb5c4fb753c1343d4e532f,f20a52c94941ef923dc7a969cf5559dba448f6ce1dad9b5885460a75a78b9488,outputs/final_test/predictions/source_seed_42_split_seed_37/A2_PROTOTYPE_BLEND_SELECTED.npz,1fb18c548f18532eea328229d853ee7450b0bc7e94eb2876797dc71b1139b79b
source_seed_42_split_seed_37,42,37,A2_LINEAR_PROBE_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,linear_decision_score,2489,0.9887505022097228,0.9889178607199869,0.9887538462132758,0.9887730636191503,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,bdf05bee3755478c7a1e57d656a0d47cc511f292f4dc2a0f5e8856c8a014529c,1f0defcc98f2abfc8fbaf51bb175237e0f0aef51e9e7b7d761fa652a179de6ed,9a8f9858e08364908da827ae162379221ba4c2266ab4eca03cd06b28c3487752,f31cc6614862a21c54b6a0cd069971ef44ee9bad4bed6481a8d4e9b917087e6b,outputs/final_test/predictions/source_seed_42_split_seed_37/A2_LINEAR_PROBE_SELECTED.npz,451c75222c405ba5b8c09d3a115eb4906fd56fb7aa952f046ad04189b70b3c08
source_seed_42_split_seed_37,42,37,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,linear_decision_score,2489,0.9887505022097228,0.9889178607199869,0.9887538462132758,0.9887730636191503,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,bdf05bee3755478c7a1e57d656a0d47cc511f292f4dc2a0f5e8856c8a014529c,1f0defcc98f2abfc8fbaf51bb175237e0f0aef51e9e7b7d761fa652a179de6ed,9a8f9858e08364908da827ae162379221ba4c2266ab4eca03cd06b28c3487752,f31cc6614862a21c54b6a0cd069971ef44ee9bad4bed6481a8d4e9b917087e6b,outputs/final_test/predictions/source_seed_42_split_seed_37/A2_FINAL_SELECTED.npz,451c75222c405ba5b8c09d3a115eb4906fd56fb7aa952f046ad04189b70b3c08
source_seed_42_split_seed_53,42,53,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,logit,2488,0.1752411575562701,0.12372083918935214,0.17541631859505227,0.12454591337458516,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,af4366f7e035fac1f387ac4c850c54291e9148892edca5d698b11f2f9b239bce,41f8665d19f913920ca14f6629eef5bc203f0f13a809b9216eaa7e87779b872f,dd2c23fc5d0659015a34fab9eec2eb61fe11d73b270df2a91329061b13074f0e,bc02abacf6a315d3f576e10ca4adb18886446ffc70e6b1d5e5d90479bf92107b,outputs/final_test/predictions/source_seed_42_split_seed_53/A0_MATCHED_SOURCE_ONLY_CONTROL.npz,f1fdc81b919fd47aba454be074e02f0d085747f0bdc623bf0c2172d73e7f773e
source_seed_42_split_seed_53,42,53,A1_MATCHED_TARGET_INFORMED_SELECTION,LEARNED_SOURCE_HEAD,logit,2488,0.1752411575562701,0.12372083918935214,0.17541631859505227,0.12454591337458516,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,af4366f7e035fac1f387ac4c850c54291e9148892edca5d698b11f2f9b239bce,41f8665d19f913920ca14f6629eef5bc203f0f13a809b9216eaa7e87779b872f,dd2c23fc5d0659015a34fab9eec2eb61fe11d73b270df2a91329061b13074f0e,bc02abacf6a315d3f576e10ca4adb18886446ffc70e6b1d5e5d90479bf92107b,outputs/final_test/predictions/source_seed_42_split_seed_53/A1_MATCHED_TARGET_INFORMED_SELECTION.npz,f1fdc81b919fd47aba454be074e02f0d085747f0bdc623bf0c2172d73e7f773e
source_seed_42_split_seed_53,42,53,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,cosine_similarity,2488,0.41680064308681675,0.4363320162321068,0.41693661035618657,0.3835450103297477,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,af4366f7e035fac1f387ac4c850c54291e9148892edca5d698b11f2f9b239bce,41f8665d19f913920ca14f6629eef5bc203f0f13a809b9216eaa7e87779b872f,a54f396ca93a17d2719fcd74f6ae40c637d3f8f7ee155ccb37507fb06dd48393,f710c2ea93e9349959d166d760eef9cb8cf9e316dce95894ab3547ca5f548b42,outputs/final_test/predictions/source_seed_42_split_seed_53/A2_PROTOTYPE_BLEND_SELECTED.npz,e1646ad679b33e8b63266ec6ca1449f0b65c39734d4a7f56f94d20566b53aa96
source_seed_42_split_seed_53,42,53,A2_LINEAR_PROBE_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,linear_decision_score,2488,0.9867363344051447,0.9869538730056104,0.9867394302156933,0.9867681473783421,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,af4366f7e035fac1f387ac4c850c54291e9148892edca5d698b11f2f9b239bce,41f8665d19f913920ca14f6629eef5bc203f0f13a809b9216eaa7e87779b872f,275e73c8475b7af4da8100699c06945c9fee937fb1f77d645f18718acc620fa9,df5a3c68bea3504f66cf6f49d410c707fa27dfda6679d13cbd81a1be667ca259,outputs/final_test/predictions/source_seed_42_split_seed_53/A2_LINEAR_PROBE_SELECTED.npz,fd681f3e477161529e6ff6dd11830df899cde7c1b6b2c130adbe1c8e4b32ebf9
source_seed_42_split_seed_53,42,53,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=10,linear_decision_score,2488,0.9867363344051447,0.9869538730056104,0.9867394302156933,0.9867681473783421,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,af4366f7e035fac1f387ac4c850c54291e9148892edca5d698b11f2f9b239bce,41f8665d19f913920ca14f6629eef5bc203f0f13a809b9216eaa7e87779b872f,275e73c8475b7af4da8100699c06945c9fee937fb1f77d645f18718acc620fa9,df5a3c68bea3504f66cf6f49d410c707fa27dfda6679d13cbd81a1be667ca259,outputs/final_test/predictions/source_seed_42_split_seed_53/A2_FINAL_SELECTED.npz,fd681f3e477161529e6ff6dd11830df899cde7c1b6b2c130adbe1c8e4b32ebf9
source_seed_42_split_seed_71,42,71,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,logit,2481,0.17412333736396615,0.12279879757413677,0.174603936739626,0.12442264630262703,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,38942b85d992b88ff77060f7ae2c38d5c72bba8f0be51faa098a7e8496cae523,6ab176e3c7025314c0e027545a707584dcc51b2f5aeb94bbcd417d70ce74cf7a,c0d56a19a532356ff5dc6dbd7a6750db6a42f15f50ddd0e29bb71097db586db7,301958659c88e601b3994fa320132831b47b1f9712ed19a2f777e367e6af2c56,outputs/final_test/predictions/source_seed_42_split_seed_71/A0_MATCHED_SOURCE_ONLY_CONTROL.npz,09634ce3c6893a120aecf5988a55cdcd48838cc09f14b7e567be36ebe95f858a
source_seed_42_split_seed_71,42,71,A1_MATCHED_TARGET_INFORMED_SELECTION,SOURCE_EUCLIDEAN_NCM,euclidean_distance,2481,0.13301088270858524,0.1271242404579679,0.13318632491885882,0.12038191105200709,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,38942b85d992b88ff77060f7ae2c38d5c72bba8f0be51faa098a7e8496cae523,6ab176e3c7025314c0e027545a707584dcc51b2f5aeb94bbcd417d70ce74cf7a,c2590104a497cfea2d877e1fb8a3e6a96fb18bf57b72f2cd2a97800ae38bfa0a,e5f4b5d46e20e10fc457056cd4f5440b7def7a209380795c748194d6e4bc8197,outputs/final_test/predictions/source_seed_42_split_seed_71/A1_MATCHED_TARGET_INFORMED_SELECTION.npz,22cb8cc85edc3b620cc3aba3cfc571f5d0b12f332377b9d7e21dc8c45f41dc60
source_seed_42_split_seed_71,42,71,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,cosine_similarity,2481,0.4784361144699718,0.5584947527207795,0.47814033721400184,0.4691491184284495,69fe7cb33e9940857f4441ce0a946ccc230dcc76d2da793837fe94bc914a7427,38942b85d992b88ff77060f7ae2c38d5c72bba8f0be51faa098a7e8496cae523,6ab176e3c7025314c0e027545a707584dcc51b2f5aeb94bbcd417d70ce74cf7a,efa8dc71011d4e2be48950defc92a65de124b75a35f5e8a1d983332fb7fb14b4,30f1fb03497382b62a8410dde3209c5ca6ce0e23cb06fabe6634834388a4f970,outputs/final_test/predictions/source_seed_42_split_seed_71/A2_PROTOTYPE_BLEND_SELECTED.npz,bfd88f623c5dbe8c781dc8446338cd153c380644db80de73ef96877486198a40
