unit_id,source_seed,p4_split_seed,arm,method,class_index,precision,recall,f1,support
source_seed_42_split_seed_11,42,11,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=1,1,0.9801699716713881,0.9774011299435028,0.9787835926449788,354
source_seed_42_split_seed_11,42,11,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=1,2,0.988795518207283,0.988795518207283,0.988795518207283,357
source_seed_42_split_seed_11,42,11,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=1,3,0.969187675070028,0.9746478873239437,0.9719101123595505,355
source_seed_42_split_seed_11,42,11,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=1,4,0.9775280898876404,0.9775280898876404,0.9775280898876404,356
source_seed_42_split_seed_11,42,11,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=1,5,0.980225988700565,0.9747191011235955,0.9774647887323944,356
source_seed_42_split_seed_11,42,11,A2_FINAL_SELECTED,FROZEN_ENCODER_MULTINOMIAL_LINEAR_PROBE:C=1,6,0.9888579387186629,0.9943977591036415,0.9916201117318436,357
source_seed_42_split_seed_23,42,23,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,0,0.1619047619047619,0.288135593220339,0.20731707317073175,354
source_seed_42_split_seed_23,42,23,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,1,0.2809917355371901,0.6666666666666666,0.3953488372093023,357
source_seed_42_split_seed_23,42,23,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,2,0.0,0.0,0.0,357
source_seed_42_split_seed_23,42,23,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,3,0.07124352331606218,0.15492957746478872,0.09760425909494232,355
source_seed_42_split_seed_23,42,23,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,4,0.0,0.0,0.0,355
source_seed_42_split_seed_23,42,23,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,5,0.008403361344537815,0.0028089887640449437,0.004210526315789474,356
source_seed_42_split_seed_23,42,23,A0_MATCHED_SOURCE_ONLY_CONTROL,LEARNED_SOURCE_HEAD,6,0.3482142857142857,0.10955056179775281,0.16666666666666669,356
source_seed_42_split_seed_23,42,23,A1_MATCHED_TARGET_INFORMED_SELECTION,SOURCE_EUCLIDEAN_NCM,0,0.17647058823529413,0.211864406779661,0.1925545571245186,354
source_seed_42_split_seed_23,42,23,A1_MATCHED_TARGET_INFORMED_SELECTION,SOURCE_EUCLIDEAN_NCM,1,0.2529411764705882,0.24089635854341737,0.2467718794835007,357
source_seed_42_split_seed_23,42,23,A1_MATCHED_TARGET_INFORMED_SELECTION,SOURCE_EUCLIDEAN_NCM,2,0.0,0.0,0.0,357
source_seed_42_split_seed_23,42,23,A1_MATCHED_TARGET_INFORMED_SELECTION,SOURCE_EUCLIDEAN_NCM,3,0.08108108108108109,0.2535211267605634,0.12286689419795223,355
source_seed_42_split_seed_23,42,23,A1_MATCHED_TARGET_INFORMED_SELECTION,SOURCE_EUCLIDEAN_NCM,4,0.1572052401746725,0.10140845070422536,0.1232876712328767,355
source_seed_42_split_seed_23,42,23,A1_MATCHED_TARGET_INFORMED_SELECTION,SOURCE_EUCLIDEAN_NCM,5,0.0,0.0,0.0,356
source_seed_42_split_seed_23,42,23,A1_MATCHED_TARGET_INFORMED_SELECTION,SOURCE_EUCLIDEAN_NCM,6,0.203125,0.10955056179775281,0.14233576642335768,356
source_seed_42_split_seed_23,42,23,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,0,0.6190476190476191,0.22033898305084745,0.325,354
source_seed_42_split_seed_23,42,23,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,1,0.3373493975903614,0.23529411764705882,0.2772277227722772,357
source_seed_42_split_seed_23,42,23,A2_PROTOTYPE_BLEND_SELECTED,SOURCE_TARGET_PROTOTYPE_BLEND:alpha=1,2,0.32698961937716264,0.5294117647058824,0.4042780748663102,357
