position,metric,released_run_mean,recomputed_run_mean,released_pooled_seed_point,recomputed_pooled_seed_point,run_count,compact_confusion_total,status
P1,held_row_accuracy,0.26882539682539686,0.26882539682539686,0.2688253968253968,0.2688253968253968,15,15750,PASS_EXACT_RECONSTRUCTION
P1,held_row_macro_f1,0.19979858960905264,0.19979858960905264,0.23478662203705483,0.23478662203705483,15,15750,PASS_EXACT_RECONSTRUCTION
P1,held_block_accuracy,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,15,315,PASS_EXACT_RECONSTRUCTION
P1,held_block_macro_f1,0.19382373151280716,0.19382373151280716,0.22853822151868908,0.22853822151868908,15,315,PASS_EXACT_RECONSTRUCTION
P2,held_row_accuracy,0.1499047619047619,0.1499047619047619,0.1499047619047619,0.1499047619047619,15,15750,PASS_EXACT_RECONSTRUCTION
P2,held_row_macro_f1,0.08846432042745249,0.08846432042745249,0.11937004990978947,0.11937004990978947,15,15750,PASS_EXACT_RECONSTRUCTION
P2,held_block_accuracy,0.1492063492063492,0.1492063492063492,0.1492063492063492,0.1492063492063492,15,315,PASS_EXACT_RECONSTRUCTION
P2,held_block_macro_f1,0.08743673226866504,0.08743673226866504,0.11878469239969942,0.11878469239969942,15,315,PASS_EXACT_RECONSTRUCTION
P3,held_row_accuracy,0.23885714285714285,0.23885714285714285,0.23885714285714288,0.23885714285714288,15,15750,PASS_EXACT_RECONSTRUCTION
P3,held_row_macro_f1,0.16965913210977543,0.16965913210977543,0.21643691798237635,0.21643691798237635,15,15750,PASS_EXACT_RECONSTRUCTION
P3,held_block_accuracy,0.24444444444444444,0.24444444444444444,0.2444444444444444,0.2444444444444444,15,315,PASS_EXACT_RECONSTRUCTION
P3,held_block_macro_f1,0.17316282297485305,0.17316282297485305,0.2206960532157271,0.2206960532157271,15,315,PASS_EXACT_RECONSTRUCTION
P4,held_row_accuracy,0.1711111111111111,0.1711111111111111,0.1711111111111111,0.1711111111111111,15,15750,PASS_EXACT_RECONSTRUCTION
P4,held_row_macro_f1,0.08611314924531306,0.08611314924531306,0.13218951738092416,0.13218951738092416,15,15750,PASS_EXACT_RECONSTRUCTION
P4,held_block_accuracy,0.1714285714285714,0.1714285714285714,0.17142857142857143,0.17142857142857143,15,315,PASS_EXACT_RECONSTRUCTION
P4,held_block_macro_f1,0.0862659534839986,0.0862659534839986,0.13211406493569683,0.13211406493569683,15,315,PASS_EXACT_RECONSTRUCTION
