record_type,group,endpoint,contrast,estimate,position,variance,role
fold_consistency,3,row_accuracy_descriptive,angle_45_minus_0,-0.14399999999999996,,,secondary_descriptive
fold_consistency,3,row_accuracy_descriptive,distance_150_minus_50,-0.01504761904761906,,,secondary_descriptive
fold_consistency,3,row_accuracy_descriptive,angle_by_distance_interaction,0.1706666666666667,,,secondary_descriptive
run_level_variance,15_runs,held_block_accuracy,,0.32380952380952377,P1,0.004595616024187453,secondary_descriptive
run_level_variance,15_runs,held_row_accuracy,,0.3204444444444444,P1,0.004147285462333081,secondary_descriptive
run_level_variance,15_runs,selected_epoch,,12.666666666666666,P1,58.08888888888889,secondary_descriptive
run_level_variance,15_runs,held_block_accuracy,,0.15555555555555553,P2,0.005885613504661123,secondary_descriptive
run_level_variance,15_runs,held_row_accuracy,,0.15587301587301589,P2,0.005672763920382968,secondary_descriptive
run_level_variance,15_runs,selected_epoch,,9.133333333333333,P2,36.91555555555556,secondary_descriptive
run_level_variance,15_runs,held_block_accuracy,,0.21587301587301588,P3,0.0032854623330813805,secondary_descriptive
run_level_variance,15_runs,held_row_accuracy,,0.2140952380952381,P3,0.0034201300075585783,secondary_descriptive
run_level_variance,15_runs,selected_epoch,,13.8,P3,54.82666666666667,secondary_descriptive
run_level_variance,15_runs,held_block_accuracy,,0.16190476190476188,P4,0.0050793650793650785,secondary_descriptive
run_level_variance,15_runs,held_row_accuracy,,0.15733333333333333,P4,0.004461762660619804,secondary_descriptive
run_level_variance,15_runs,selected_epoch,,10.666666666666666,P4,58.62222222222222,secondary_descriptive
overall_secondary_factor_contrast,all_runs,train_to_held_accuracy_gap,angle_45_minus_0,-0.030873015873015913,,,secondary_descriptive
overall_secondary_factor_contrast,all_runs,train_to_held_accuracy_gap,distance_150_minus_50,0.02334920634920637,,,secondary_descriptive
overall_secondary_factor_contrast,all_runs,train_to_held_accuracy_gap,angle_by_distance_interaction,-0.11812698412698414,,,secondary_descriptive
overall_secondary_factor_contrast,all_runs,validation_to_held_accuracy_gap,angle_45_minus_0,0.032190476190476186,,,secondary_descriptive
overall_secondary_factor_contrast,all_runs,validation_to_held_accuracy_gap,distance_150_minus_50,0.021682539682539685,,,secondary_descriptive
overall_secondary_factor_contrast,all_runs,validation_to_held_accuracy_gap,angle_by_distance_interaction,0.005523809523809545,,,secondary_descriptive
overall_secondary_factor_contrast,all_runs,selected_epoch,angle_45_minus_0,-3.333333333333334,,,secondary_descriptive
overall_secondary_factor_contrast,all_runs,selected_epoch,distance_150_minus_50,1.333333333333334,,,secondary_descriptive
overall_secondary_factor_contrast,all_runs,selected_epoch,angle_by_distance_interaction,0.3999999999999986,,,secondary_descriptive
