evaluation_level,metric,TagID,contrast,P1,P2,P3,P4,estimate,role
condition_block_pooled_within_seed,recall,1,angle_45_minus_0,0.2444444444444444,0.13333333333333333,0.37777777777777777,0.15555555555555553,-0.16666666666666666,secondary_exploratory
condition_block_pooled_within_seed,recall,1,distance_150_minus_50,0.2444444444444444,0.13333333333333333,0.37777777777777777,0.15555555555555553,0.07777777777777778,secondary_exploratory
condition_block_pooled_within_seed,recall,1,angle_by_distance_interaction,0.2444444444444444,0.13333333333333333,0.37777777777777777,0.15555555555555553,-0.11111111111111116,secondary_exploratory
condition_block_pooled_within_seed,recall,2,angle_45_minus_0,0.11111111111111112,0.17777777777777776,0.04444444444444444,0.15555555555555553,0.08888888888888886,secondary_exploratory
condition_block_pooled_within_seed,recall,2,distance_150_minus_50,0.11111111111111112,0.17777777777777776,0.04444444444444444,0.15555555555555553,-0.04444444444444445,secondary_exploratory
condition_block_pooled_within_seed,recall,2,angle_by_distance_interaction,0.11111111111111112,0.17777777777777776,0.04444444444444444,0.15555555555555553,0.04444444444444445,secondary_exploratory
condition_block_pooled_within_seed,recall,3,angle_45_minus_0,0.3111111111111111,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.07777777777777778,secondary_exploratory
condition_block_pooled_within_seed,recall,3,distance_150_minus_50,0.3111111111111111,0.26666666666666666,0.06666666666666667,0.26666666666666666,-0.12222222222222223,secondary_exploratory
condition_block_pooled_within_seed,recall,3,angle_by_distance_interaction,0.3111111111111111,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.24444444444444446,secondary_exploratory
condition_block_pooled_within_seed,recall,4,angle_45_minus_0,0.5777777777777777,0.31111111111111106,0.26666666666666666,0.08888888888888888,-0.2222222222222222,secondary_exploratory
condition_block_pooled_within_seed,recall,4,distance_150_minus_50,0.5777777777777777,0.31111111111111106,0.26666666666666666,0.08888888888888888,-0.2666666666666666,secondary_exploratory
condition_block_pooled_within_seed,recall,4,angle_by_distance_interaction,0.5777777777777777,0.31111111111111106,0.26666666666666666,0.08888888888888888,0.08888888888888888,secondary_exploratory
condition_block_pooled_within_seed,recall,5,angle_45_minus_0,0.22222222222222224,0.04444444444444444,0.3333333333333333,0.15555555555555553,-0.1777777777777778,secondary_exploratory
condition_block_pooled_within_seed,recall,5,distance_150_minus_50,0.22222222222222224,0.04444444444444444,0.3333333333333333,0.15555555555555553,0.11111111111111108,secondary_exploratory
condition_block_pooled_within_seed,recall,5,angle_by_distance_interaction,0.22222222222222224,0.04444444444444444,0.3333333333333333,0.15555555555555553,2.7755575615628914e-17,secondary_exploratory
condition_block_pooled_within_seed,recall,6,angle_45_minus_0,0.2444444444444444,0.0,0.3333333333333333,0.13333333333333333,-0.2222222222222222,secondary_exploratory
condition_block_pooled_within_seed,recall,6,distance_150_minus_50,0.2444444444444444,0.0,0.3333333333333333,0.13333333333333333,0.11111111111111112,secondary_exploratory
condition_block_pooled_within_seed,recall,6,angle_by_distance_interaction,0.2444444444444444,0.0,0.3333333333333333,0.13333333333333333,0.044444444444444425,secondary_exploratory
condition_block_pooled_within_seed,recall,7,angle_45_minus_0,0.5555555555555556,0.15555555555555553,0.08888888888888888,0.17777777777777776,-0.15555555555555556,secondary_exploratory
condition_block_pooled_within_seed,recall,7,distance_150_minus_50,0.5555555555555556,0.15555555555555553,0.08888888888888888,0.17777777777777776,-0.2222222222222222,secondary_exploratory
condition_block_pooled_within_seed,recall,7,angle_by_distance_interaction,0.5555555555555556,0.15555555555555553,0.08888888888888888,0.17777777777777776,0.48888888888888893,secondary_exploratory
condition_block_pooled_within_seed,f1,1,angle_45_minus_0,0.27546620046620046,0.11920736464347012,0.3014603174603175,0.1358674463937622,-0.16092585344464283,secondary_exploratory
condition_block_pooled_within_seed,f1,1,distance_150_minus_50,0.27546620046620046,0.11920736464347012,0.3014603174603175,0.1358674463937622,0.021327099372204547,secondary_exploratory
condition_block_pooled_within_seed,f1,1,angle_by_distance_interaction,0.27546620046620046,0.11920736464347012,0.3014603174603175,0.1358674463937622,-0.00933403524382495,secondary_exploratory
condition_block_pooled_within_seed,f1,2,angle_45_minus_0,0.11008912655971478,0.1549090909090909,0.03636363636363636,0.1310392931876308,0.06974781058668528,secondary_exploratory
condition_block_pooled_within_seed,f1,2,distance_150_minus_50,0.11008912655971478,0.1549090909090909,0.03636363636363636,0.1310392931876308,-0.04879764395876927,secondary_exploratory
condition_block_pooled_within_seed,f1,2,angle_by_distance_interaction,0.11008912655971478,0.1549090909090909,0.03636363636363636,0.1310392931876308,0.04985569247461831,secondary_exploratory
condition_block_pooled_within_seed,f1,3,angle_45_minus_0,0.2942857142857143,0.27581634052222287,0.07591036414565826,0.21423054070112896,0.05992540139598962,secondary_exploratory
condition_block_pooled_within_seed,f1,3,distance_150_minus_50,0.2942857142857143,0.27581634052222287,0.07591036414565826,0.21423054070112896,-0.13998057498057498,secondary_exploratory
condition_block_pooled_within_seed,f1,3,angle_by_distance_interaction,0.2942857142857143,0.27581634052222287,0.07591036414565826,0.21423054070112896,0.15678955031896213,secondary_exploratory
condition_block_pooled_within_seed,f1,4,angle_45_minus_0,0.526218487394958,0.20843956043956044,0.3181818181818182,0.11487179487179486,-0.26054447513271045,secondary_exploratory
condition_block_pooled_within_seed,f1,4,distance_150_minus_50,0.526218487394958,0.20843956043956044,0.3181818181818182,0.11487179487179486,-0.15080221739045271,secondary_exploratory
condition_block_pooled_within_seed,f1,4,angle_by_distance_interaction,0.526218487394958,0.20843956043956044,0.3181818181818182,0.11487179487179486,0.11446890364537424,secondary_exploratory
condition_block_pooled_within_seed,f1,5,angle_45_minus_0,0.20336182336182337,0.038181818181818185,0.2281904761904762,0.11738927738927737,-0.137990601990602,secondary_exploratory
condition_block_pooled_within_seed,f1,5,distance_150_minus_50,0.20336182336182337,0.038181818181818185,0.2281904761904762,0.11738927738927737,0.05201805601805601,secondary_exploratory
condition_block_pooled_within_seed,f1,5,angle_by_distance_interaction,0.20336182336182337,0.038181818181818185,0.2281904761904762,0.11738927738927737,0.05437880637880638,secondary_exploratory
condition_block_pooled_within_seed,f1,6,angle_45_minus_0,0.22883838383838384,0.0,0.242214790040877,0.1020952380952381,-0.18447896789201138,secondary_exploratory
condition_block_pooled_within_seed,f1,6,distance_150_minus_50,0.22883838383838384,0.0,0.242214790040877,0.1020952380952381,0.057735822148865634,secondary_exploratory
condition_block_pooled_within_seed,f1,6,angle_by_distance_interaction,0.22883838383838384,0.0,0.242214790040877,0.1020952380952381,0.08871883189274493,secondary_exploratory
condition_block_pooled_within_seed,f1,7,angle_45_minus_0,0.43735212156264786,0.10682561944834035,0.09705882352941177,0.12549707602339183,-0.15104412481016372,secondary_exploratory
condition_block_pooled_within_seed,f1,7,distance_150_minus_50,0.43735212156264786,0.10682561944834035,0.09705882352941177,0.12549707602339183,-0.1608109207290923,secondary_exploratory
condition_block_pooled_within_seed,f1,7,angle_by_distance_interaction,0.43735212156264786,0.10682561944834035,0.09705882352941177,0.12549707602339183,0.3589647546082876,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,1,angle_45_minus_0,0.09841269841269841,0.10158730158730159,0.2,0.13015873015873014,-0.03333333333333335,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,1,distance_150_minus_50,0.09841269841269841,0.10158730158730159,0.2,0.13015873015873014,0.06507936507936507,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,1,angle_by_distance_interaction,0.09841269841269841,0.10158730158730159,0.2,0.13015873015873014,-0.07301587301587305,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,2,angle_45_minus_0,0.10793650793650793,0.15873015873015872,0.07619047619047618,0.11428571428571428,0.044444444444444446,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,2,distance_150_minus_50,0.10793650793650793,0.15873015873015872,0.07619047619047618,0.11428571428571428,-0.03809523809523809,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,2,angle_by_distance_interaction,0.10793650793650793,0.15873015873015872,0.07619047619047618,0.11428571428571428,-0.012698412698412695,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,3,angle_45_minus_0,0.13015873015873014,0.13968253968253969,0.09841269841269841,0.15238095238095237,0.03174603174603175,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,3,distance_150_minus_50,0.13015873015873014,0.13968253968253969,0.09841269841269841,0.15238095238095237,-0.009523809523809525,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,3,angle_by_distance_interaction,0.13015873015873014,0.13968253968253969,0.09841269841269841,0.15238095238095237,0.04444444444444441,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,4,angle_45_minus_0,0.16825396825396824,0.24126984126984125,0.07619047619047618,0.05714285714285714,0.026984126984126982,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,4,distance_150_minus_50,0.16825396825396824,0.24126984126984125,0.07619047619047618,0.05714285714285714,-0.13809523809523808,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,4,angle_by_distance_interaction,0.16825396825396824,0.24126984126984125,0.07619047619047618,0.05714285714285714,-0.09206349206349204,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,5,angle_45_minus_0,0.12698412698412698,0.13333333333333333,0.27301587301587305,0.14285714285714285,-0.06190476190476192,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,5,distance_150_minus_50,0.12698412698412698,0.13333333333333333,0.27301587301587305,0.14285714285714285,0.07777777777777779,secondary_exploratory
condition_block_pooled_within_seed,predicted_class_fraction,5,angle_by_distance_interaction,0.12698412698412698,0.13333333333333333,0.27301587301587305,0.14285714285714285,-0.13650793650793655,secondary_exploratory
