position,distance_mm,angle_degrees,metric,estimand,value,unit_count,seed_count,inferential_role
P3,150,0,selected_epoch,descriptive_mean_across_15_runs,13.8,15,5,descriptive
P3,150,0,held_block_accuracy_run_variance,descriptive_population_variance_across_15_runs,0.0032854623330813805,15,5,descriptive
P3,150,0,descriptive_predicted_TagID_1_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.18501587301587302,15750,5,secondary_descriptive
P3,150,0,descriptive_predicted_TagID_2_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.07358730158730159,15750,5,secondary_descriptive
P3,150,0,descriptive_predicted_TagID_3_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.10228571428571429,15750,5,secondary_descriptive
P3,150,0,descriptive_predicted_TagID_4_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.08234920634920635,15750,5,secondary_descriptive
P3,150,0,descriptive_predicted_TagID_5_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.28374603174603175,15750,5,secondary_descriptive
P3,150,0,descriptive_predicted_TagID_6_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.2012063492063492,15750,5,secondary_descriptive
P3,150,0,descriptive_predicted_TagID_7_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.07180952380952381,15750,5,secondary_descriptive
P4,150,45,condition_block_accuracy,mean_of_five_seed_specific_metrics_pooled_over_63_blocks,0.1619047619047619,63,5,primary
P4,150,45,pooled_condition_block_macro_f1,mean_of_five_seed_specific_metrics_pooled_over_63_blocks,0.13442723809460344,63,5,secondary
P4,150,45,descriptive_15_run_row_accuracy,descriptive_mean_across_15_runs,0.15733333333333333,15,5,descriptive
P4,150,45,descriptive_15_run_row_macro_f1,descriptive_mean_across_15_runs,0.09316671404781489,15,5,descriptive
P4,150,45,descriptive_15_run_block_macro_f1,descriptive_mean_across_15_runs,0.09614121328407044,15,5,descriptive
P4,150,45,training_accuracy,descriptive_mean_across_15_runs,0.6465396825396825,15,5,descriptive
P4,150,45,validation_accuracy,descriptive_mean_across_15_runs,0.21942857142857142,15,5,descriptive
P4,150,45,train_to_held_accuracy_gap,descriptive_mean_across_15_runs,0.4892063492063492,15,5,descriptive
P4,150,45,validation_to_held_accuracy_gap,descriptive_mean_across_15_runs,0.0620952380952381,15,5,descriptive
P4,150,45,selected_epoch,descriptive_mean_across_15_runs,10.666666666666666,15,5,descriptive
P4,150,45,held_block_accuracy_run_variance,descriptive_population_variance_across_15_runs,0.0050793650793650785,15,5,descriptive
P4,150,45,descriptive_predicted_TagID_1_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.12977777777777777,15750,5,secondary_descriptive
P4,150,45,descriptive_predicted_TagID_2_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.11371428571428571,15750,5,secondary_descriptive
P4,150,45,descriptive_predicted_TagID_3_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.15231746031746032,15750,5,secondary_descriptive
P4,150,45,descriptive_predicted_TagID_4_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.06234920634920635,15750,5,secondary_descriptive
P4,150,45,descriptive_predicted_TagID_5_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.13974603174603176,15750,5,secondary_descriptive
P4,150,45,descriptive_predicted_TagID_6_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.18044444444444444,15750,5,secondary_descriptive
P4,150,45,descriptive_predicted_TagID_7_fraction,descriptive_fraction_across_15_held_row_prediction_sets,0.22165079365079365,15750,5,secondary_descriptive
