split_type,held_out_domain,mean_test_accuracy,std_test_accuracy,min_test_accuracy,max_test_accuracy,seeds,selected_dropouts,max_zero_recall_count,max_missing_predicted_count
leave_position,P1,0.9461111111111111,0.007953132390122413,0.9370833333333334,0.9520833333333333,"42,43,44","0.0,0.3,0.0",0,0
leave_position,P2,0.7393055555555555,0.01339395939026801,0.7295833333333334,0.7545833333333334,"42,43,44","0.0,0.3,0.3",0,0
leave_position,P3,0.8576388888888888,0.034375210437066296,0.8233333333333334,0.8920833333333333,"42,43,44","0.0,0.3,0.3",0,0
leave_position,P4,0.7534722222222222,0.023754872794470677,0.72625,0.77,"42,43,44","0.3,0.3,0.0",0,0
leave_surface,BEND1,0.9701388888888888,0.004241941570441174,0.9671875,0.975,"42,43,44","0.3,0.3,0.3",0,0
leave_surface,BEND2,0.5616319444444443,0.03248152074356762,0.5369791666666667,0.5984375,"42,43,44","0.0,0.0,0.3",0,0
leave_surface,CYLINDER_BIG,0.9463541666666666,0.004968433340713232,0.9432291666666667,0.9520833333333333,"42,43,44","0.3,0.3,0.3",0,0
leave_surface,CYLINDER_SMALL,0.6748263888888889,0.021976039798641614,0.6572916666666667,0.6994791666666667,"42,43,44","0.3,0.3,0.3",1,1
leave_surface,PLANAR,0.9197916666666667,0.016852801757670257,0.9078125,0.9390625,"42,43,44","0.3,0.0,0.3",0,0
