run_id,arm,lambda_max,fold,seed,familiar_validation_accuracy,familiar_validation_macro_f1,position_probe_macro_f1,tagid_probe_macro_f1,outer_held_lopo_accuracy,outer_held_lopo_macro_f1,outer_held_lopo_chance_reference,domain_train_accuracy,domain_validation_accuracy,selected_checkpoint_epoch,selected_mean_lambda,selected_maximum_realised_lambda,selected_cumulative_domain_gradient_coefficient
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S42,ARM_A0_ERM_MATCHED,0.0,S1,42,0.2757142857142857,0.2641146965205286,0.9474592074592074,0.23999730428301858,0.1895238095238095,0.13381828384221048,0.14285714285714285,,,15,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S43,ARM_A0_ERM_MATCHED,0.0,S1,43,0.25333333333333335,0.2151758000462402,0.9522727272727274,0.24591345162773734,0.23555555555555555,0.15728439429887123,0.14285714285714285,,,5,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S44,ARM_A0_ERM_MATCHED,0.0,S1,44,0.2571428571428571,0.25625735317667975,0.9474592074592074,0.2274626960341246,0.23587301587301587,0.18162376824765086,0.14285714285714285,,,14,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S45,ARM_A0_ERM_MATCHED,0.0,S1,45,0.23238095238095238,0.1823659044152936,0.9095157064527456,0.20673358387644103,0.25333333333333335,0.21375998363179424,0.14285714285714285,,,2,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S1-S46,ARM_A0_ERM_MATCHED,0.0,S1,46,0.2842857142857143,0.28401382042693013,0.9142695081435864,0.22121592693021266,0.17238095238095238,0.08435791878514964,0.14285714285714285,,,2,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S42,ARM_A0_ERM_MATCHED,0.0,S2,42,0.2819047619047619,0.2655039971715567,0.9761769710720362,0.24055278055278057,0.14317460317460318,0.14064688296914235,0.14285714285714285,,,6,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S43,ARM_A0_ERM_MATCHED,0.0,S2,43,0.2742857142857143,0.26861572507262654,0.9761769710720362,0.18861179903196706,0.18761904761904763,0.1857109693557413,0.14285714285714285,,,14,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S44,ARM_A0_ERM_MATCHED,0.0,S2,44,0.28285714285714286,0.2616302106711263,0.9380276388387563,0.21777175205746632,0.18095238095238095,0.1458115796475963,0.14285714285714285,,,8,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S45,ARM_A0_ERM_MATCHED,0.0,S2,45,0.3038095238095238,0.30616589545743295,1.0,0.2645052799674648,0.17555555555555555,0.1324698058951615,0.14285714285714285,,,14,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S2-S46,ARM_A0_ERM_MATCHED,0.0,S2,46,0.31666666666666665,0.2938512971065857,0.9666152735523127,0.2642619285476428,0.1438095238095238,0.09212195536016379,0.14285714285714285,,,7,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S42,ARM_A0_ERM_MATCHED,0.0,S3,42,0.31,0.29353119988645837,0.8230134583837122,0.17780505209076639,0.19142857142857142,0.1271608190705297,0.14285714285714285,,,6,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S43,ARM_A0_ERM_MATCHED,0.0,S3,43,0.2619047619047619,0.2426572959344238,0.8281706810237723,0.217827886399315,0.20126984126984127,0.1110040677739598,0.14285714285714285,,,11,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S44,ARM_A0_ERM_MATCHED,0.0,S3,44,0.31238095238095237,0.2284929887919334,0.8421698969108601,0.2481921253349825,0.24761904761904763,0.132048490703535,0.14285714285714285,,,3,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S45,ARM_A0_ERM_MATCHED,0.0,S3,45,0.31142857142857144,0.27094441907323963,0.8263059203124445,0.2752397602397602,0.2253968253968254,0.12028626062018367,0.14285714285714285,,,2,0.0,0.0,0.0
DANNV2-DEV-ARM_A0_ERM_MATCHED-L0.00-S3-S46,ARM_A0_ERM_MATCHED,0.0,S3,46,0.2642857142857143,0.26894650085385263,0.8393253968253969,0.28037281579298384,0.21079365079365078,0.18371943513169325,0.14285714285714285,,,7,0.0,0.0,0.0
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,42,0.29,0.274995344334658,0.9522727272727274,0.24342340199483056,0.22,0.158893339972962,0.14285714285714285,0.9997619047619047,0.9523809523809523,13,0.0052036902026811535,0.008605970258486906,1.150015534792535
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,43,0.28,0.23188300518557042,0.9522727272727274,0.24591345162773734,0.23555555555555555,0.17370281023412285,0.14285714285714285,0.9366666666666666,0.950952380952381,5,0.0023776803574793843,0.0045793851039806375,0.20210283038574767
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,44,0.28,0.27122830030714845,0.9282867132867134,0.23333729762301186,0.19015873015873017,0.13284140155494542,0.14285714285714285,0.8952380952380953,0.8828571428571429,12,0.0049309378497117235,0.008322842780786528,1.0059113213411917
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,45,0.23523809523809525,0.23145048030678708,0.9522727272727274,0.19555333555333554,0.19047619047619047,0.13321398924365208,0.14285714285714285,0.9997619047619047,0.9271428571428572,13,0.0052036902026811535,0.008605970258486906,1.150015534792535
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S1,46,0.26857142857142857,0.26160779353740665,0.9142695081435864,0.23258455829884403,0.1726984126984127,0.08317032567868766,0.14285714285714285,0.6669047619047619,0.6176190476190476,2,0.0009654935658953101,0.0019193584969961041,0.03282678124044054
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,42,0.32476190476190475,0.31012162426740425,0.9761769710720362,0.2115784215784216,0.19111111111111112,0.14050814733879388,0.14285714285714285,0.964047619047619,0.9280952380952381,8,0.0036135106021762354,0.006612620339895195,0.491437441895968
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,43,0.25857142857142856,0.24249642323956483,0.9761769710720362,0.18923783965800772,0.2841269841269841,0.23350471296838357,0.14285714285714285,0.9997619047619047,0.9523809523809523,13,0.0052036902026811535,0.008605970258486906,1.150015534792535
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,44,0.24047619047619048,0.24466145308561374,0.9332792760274327,0.24720818863676008,0.17365079365079364,0.155420008188101,0.14285714285714285,0.9995238095238095,0.9285714285714286,16,0.005904458491147353,0.009210635069002786,1.60601270959208
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,45,0.2557142857142857,0.25640230103139816,1.0,0.25485544334283833,0.18857142857142858,0.1745697180128062,0.14285714285714285,0.9759523809523809,0.9528571428571428,10,0.004319236709538664,0.007596083675561061,0.7342702406215728
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S2,46,0.2342857142857143,0.25242459776494286,0.9761769710720362,0.26352504638218927,0.14476190476190476,0.09795965511019884,0.14285714285714285,0.9278571428571428,0.9047619047619048,6,0.002812208810162803,0.005333515073655941,0.2868452986366059
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,42,0.28523809523809524,0.27215664966829756,0.8617939094371312,0.1845532711919267,0.19777777777777777,0.1392549022044565,0.14285714285714285,0.8942857142857142,0.81,11,0.0046364770352779845,0.007988429021381627,0.867021205596983
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,43,0.2619047619047619,0.23661390156011985,0.8523620452151365,0.2658547801404944,0.15873015873015872,0.07190164645462414,0.14285714285714285,0.8130952380952381,0.7828571428571428,4,0.0019230392427556544,0.003753034745708437,0.1307666685073845
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,44,0.26476190476190475,0.21622379910417225,0.8761634659535964,0.18692816520547612,0.18317460317460318,0.12061421883955312,0.14285714285714285,0.8680952380952381,0.8033333333333333,6,0.002812208810162803,0.005333515073655941,0.2868452986366059
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,45,0.2857142857142857,0.29082892999109466,0.8426271875222527,0.2568693024995546,0.15142857142857144,0.09288936457647111,0.14285714285714285,0.9433333333333334,0.7852380952380953,10,0.004319236709538664,0.007596083675561061,0.7342702406215728
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,46,0.31238095238095237,0.29542548634824245,0.8322805522099423,0.22778856064570346,0.18063492063492065,0.14711279213544154,0.14285714285714285,0.9623809523809523,0.8338095238095238,18,0.006287184968836638,0.009464142907573508,1.9238786004640112
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,42,0.28523809523809524,0.26667864188143425,0.9523809523809523,0.2947110032824319,0.22,0.15134729087543355,0.14285714285714285,0.8983333333333333,0.9461904761904761,4,0.005769117728266963,0.01125910423712531,0.3923000055221535
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,43,0.19904761904761906,0.21210826824925494,0.9522727272727274,0.20491920777635064,0.20476190476190476,0.14445862266110046,0.14285714285714285,0.9545238095238096,0.9523809523809523,7,0.009673741526504978,0.018034293489624275,1.1511752416540924
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,44,0.2876190476190476,0.271074855537292,0.9234731934731937,0.2502813059955917,0.20507936507936508,0.14850384605593456,0.14285714285714285,1.0,0.8809523809523809,12,0.014792813549135172,0.024968528342359582,3.017733964023575
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,45,0.22142857142857142,0.24925600345657845,0.9522727272727274,0.23633382490525348,0.20539682539682538,0.14864183114232024,0.14285714285714285,0.9542857142857143,0.9271428571428572,8,0.010840531806528705,0.01983786101968558,1.4743123256879038
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,46,0.30666666666666664,0.30587719401222035,0.9142478999540826,0.22585018156446726,0.17238095238095238,0.08435791878514964,0.14285714285714285,0.7271428571428571,0.5952380952380952,2,0.0028964806976859298,0.005758075490988312,0.09848034372132161
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,42,0.3323809523809524,0.3097675990185402,0.9761769710720362,0.2366709480995195,0.2365079365079365,0.2071539665985778,0.14285714285714285,0.9880952380952381,0.9757142857142858,7,0.009673741526504978,0.018034293489624275,1.1511752416540924
