contrast,seed,p4_block_macro_f1,p4_block_accuracy,p4_row_macro_f1,p4_row_accuracy
A2-A0,42,0.04188034188034187,0.031746031746031744,0.04326974036517975,0.03142857142857142
A2-A0,43,0.029819491285656696,0.031746031746031744,0.0322020073092148,0.03365079365079365
A2-A0,44,-0.014852641500119154,-0.015873015873015872,-0.008628509078918808,-0.00888888888888889
A2-A0,45,-0.037582162954556214,-0.015873015873015872,-0.034194845454817185,-0.00888888888888889
A2-A0,46,0.06091998202789888,0.0,0.060895203464755084,0.0
A2-A1,42,0.06103800494556795,0.07936507936507936,0.06047198310369843,0.07365079365079366
A2-A1,43,0.030536769176847625,0.031746031746031744,0.030589350222270356,0.03142857142857143
A2-A1,44,-0.03278329067802753,0.0,-0.03432157563174845,-0.0028571428571428636
A2-A1,45,0.014183959245002514,0.047619047619047616,0.012682044002528592,0.04634920634920635
A2-A1,46,-0.01087647548284433,-0.015873015873015872,-0.013475420818689868,-0.0165079365079365
A1-A0,42,-0.01915766306522608,-0.047619047619047616,-0.017202242738518683,-0.042222222222222244
A1-A0,43,-0.0007172778911909289,0.0,0.0016126570869444412,0.0022222222222222227
A1-A0,44,0.017930649177908375,-0.015873015873015872,0.025693066552829644,-0.006031746031746027
A1-A0,45,-0.05176612219955873,-0.06349206349206349,-0.04687688945734578,-0.05523809523809524
A1-A0,46,0.0717964575107432,0.015873015873015872,0.07437062428344496,0.0165079365079365
