run_id,arm,lambda_max,fold,seed,accuracy,macro_f1,scope
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,44,0.26476190476190475,0.21622379910417225,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,45,0.2857142857142857,0.29082892999109466,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,46,0.31238095238095237,0.29542548634824245,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,42,0.28523809523809524,0.26667864188143425,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,43,0.19904761904761906,0.21210826824925494,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,44,0.2876190476190476,0.271074855537292,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,45,0.22142857142857142,0.24925600345657845,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,46,0.30666666666666664,0.30587719401222035,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,42,0.3323809523809524,0.3097675990185402,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,43,0.30904761904761907,0.2901032534459435,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,44,0.26571428571428574,0.260198709101975,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,45,0.27380952380952384,0.27778423760407017,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,46,0.2833333333333333,0.2733616646107846,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S3,42,0.31,0.29860407052992255,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S3,43,0.2842857142857143,0.25763278942824497,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S3,44,0.2642857142857143,0.24519130396759206,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S3,45,0.310952380952381,0.2798511753075372,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S3,46,0.2857142857142857,0.2484752109398471,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S1,42,0.27095238095238094,0.2584308964784078,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S1,43,0.23523809523809525,0.23620244587557312,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S1,44,0.2561904761904762,0.25470464858477343,FAMILIAR_SOURCE_INNER_VALIDATION
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S1,45,0.2561904761904762,0.21267355679518898,FAMILIAR_SOURCE_INNER_VALIDATION
