scope,arm,seed,lambda_max,epochs,accuracy,macro_f1,worst_position_macro_f1,position_probe_macro_f1,tagid_probe_macro_f1,domain_head_accuracy,mean_lambda,maximum_realised_lambda,cumulative_domain_gradient_coefficient,not_held_source_dg
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A0_ERM_MATCHED,42,0.0,11,0.9665608465608465,0.9666524372703902,0.9486752486005646,0.8305930056582355,1.0,,0.0,0.0,0.0,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A0_ERM_MATCHED,43,0.0,14,0.9911111111111112,0.9911187551558268,0.9863735087156381,0.8450479595403022,1.0,,0.0,0.0,0.0,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A0_ERM_MATCHED,44,0.0,8,0.9817989417989418,0.9819040036109571,0.9742374706704161,0.8894964414590053,1.0,,0.0,0.0,0.0,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A0_ERM_MATCHED,45,0.0,8,0.9051851851851852,0.9013175514740395,0.881303205209577,0.9199822632777822,0.984077841662981,,0.0,0.0,0.0,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A0_ERM_MATCHED,46,0.0,6,0.4180952380952381,0.4299539793193385,0.29123686571617263,0.9301305200782377,0.9686068111455111,,0.0,0.0,0.0,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A1_DOMAIN_POSITIVE_MATCHED,42,0.1,11,0.9920634920634921,0.9920686793501561,0.988280203059138,0.9590306844475874,1.0,0.993968253968254,0.046459365301367336,0.07997400967335183,18.908961677656507,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A1_DOMAIN_POSITIVE_MATCHED,43,0.1,14,0.9921693121693121,0.992171040076111,0.9895127204782213,0.9681818181818181,1.0,0.9602116402116402,0.05463889939196379,0.08849300735467383,28.302949885037243,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A1_DOMAIN_POSITIVE_MATCHED,44,0.1,8,0.9383068783068783,0.9352015924270151,0.9223338647688247,0.980946978905005,1.0,0.9884656084656085,0.0362482071314558,0.0662764961356489,10.729469310910918,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A1_DOMAIN_POSITIVE_MATCHED,45,0.1,8,0.8735449735449735,0.8771390132249534,0.8571970334620692,0.974667999171686,0.984077841662981,0.9621164021164021,0.0362482071314558,0.0662764961356489,10.729469310910918,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A1_DOMAIN_POSITIVE_MATCHED,46,0.1,6,0.836931216931217,0.834031871253084,0.717839026441449,0.8871219746829502,0.9772888102609466,0.9228571428571428,0.02824855116376675,0.05353540869071763,6.271178358356218,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A2_DANN_NEGATIVE_MATCHED,42,0.1,11,0.9895238095238095,0.9895201636695429,0.9806192933738885,0.8281255795946663,1.0,0.5006349206349207,0.046459365301367336,0.07997400967335183,18.908961677656507,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A2_DANN_NEGATIVE_MATCHED,43,0.1,14,0.9928042328042328,0.9928048130923941,0.9898354190788714,0.850205030513689,1.0,0.386984126984127,0.05463889939196379,0.08849300735467383,28.302949885037243,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A2_DANN_NEGATIVE_MATCHED,44,0.1,8,0.9352380952380952,0.9354645149871365,0.910992544691197,0.8732935709906784,0.987262273330385,0.3333333333333333,0.0362482071314558,0.0662764961356489,10.729469310910918,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A2_DANN_NEGATIVE_MATCHED,45,0.1,8,0.8964021164021164,0.8962478524952144,0.8642746494948603,0.9169303900175063,0.984077841662981,0.3333333333333333,0.0362482071314558,0.0662764961356489,10.729469310910918,True
FAMILIAR_SOURCE_RESUBSTITUTION_DIAGNOSTIC,ARM_A2_DANN_NEGATIVE_MATCHED,46,0.1,6,0.8742857142857143,0.8704504971230448,0.8191325470056482,0.8577369404631288,0.9460769570986288,0.47513227513227513,0.02824855116376675,0.05353540869071763,6.271178358356218,True
