reference,endpoint,mean,lower_95,upper_95,analytic_chance,replicates,seed
UNIFORM_RANDOM_FIXED_SEVEN_CLASS_BLOCK,Accuracy,0.1428174603174603,0.06349206349206349,0.23809523809523808,0.14285714285714285,10000,20260810
UNIFORM_RANDOM_FIXED_SEVEN_CLASS_BLOCK,Macro-F1,0.1392349500155792,0.05905520102777954,0.22994031655030778,DESCRIPTIVE_SIMULATION,10000,20260810
