run_id,arm,lambda_max,fold,seed,held_position,outer_held_lopo_accuracy,outer_held_lopo_macro_f1,seven_class_chance_reference,selection_use
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,43,P3,0.15873015873015872,0.07190164645462414,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,44,P3,0.18317460317460318,0.12061421883955312,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,45,P3,0.15142857142857144,0.09288936457647111,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.01-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.01,S3,46,P3,0.18063492063492065,0.14711279213544154,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,42,P1,0.22,0.15134729087543355,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,43,P1,0.20476190476190476,0.14445862266110046,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,44,P1,0.20507936507936508,0.14850384605593456,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,45,P1,0.20539682539682538,0.14864183114232024,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S1-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S1,46,P1,0.17238095238095238,0.08435791878514964,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,42,P2,0.2365079365079365,0.2071539665985778,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,43,P2,0.20317460317460317,0.1698758032904561,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,44,P2,0.14063492063492064,0.11879773091142162,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,45,P2,0.18126984126984128,0.15012113226448304,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S2-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S2,46,P2,0.1796825396825397,0.1677157499204743,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S3-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S3,42,P3,0.19174603174603175,0.10854532451087084,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S3-S43,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S3,43,P3,0.1653968253968254,0.11408449569762655,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S3-S44,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S3,44,P3,0.2180952380952381,0.16173486404014792,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S3-S45,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S3,45,P3,0.15714285714285714,0.09819910928751521,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.03-S3-S46,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.03,S3,46,P3,0.2038095238095238,0.15630208000032977,0.14285714285714285,DIAGNOSTIC_ONLY
DANNV2-DEV-ARM_A1_DOMAIN_POSITIVE_MATCHED-L0.10-S1-S42,ARM_A1_DOMAIN_POSITIVE_MATCHED,0.1,S1,42,P1,0.25492063492063494,0.19652604241193863,0.14285714285714285,DIAGNOSTIC_ONLY
