position,metric,run_count,mean,population_standard_deviation,median,minimum,maximum,confidence_interval_point_estimate,confidence_interval_95_low,confidence_interval_95_high,confidence_interval_estimand,confidence_interval_method
P3,held_row_accuracy,15,0.23885714285714285,0.07990712674102383,0.23809523809523808,0.09619047619047619,0.38285714285714284,0.23885714285714288,0.19015714285714283,0.2927,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P3,held_row_macro_f1,15,0.16965913210977543,0.09100769229662789,0.18817608398524005,0.03318615478513348,0.32403050747676543,0.21643691798237635,0.1630677669015037,0.26487262940185724,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P3,held_block_accuracy,15,0.24444444444444444,0.08494659149371207,0.23809523809523808,0.09523809523809523,0.38095238095238093,0.2444444444444444,0.19365079365079363,0.2984126984126984,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P3,held_block_macro_f1,15,0.17316282297485305,0.09867701832211034,0.17931275074132216,0.03007518796992481,0.32762951334379903,0.2206960532157271,0.16324974989716753,0.2716458096946924,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P3,train_to_held_accuracy_gap,15,0.5344444444444444,0.2530004177630128,0.64,0.047619047619047616,0.8828571428571429,,,,not_applicable,not_applicable
P3,uniform_seven_class_chance,15,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,not_applicable,not_applicable
P3,empirical_row_majority_baseline,15,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,not_applicable,not_applicable
P3,condition_block_majority_baseline,15,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,not_applicable,not_applicable
P4,initial_held_accuracy,15,0.13987301587301587,0.020813004442969272,0.14285714285714285,0.09523809523809523,0.1895238095238095,,,,not_applicable,not_applicable
P4,initial_held_macro_f1,15,0.03847990094769343,0.014100980971394178,0.03571428571428571,0.024844720496894408,0.08877821511768014,,,,not_applicable,not_applicable
P4,training_accuracy,15,0.47485714285714287,0.26823925196789583,0.44285714285714284,0.14285714285714285,0.9895238095238095,,,,not_applicable,not_applicable
P4,training_macro_f1,15,0.4048360048364702,0.3064367518516196,0.37833744550074344,0.03571428571428571,0.9895481615252102,,,,not_applicable,not_applicable
P4,validation_accuracy,15,0.17476190476190476,0.04281797151672713,0.19714285714285715,0.07142857142857142,0.21428571428571427,,,,not_applicable,not_applicable
P4,validation_macro_f1,15,0.1279515798593756,0.04690919257076022,0.13161891262529107,0.03571428571428571,0.2058734058734059,,,,not_applicable,not_applicable
P4,held_row_accuracy,15,0.1711111111111111,0.057306291852778676,0.1457142857142857,0.05142857142857143,0.28095238095238095,0.1711111111111111,0.13003015873015872,0.21536507936507937,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P4,held_row_macro_f1,15,0.08611314924531306,0.042982603981121206,0.08374760728424256,0.027531703205432436,0.1507613307010543,0.13218951738092416,0.09291767722155986,0.16988532626029607,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P4,held_block_accuracy,15,0.1714285714285714,0.05972980229278342,0.14285714285714285,0.047619047619047616,0.2857142857142857,0.17142857142857143,0.13015873015873014,0.21587301587301586,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P4,held_block_macro_f1,15,0.0862659534839986,0.0442980969020514,0.08367346938775509,0.023809523809523808,0.15510204081632656,0.13211406493569683,0.09302310433452406,0.16966065212077736,mean across five seed metrics after pooling all 63 held condition blocks per seed,10000-resample TagID-stratified condition-block cluster percentile bootstrap; paired across five seeds
P4,train_to_held_accuracy_gap,15,0.30374603174603176,0.2732464253554175,0.2523809523809524,-0.001904761904761909,0.8871428571428571,,,,not_applicable,not_applicable
P4,uniform_seven_class_chance,15,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,not_applicable,not_applicable
P4,empirical_row_majority_baseline,15,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,not_applicable,not_applicable
P4,condition_block_majority_baseline,15,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,,,,not_applicable,not_applicable
