position,fold,seed,stage,epoch,train_total_loss,train_cross_entropy,train_coral,inner_validation_accuracy,inner_validation_macro_f1,improved,epochs_without_improvement
P1,1,42,inner_selection,1,2.059609203338623,2.059609203338623,0.0,0.14285714285714285,0.03571428571428571,True,0
P1,1,42,inner_selection,2,1.8941215433393206,1.8941215433393206,0.0,0.13857142857142857,0.12025925741506083,True,0
P1,1,42,inner_selection,3,1.8373914234978812,1.8373914234978812,0.0,0.21428571428571427,0.16883116883116883,True,0
P1,1,42,inner_selection,4,1.7767358023779734,1.7767358023779734,0.0,0.16857142857142857,0.08026059360886714,False,1
P1,1,42,inner_selection,5,1.6908223002297538,1.6908223002297538,0.0,0.14285714285714285,0.1212121212121212,False,2
P1,1,42,inner_selection,6,1.5790278216770717,1.5790278216770717,0.0,0.13714285714285715,0.05023547880690738,False,3
P1,1,42,inner_selection,7,1.4413824578693935,1.4413824578693935,0.0,0.14285714285714285,0.10506449049452901,False,4
P1,1,42,inner_selection,8,1.3148006902422225,1.3148006902422225,0.0,0.07142857142857142,0.06901311249137336,False,5
P1,1,42,inner_selection,9,1.211445404461452,1.211445404461452,0.0,0.07142857142857142,0.020437359493153485,False,6
P1,1,42,inner_selection,10,1.0412651668276105,1.0412651668276105,0.0,0.0,0.0,False,7
P1,1,42,inner_selection,11,0.9427804296357291,0.9427804296357291,0.0,0.0,0.0,False,8
P1,1,42,outer_refit,1,2.0021069631122406,2.0021069631122406,0.0,,,,
P1,1,42,outer_refit,2,1.8908890908105034,1.8908890908105034,0.0,,,,
P1,1,42,outer_refit,3,1.8059527269999187,1.8059527269999187,0.0,,,,
P1,1,43,inner_selection,1,2.112085998398917,2.112085998398917,0.0,0.14285714285714285,0.03809523809523809,True,0
P1,1,43,inner_selection,2,1.9231530237197876,1.9231530237197876,0.0,0.21428571428571427,0.10993547082708541,True,0
P1,1,43,inner_selection,3,1.8394913455418178,1.8394913455418178,0.0,0.007142857142857143,0.0024009603841536613,False,1
P1,1,43,inner_selection,4,1.7792180000032698,1.7792180000032698,0.0,0.14285714285714285,0.04395604395604396,False,2
P1,1,43,inner_selection,5,1.6872296278817314,1.6872296278817314,0.0,0.07142857142857142,0.04164931278633903,False,3
P1,1,43,inner_selection,6,1.5609071241106305,1.5609071241106305,0.0,0.28,0.13999885668553133,True,0
P1,1,43,inner_selection,7,1.4243044778278895,1.4243044778278895,0.0,0.12714285714285714,0.04744136460554371,False,1
P1,1,43,inner_selection,8,1.2978685930797031,1.2978685930797031,0.0,0.14285714285714285,0.08878825305338274,False,2
P1,1,43,inner_selection,9,1.1221432031903948,1.1221432031903948,0.0,0.11142857142857143,0.0533261119593113,False,3
P1,1,43,inner_selection,10,0.9913549992016384,0.9913549992016384,0.0,0.14142857142857143,0.08570326858264601,False,4
P1,1,43,inner_selection,11,0.8713427410806929,0.8713427410806929,0.0,0.20857142857142857,0.11228700651301425,False,5
P1,1,43,inner_selection,12,0.7508641941206796,0.7508641941206796,0.0,0.1957142857142857,0.1331801180366489,False,6
P1,1,43,inner_selection,13,0.6705418406214033,0.6705418406214033,0.0,0.14142857142857143,0.07409172460192869,False,7
P1,1,43,inner_selection,14,0.5560466008526939,0.5560466008526939,0.0,0.12285714285714286,0.07401032702237521,False,8
P1,1,43,outer_refit,1,2.0252204867771693,2.0252204867771693,0.0,,,,
