position,diagnostic_fold,diagnostic_seed,training_subset_rows,rows_per_class,maximum_full_batch_steps,steps_executed,initial_accuracy,initial_macro_f1,final_accuracy,final_macro_f1,final_loss,pass_accuracy_threshold,pass_macro_f1_threshold,status,affects_primary_hyperparameters
P1,1,42,56,8,250,37,0.14285714285714285,0.03571428571428571,0.9642857142857143,0.9641456582633053,0.9890755414962769,0.95,0.95,PASS,False
P2,1,42,56,8,250,38,0.14285714285714285,0.03747072599531616,0.9821428571428571,0.9820728291316527,0.9430084228515625,0.95,0.95,PASS,False
P3,1,42,56,8,250,33,0.14285714285714285,0.03571428571428571,0.9821428571428571,0.9820728291316527,1.3371168375015259,0.95,0.95,PASS,False
P4,1,42,56,8,250,50,0.14285714285714285,0.036281179138321996,0.9642857142857143,0.963718820861678,0.7419022917747498,0.95,0.95,PASS,False
