fold,seed,position_probe_balanced_accuracy_change,held_macro_f1_change,held_accuracy_change,tagid_probe_macro_f1_change,position_silhouette_change,tagid_silhouette_change,source_retention_guardrail_passed
S1,42,0.03809523809523807,-0.00038204576369588183,0.0015873015873016094,0.0,-0.010583187840107096,0.002608604435279105,True
S1,43,-0.02857142857142847,0.038954556426510745,0.0009523809523809545,-0.05024118738404448,0.004573350163167587,0.019364726319568697,True
S1,44,0.00952380952380949,0.0020263447636818255,-0.017142857142857154,0.0,0.014751361424783248,0.013552983970039845,True
S1,45,0.01904761904761898,-0.05673178585859662,-0.03396825396825398,0.4677694527694528,-0.056362411257832326,0.2534364785895813,True
S1,46,-0.004761904761904634,0.06929238443159805,0.04666666666666666,0.06258359950531561,-0.0009277836393358357,-0.0020449948425279307,True
S2,42,0.0,0.0172367144000444,0.04730158730158729,0.05378621378621384,-0.0054654472926790945,0.09717657435289893,True
S2,43,-0.03809523809523818,-0.04282406867391983,-0.030793650793650817,-0.12900052328623768,0.013798143364528177,-0.15343797686649852,True
S2,44,0.004761904761904745,-0.10443036671826622,-0.0380952380952381,0.02397602397602383,0.02545545178506261,0.08607981917724036,True
S2,45,0.0,0.0016435965559593035,-0.0003174603174602997,-0.12430902430902413,0.01237662243318971,-0.14887348641349418,True
S2,46,-0.028571428571428692,0.12192102548378783,0.0923809523809524,-0.20773131630274488,0.014646912620802227,-0.09312985879605548,True
S3,42,-0.05238095238095242,0.07641706940534768,0.10095238095238099,-0.0964321392892824,0.008562193541332096,-0.08733093604399127,True
S3,43,1.1102230246251565e-16,-0.004009584208745157,-0.0107936507936508,0.0,-0.0027951229794819232,0.04509541749107082,True
S3,44,-0.009523809523809712,0.013746851712797326,-0.021269841269841272,-0.33961864466066144,-0.002073521136395945,-0.035412552781320265,True
S3,45,-1.1102230246251565e-16,0.02369237137077497,-0.030158730158730163,0.29679653679653684,-0.026171993215261518,0.22570158045027344,True
S3,46,0.009523809523809712,-0.06559110115665494,-0.05936507936507934,0.02397602397602383,-0.01067860482687864,0.1544305892380181,True
