block_accuracy,block_macro_f1,confusion_matrix,method,row_accuracy,row_macro_f1,seed,within_block_agreement_mean,mean_block_seed_agreement,minimum_block_seed_agreement,source_macro_f1,source_to_p4_block_macro_f1_drop
0.19047619047619047,0.17522477522477523,"[[3, 0, 1, 3, 0, 2, 0], [1, 2, 1, 3, 1, 0, 1], [2, 0, 2, 3, 0, 1, 1], [3, 0, 0, 4, 0, 1, 1], [2, 1, 0, 4, 0, 0, 2], [2, 1, 0, 6, 0, 0, 0], [0, 0, 0, 7, 0, 1, 1]]",ERM,0.1907936507936508,0.17237363911712184,42,0.9733333333333333,0.7047619047619047,0.4,0.992910211439416,0.8176854362146408
0.12698412698412698,0.10924733529775546,"[[1, 0, 1, 3, 2, 1, 1], [1, 1, 1, 4, 2, 0, 0], [3, 0, 0, 3, 1, 1, 1], [3, 1, 0, 4, 0, 0, 1], [3, 0, 0, 3, 1, 1, 1], [3, 0, 0, 6, 0, 0, 0], [5, 0, 1, 2, 0, 0, 1]]",ERM,0.12476190476190477,0.10695029065020749,43,0.978095238095238,0.7047619047619047,0.4,0.99197008939951,0.8827227541017546
0.09523809523809523,0.06689253950917237,"[[0, 0, 0, 4, 5, 0, 0], [1, 0, 0, 4, 3, 1, 0], [2, 0, 0, 4, 3, 0, 0], [3, 0, 0, 3, 1, 0, 2], [1, 0, 1, 4, 2, 0, 1], [1, 1, 0, 3, 4, 0, 0], [2, 0, 1, 3, 2, 0, 1]]",ERM,0.09968253968253968,0.07298251109853805,44,0.9717460317460317,0.7047619047619047,0.4,0.9807236186866894,0.913831079177517
0.15873015873015872,0.159899857378849,"[[1, 0, 0, 4, 2, 0, 2], [0, 2, 0, 4, 2, 0, 1], [2, 0, 0, 3, 2, 1, 1], [3, 2, 1, 2, 0, 0, 1], [1, 1, 0, 3, 2, 1, 1], [1, 0, 0, 6, 1, 1, 0], [1, 0, 0, 5, 0, 1, 2]]",ERM,0.1622222222222222,0.16151787033753054,45,0.9723809523809523,0.7047619047619047,0.4,0.9921675362400915,0.8322676788612424
0.1111111111111111,0.09762644188110027,"[[1, 0, 0, 3, 0, 4, 1], [1, 0, 0, 3, 0, 5, 0], [3, 0, 1, 1, 0, 3, 1], [2, 1, 0, 3, 0, 1, 2], [1, 0, 0, 3, 0, 3, 2], [3, 0, 0, 5, 0, 1, 0], [3, 0, 0, 3, 0, 2, 1]]",ERM,0.11142857142857143,0.09762685172507343,46,0.978095238095238,0.7047619047619047,0.4,0.8909204492984922,0.793294007417392
0.1746031746031746,0.15979126693412407,"[[4, 3, 0, 0, 0, 0, 2], [1, 2, 1, 3, 1, 0, 1], [3, 1, 2, 2, 0, 0, 1], [3, 3, 0, 1, 2, 0, 0], [4, 2, 1, 1, 0, 0, 1], [2, 1, 0, 6, 0, 0, 0], [1, 0, 0, 5, 1, 0, 2]]",DANN,0.1784126984126984,0.1643307987230365,42,0.9685714285714284,0.7587301587301587,0.4,0.45353009098697233,0.29373882405284824
0.1746031746031746,0.1582210333040898,"[[1, 1, 0, 5, 2, 0, 0], [2, 3, 0, 4, 0, 0, 0], [2, 3, 1, 3, 0, 0, 0], [1, 2, 0, 4, 2, 0, 0], [0, 3, 0, 5, 1, 0, 0], [1, 0, 0, 8, 0, 0, 0], [2, 0, 1, 5, 0, 0, 1]]",DANN,0.17206349206349206,0.15521695452498888,43,0.9831746031746033,0.7587301587301587,0.4,0.6461951273528367,0.4879740940487469
0.20634920634920634,0.1504638218923933,"[[1, 0, 0, 6, 2, 0, 0], [0, 0, 1, 5, 2, 0, 1], [0, 0, 1, 6, 0, 0, 2], [0, 0, 0, 8, 1, 0, 0], [0, 0, 1, 7, 1, 0, 0], [1, 0, 0, 8, 0, 0, 0], [0, 0, 0, 7, 0, 0, 2]]",DANN,0.2034920634920635,0.14642227307249875,44,0.9885714285714284,0.7587301587301587,0.4,0.26700771189425504,0.11654389000186174
0.14285714285714285,0.11471742543171114,"[[0, 0, 0, 6, 2, 1, 0], [0, 0, 1, 5, 1, 2, 0], [1, 0, 2, 5, 1, 0, 0], [1, 1, 0, 5, 2, 0, 0], [0, 0, 1, 7, 1, 0, 0], [1, 0, 0, 8, 0, 0, 0], [0, 0, 1, 7, 0, 0, 1]]",DANN,0.146984126984127,0.12085190339711913,45,0.9895238095238094,0.7587301587301587,0.4,0.45308989471207806,0.3383724692803669
0.12698412698412698,0.08170426065162907,"[[0, 3, 0, 6, 0, 0, 0], [0, 1, 1, 5, 1, 0, 1], [1, 1, 0, 4, 0, 0, 3], [0, 4, 0, 5, 0, 0, 0], [1, 0, 1, 7, 0, 0, 0], [0, 1, 0, 8, 0, 0, 0], [1, 0, 0, 6, 0, 0, 2]]",DANN,0.13936507936507936,0.09350071691217751,46,0.976190476190476,0.7587301587301587,0.4,0.37724235545549517,0.2955380948038661
