class_index,f1,method,precision,recall,seed
0,0.2462962962962963,ERM,0.2111111111111111,0.29555555555555557,42
1,0.29508196721311475,ERM,0.4479638009049774,0.22,42
2,0.3053435114503817,ERM,0.4878048780487805,0.2222222222222222,42
3,0.22177215189873417,ERM,0.1436065573770492,0.4866666666666667,42
4,0.0,ERM,0.0,0.0,42
5,0.0,ERM,0.0,0.0,42
6,0.13812154696132595,ERM,0.18248175182481752,0.1111111111111111,42
0,0.0682643427741467,ERM,0.05070118662351672,0.10444444444444445,43
1,0.18275862068965518,ERM,0.4076923076923077,0.11777777777777777,43
2,0.0,ERM,0.0,0.0,43
3,0.2326674500587544,ERM,0.15814696485623003,0.44,43
4,0.12041884816753927,ERM,0.1464968152866242,0.10222222222222223,43
5,0.0,ERM,0.0,0.0,43
6,0.14454277286135692,ERM,0.2149122807017544,0.10888888888888888,43
0,0.0,ERM,0.0,0.0,44
1,0.02330097087378641,ERM,0.09230769230769231,0.013333333333333334,44
2,0.0037735849056603774,ERM,0.0125,0.0022222222222222222,44
3,0.18118059614260665,ERM,0.12291831879460745,0.34444444444444444,44
4,0.13869625520110954,ERM,0.10080645161290322,0.2222222222222222,44
5,0.011278195488721804,ERM,0.036585365853658534,0.006666666666666667,44
6,0.15264797507788164,ERM,0.2552083333333333,0.10888888888888888,44
0,0.10222222222222221,ERM,0.10222222222222223,0.10222222222222223,45
1,0.2983425414364641,ERM,0.39416058394160586,0.24,45
2,0.0,ERM,0.0,0.0,45
3,0.12375690607734806,ERM,0.08235294117647059,0.24888888888888888,45
4,0.2145251396648045,ERM,0.2157303370786517,0.21333333333333335,45
5,0.15408320493066255,ERM,0.25125628140703515,0.1111111111111111,45
6,0.23769507803121248,ERM,0.2584856396866841,0.22,45
0,0.08680555555555557,ERM,0.07122507122507123,0.1111111111111111,46
1,0.0,ERM,0.0,0.0,46
2,0.19685039370078738,ERM,0.8620689655172413,0.1111111111111111,46
3,0.19959812458137977,ERM,0.14285714285714285,0.33111111111111113,46
4,0.0,ERM,0.0,0.0,46
5,0.07576840600428877,ERM,0.05584826132771338,0.11777777777777777,46
6,0.12436548223350251,ERM,0.14497041420118342,0.10888888888888888,46
0,0.290007513148009,DANN,0.21906923950056753,0.4288888888888889,42
1,0.19512195121951217,DANN,0.16883116883116883,0.2311111111111111,42
2,0.3110419906687403,DANN,0.5181347150259067,0.2222222222222222,42
3,0.09372746935832733,DANN,0.06937033084311633,0.14444444444444443,42
4,0.0,DANN,0.0,0.0,42
5,0.0,DANN,0.0,0.0,42
6,0.26041666666666663,DANN,0.31446540880503143,0.2222222222222222,42
0,0.08968609865470853,DANN,0.09049773755656108,0.08888888888888889,43
1,0.2905342080599812,DANN,0.25121555915721233,0.34444444444444444,43
2,0.1818181818181818,DANN,0.5,0.1111111111111111,43
3,0.18461538461538463,DANN,0.1168141592920354,0.44,43
4,0.14347202295552366,DANN,0.20242914979757085,0.1111111111111111,43
5,0.0,DANN,0.0,0.0,43
6,0.1963927855711423,DANN,1.0,0.10888888888888888,43
0,0.14814814814814814,DANN,0.4444444444444444,0.08888888888888889,44
1,0.0,DANN,0.0,0.0,44
2,0.16694490818030047,DANN,0.33557046979865773,0.1111111111111111,44
3,0.2850035536602701,DANN,0.16962774957698815,0.8911111111111111,44
4,0.13368283093053734,DANN,0.16293929712460065,0.11333333333333333,44
5,0.0,DANN,0.0,0.0,44
6,0.29117647058823526,DANN,0.43043478260869567,0.22,44
0,0.04186795491143317,DANN,0.07602339181286549,0.028888888888888888,45
1,0.0,DANN,0.0,0.0,45
2,0.28612303290414876,DANN,0.40160642570281124,0.2222222222222222,45
3,0.1933744221879815,DANN,0.11696178937558248,0.5577777777777778,45
4,0.1282051282051282,DANN,0.15151515151515152,0.1111111111111111,45
5,0.0,DANN,0.0,0.0,45
6,0.1963927855711423,DANN,1.0,0.10888888888888888,45
0,0.025974025974025976,DANN,0.04819277108433735,0.017777777777777778,46
1,0.15242018537590113,DANN,0.1420345489443378,0.16444444444444445,46
2,0.0,DANN,0.0,0.0,46
3,0.2059880239520958,DANN,0.12554744525547445,0.5733333333333334,46
4,0.0,DANN,0.0,0.0,46
5,0.0,DANN,0.0,0.0,46
6,0.27012278308321963,DANN,0.3498233215547703,0.22,46
